coin,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_diameter,weighted_diameter,average_path_length,clustering_coefficient,average_degree
2009-11-29,5,3,0.12,0.15,1,1.0,1.0,0.0,1.2
2009-12-04,5,6,0.24,0.3,2,2.0,1.25,0.4285714,2.4
2009-11-23,1,0,0.0,0,0,0,nan,0.0,0.0
2009-11-25,2,2,0.5,1.0,1,1.0,1.0,0.0,2.0
2009-11-24,2,1,0.25,0.5,1,1.0,1.0,0.0,1.0
2009-12-03,4,3,0.1875,0.4166667,1,2.0,1.0,0.0,1.5
2009-11-26,5,5,0.2,0.25,2,2.0,1.285714,0.375,2.0
2009-12-01,3,2,0.2222222,0.3333333,1,1.0,1.0,0.0,1.333333
2009-11-28,5,8,0.32,0.4,2,2.0,1.111111,0.6428571,3.2
2009-12-02,3,2,0.2222222,0.3333333,1,1.0,1.0,0.0,1.333333
2009-11-27,5,8,0.32,0.45,2,3.0,1.333333,0.6428571,3.2
2009-11-22,0,0,nan,0,0,0,nan,0.0,0.0
