Coin,Coin-href,Name,hashing_algorithm,genesis_date,market_capitalization,hashrate,block_time,available/total_supply,repo_stars/forks/watches,bing_results,alexa_ranking
"Bitcoin","https://www.coingecko.com/en/coins/bitcoin","Bitcoin","SHA-256","January  3, 2009 (almost 7 years)","$5,350,373,990.50","673 PH/s","10.0 Minute","14.9 Million
                      /
                      21 Million","","",""
"OKCash","https://www.coingecko.com/en/coins/okcash","OKCash","Scrypt","November 24, 2014 (about 1 year)","$32,807.94","N/A","null","60.9 Million
                      /
                      105 Million","","",""
"MaryJane","https://www.coingecko.com/en/coins/maryjane","MaryJane","X15","September 28, 2014 (about 1 year)","$29,863.32","N/A","null","15.4 Million
                      /
                      15.3 Million","","",""
"Nxttycoin","https://www.coingecko.com/en/coins/nxttycoin","Nxttycoin","null","August 12, 2014 (over 1 year)","$48,000.00","N/A","null","1 Billion
                      /
                      1000 Million","","",""
"Gems","https://www.coingecko.com/en/coins/gems","Gems","null","November  7, 2014 (about 1 year)","$951,454.77","N/A","null","88.1 Million
                      /
                      100 Million","","",""
"Rubycoin","https://www.coingecko.com/en/coins/rubycoin","Rubycoin","Proof of Stake","February 24, 2014 (almost 2 years)","$3,901,128.72","N/A","null","null","","",""
"Bottlecaps","https://www.coingecko.com/en/coins/bottlecaps","Bottlecaps","Scrypt","June 23, 2013 (over 2 years)","$72,548.78","N/A","1.0 Minute","33.6 Million
                      /
                      47.4 Million","","",""
"Rubycoin","https://www.coingecko.com/en/coins/rubycoin","Rubycoin","Proof of Stake","February 24, 2014 (almost 2 years)","$3,901,128.72","N/A","null","null","","",""
"GlowShares","https://www.coingecko.com/en/coins/glowshares","GlowShares","Proof of Stake","November 18, 2014 (about 1 year)","","N/A","1.0 Minute","null","","",""
"Fedoracoin","https://www.coingecko.com/en/coins/fedoracoin","Fedoracoin","Scrypt","null","$280,846.32","N/A","null","null","","",""
"Unbreakablecoin","https://www.coingecko.com/en/coins/unbreakablecoin","Unbreakablecoin","SHA-256","March 19, 2014 (over 1 year)","$12,252.94","N/A","5.0 Minute","2.27 Million
                      /
                      80 Million","","",""
"KhanCoin","https://www.coingecko.com/en/coins/khancoin","KhanCoin","Proof of Stake","August 18, 2015 (4 months)","$3,111.22","N/A","null","70.6 Thousand
                      /
                      7.88 Billion","","",""
"Blocknet","https://www.coingecko.com/en/coins/blocknet","Blocknet","Proof of Stake","October 21, 2014 (about 1 year)","$566,040.52","N/A","1.5 Minute","3.91 Million
                      /
                      3.9 Million","","",""
"Goldcoin","https://www.coingecko.com/en/coins/goldcoin","Goldcoin","Scrypt","May 15, 2013 (over 2 years)","$107,541.73","1.16 GH/s","2.0 Minute","34.8 Million
                      /
                      123 Million","","",""
"SonicScrewdriver","https://www.coingecko.com/en/coins/sonicscrewdriver","SonicScrewdriver","Proof of Stake","August  8, 2014 (over 1 year)","$14,981.00","N/A","1.0 Minute","22.3 Million
                      /
                      23 Million","","",""
"LTBcoin","https://www.coingecko.com/en/coins/ltbcoin","LTBcoin","null","March 12, 2014 (over 1 year)","$26,259.15","N/A","null","null","","",""
"EmerCoin","https://www.coingecko.com/en/coins/emercoin","EmerCoin","SHA-256","December 11, 2013 (almost 2 years)","$1,694,812.65","N/A","null","36.6 Million
                      /
                      1 Billion","","",""
"Startcoin","https://www.coingecko.com/en/coins/startcoin","Startcoin","X11","July 19, 2014 (over 1 year)","$886,905.59","18.6 GH/s","1.0 Minute","35 Million
                      /
                      84 Million","","",""
"Groupcoin","https://www.coingecko.com/en/coins/groupcoin","null","null","null","null","null","null","null","","",""
"GlowShares","https://www.coingecko.com/en/coins/glowshares","GlowShares","Proof of Stake","November 18, 2014 (about 1 year)","","N/A","1.0 Minute","null","","",""
"BitSwift","https://www.coingecko.com/en/coins/bitswift","BitSwift","Proof of Stake","September 29, 2014 (about 1 year)","$135,270.22","N/A","null","4.04 Million
                      /
                      4 Million","","",""
"Quark","https://www.coingecko.com/en/coins/quark","Quark","Quark","July 21, 2013 (over 2 years)","$444,103.39","243 MH/s","0.5 Minute","250 Million
                      /
                      247 Million","","",""
"Piggycoin","https://www.coingecko.com/en/coins/piggycoin","Piggycoin","X11","June 10, 2014 (over 1 year)","$18,883.69","N/A","1.0 Minute","478 Million
                      /
                      473 Million","","",""
"Dogecoin","https://www.coingecko.com/en/coins/dogecoin","Dogecoin","Scrypt","December  8, 2013 (almost 2 years)","$13,167,673.45","1.64 TH/s","1.0 Minute","102 Billion
                      /
                      100 Billion","","",""
"Gems","https://www.coingecko.com/en/coins/gems","Gems","null","November  7, 2014 (about 1 year)","$951,454.77","N/A","null","88.1 Million
                      /
                      100 Million","","",""
