coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted, total_volume, market_num, BTC-E, Kraken, Poloniex, Cryptsy, BTC38, BTER, Bittrex
AXR, 62.0361172744, 6.01411e-05, 9.69453e-07, 62.0361172744, 12.1008249497, 9.35447679649, 9.82774124558, 2.88022621048, 3.0809965719, 132602, 1, False, False, False, True, False, False, False
NYAN, 2469.46082997, 2.38624e-05, 9.663e-09, 2469.46082997, 71.1108991972, 22.5380647972, 29.4368872127, 2.28892815062, 3.4648910488, 164698, 3, False, False, False, True, False, False, False
EXE, 276.194736842, 0.000209908, 7.6e-07, 276.194736842, 276.194736842, 16.2322343444, 17.0603012913, 2.72601490795, 2.76799290371, 538654, 2, False, False, True, True, False, False, False
TIX, 409.051975945, 9.52273e-08, 2.328e-10, 54.835483128, 22.355925439, 6.55219180859, 6.70012647751, 1.86814041533, 1.88021213472, 2424417, 2, False, False, False, True, False, True, False
XQN, 251.505555556, 6.79065e-05, 2.7e-07, 251.505555556, 62.8763888889, 7.35203307743, 7.35203307743, 2.69697879592, 2.69697879592, 96084, 1, False, False, False, False, False, False, True
TIT, 44.7249771337, 4.98764e-05, 1.11518e-06, 44.7249771337, 35.2887404661, 10.6743820315, 10.9402098338, 2.17887245688, 2.13088378533, 267592, 4, False, False, False, True, False, False, True
XJO, 197.271604938, 0.00015979, 8.1e-07, 197.271604938, 197.271604938, 25.1116242254, 25.2040654512, 5.62405233675, 5.62405233675, 136951, 1, False, False, False, True, False, False, False
XBS, 63.6927792843, 0.00118852, 1.86602e-05, 63.6927792843, 63.6927792843, 4.7330891326, 4.14815016906, 2.34340785456, 1.94413048713, 716336, 2, False, False, False, True, False, False, True
SOL, 286.704, 2.86704e-06, 1e-08, 286.704, 286.704, 8.22698438928, 15.0339612656, 2.82098739819, 1.51394057546, 1224938, 1, False, False, False, False, False, False, False
LIT, 1191.21, 2.38242e-05, 2e-08, 1191.21, 158.828, 30.3571048533, 35.0669831966, 2.19736737291, 2.15799447138, 49309, 1, False, False, False, False, False, False, False
NAS, 19.8127378838, 1.95205e-07, 9.8525e-09, 19.8127378838, 2.4400625, 4.31248595081, 4.34331905309, 1.90415283674, 1.93358156211, 716952, 2, False, False, False, False, True, True, False
WDC, 80.4500369227, 0.000958707, 1.19168e-05, 80.4500369227, 40.3746004472, 9.69846710221, 10.0612907361, 3.83593754265, 3.83593754265, 18758965, 14, False, False, True, True, True, True, False
NAV, 25.1190432962, 4.15052e-05, 1.65234e-06, 5.12856251429, 5.12856251429, 3.45511751208, 2.09950038274, 2.87022731398, 1.60323728052, 1767251, 5, False, False, True, True, False, True, True
GHC, 95.4665338645, 0.000239621, 2.51e-06, 95.4665338645, 65.8299450549, 5.39552719607, 5.3294167684, 2.40450098009, 2.37825848755, 115485, 1, False, False, False, False, False, False, True
