coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
CPC,2015-07-23,2015-07-20,CapricoinOfficial,https://bitcointalk.org/index.php?topic=1129322.0,2015-07-20
XBS,2015-01-13,2014-11-19,Bitstake,https://bitcointalk.org/index.php?topic=920272.0,2015-01-11
NXTprivacy,2014-10-04,2014-08-07,jl777,https://bitcointalk.org/index.php?topic=762346.0,2014-08-30
SIB,2015-09-25,2015-10-01,hot,https://bitcointalk.org/index.php?topic=1197623.0,2015-10-01
YUM,2014-11-16,2014-04-08,candycoin,https://bitcointalk.org/index.php?topic=560940.0,2014-04-08
SKYNET,2014-12-13,2011-04-21,phelix,https://bitcointalk.org/index.php?topic=6253.0,2011-04-21
NYC,2014-05-06,2014-03-04,scryptenthusiast,https://bitcointalk.org/index.php?topic=520400.0,2014-03-18
GAIA,2014-10-11,2011-11-29,rapidfire187,https://bitcointalk.org/index.php?topic=372785.0,2013-12-16
AGS,2014-08-25,2014-07-06,aegisproject,https://bitcointalk.org/index.php?topic=679580.0,2014-07-06
DRKT,2015-06-10,2015-06-07,DarkTron Team,https://bitcointalk.org/index.php?topic=1083744.0,2015-06-07
MONA,2014-03-20,2013-12-30,2chpool,https://bitcointalk.org/index.php?topic=392088.0,2013-12-30
OPAL,2014-09-13,2011-05-10,kingscrown,https://bitcointalk.org/index.php?topic=669623.0,2014-06-29
SPT,2013-07-25,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
TAG,2013-11-05,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
DRKC,2014-07-29,2014-07-25,zlibz,https://bitcointalk.org/index.php?topic=709322.0,2014-07-25
LDOGE,2015-03-19,2015-03-16,heavensopen,https://bitcointalk.org/index.php?topic=1077390.0,2015-06-01
FETISH,2014-10-20,2011-04-09,evoorhees,https://bitcointalk.org/index.php?topic=53039.0,2011-11-27
SPC,2015-08-04,2015-07-10,JSpike,https://bitcointalk.org/index.php?topic=1117404.0,2015-07-10
HEEL,2015-10-27,2015-07-10,heelcoin,https://bitcointalk.org/index.php?topic=1117670.0,2015-07-10
TAK,2014-02-27,2014-02-07,TakeiCoin,https://bitcointalk.org/index.php?topic=452902.0,2014-02-07
PRIME,2015-09-14,2013-07-07,busoni,https://bitcointalk.org/index.php?topic=296828.0,2013-09-18
XPH,2015-06-08,2015-06-06,Pharma,https://bitcointalk.org/index.php?topic=1082835.0,2015-06-06
XPM,2013-07-10,2012-10-02,Sunny King,https://bitcointalk.org/index.php?topic=114994.0,2012-10-02
GP,2015-01-16,2015-01-06,inkha,https://bitcointalk.org/index.php?topic=915899.0,2015-01-06
IXC,2013-05-08,2011-08-10,Nasakioto,https://bitcointalk.org/index.php?topic=36218.0,2011-08-10
NOBL,2014-02-08,2014-01-07,Rofo,https://bitcointalk.org/index.php?topic=402667.0,2014-01-07
HZT,2015-04-17,2015-04-10,HazMatCoin-Dev,https://bitcointalk.org/index.php?topic=1019312.0,2015-04-10
XPY,2014-12-16,2014-04-24,somogyipeti,https://bitcointalk.org/index.php?topic=582873.0,2014-04-24
PIGGY,2014-06-15,2014-02-25,piggycoin,https://bitcointalk.org/index.php?topic=487017.0,2014-02-25
FIMK,2014-07-12,2014-05-31,Eliphaz Fimk,https://bitcointalk.org/index.php?topic=633304.0,2014-05-31
BYC,2014-11-23,2014-11-04,infazan,https://bitcointalk.org/index.php?topic=845494.0,2014-11-04
BTCD,2014-07-16,2014-07-09,Azeh,https://bitcointalk.org/index.php?topic=684090.0,2014-07-09
TRICK,2015-03-31,2015-03-27,TrickyCoin,https://bitcointalk.org/index.php?topic=1004692.0,2015-03-27
ROS,2014-09-30,2014-09-04,godivacoin,https://bitcointalk.org/index.php?topic=769857.0,2014-09-04
MAX,2014-02-12,2013-10-31,chebruta,https://bitcointalk.org/index.php?topic=322269.0,2013-10-31
LAB,2014-10-25,2014-10-29,DUMPcoin,https://bitcointalk.org/index.php?topic=904491.0,2014-12-25
PAC,2015-11-02,2013-11-12,wmcorless,https://bitcointalk.org/index.php?topic=331394.0,2013-11-12
MAD,2015-09-01,2015-08-16,WhoIsNotMad,https://bitcointalk.org/index.php?topic=1154489.0,2015-08-16
FFC,2014-10-26,2013-06-30,BitJohn,https://bitcointalk.org/index.php?topic=246679.0,2013-06-30
GUA,2014-11-23,2014-11-17,DigitalCurrencyConsultant,https://bitcointalk.org/index.php?topic=860928.0,2014-11-17
BEN,2014-02-27,2014-02-02,AllAboutTheBenjaminsBaby,https://bitcointalk.org/index.php?topic=444543.0,2014-02-02
GUE,2014-06-23,2014-06-17,guerillacoin,https://bitcointalk.org/index.php?topic=656167.0,2014-06-17
DTC,2014-11-16,2014-10-19,DayTraderCoin,https://bitcointalk.org/index.php?topic=827984.0,2014-10-19
CME,2015-11-23,2015-08-29,stewpak,https://bitcointalk.org/index.php?topic=1165889.0,2015-08-29
007,2015-04-23,2015-04-21,007coin,https://bitcointalk.org/index.php?topic=1033996.0,2015-04-21
GUN,2014-05-11,2014-03-03,guncoin_support,https://bitcointalk.org/index.php?topic=498671.0,2014-03-03
YBC,2014-01-16,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BET,2013-12-14,2013-05-30,solracx,https://bitcointalk.org/index.php?topic=219644.0,2013-05-30
TTY,2015-01-18,2014-07-15,TrinityCoin,https://bitcointalk.org/index.php?topic=695149.0,2014-07-15
ORO,2014-02-27,2014-02-26,deeppurple72,https://bitcointalk.org/index.php?topic=489706.0,2014-02-26
HUN,2015-06-19,2014-09-29,shagger,https://bitcointalk.org/index.php?topic=802204.0,2014-09-29
TTC,2014-11-08,2014-01-29,tittiecoin,https://bitcointalk.org/index.php?topic=437695.0,2014-01-29
BILS,2014-08-25,2014-08-08,starteam,https://bitcointalk.org/index.php?topic=729068.0,2014-08-08
GRT,2015-07-27,2015-05-03,The Grantcoin Foundation,https://bitcointalk.org/index.php?topic=1046001.0,2015-05-03
FLAP,2014-02-22,2014-01-23,jayguar,https://bitcointalk.org/index.php?topic=429103.0,2014-01-23
BLU,2014-04-27,2014-01-28,BlueCoiner,https://bitcointalk.org/index.php?topic=580639.0,2014-04-22
1337,2015-11-09,2010-07-21,sirius,https://bitcointalk.org/index.php?topic=5079.0,2011-03-28
SOLE,2014-08-21,2014-08-08,solecoin,https://bitcointalk.org/index.php?topic=730077.0,2014-08-08
FLAX,2015-07-25,2015-06-25,ocminer,https://bitcointalk.org/index.php?topic=1099181.0,2015-06-25
GRF,2015-08-17,2015-07-24,Graffiti,https://bitcointalk.org/index.php?topic=1133970.0,2015-07-24
FTC,2013-05-02,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
GRE,2014-06-23,2014-06-02,ncsupanda,https://bitcointalk.org/index.php?topic=636548.0,2014-06-02
GRC,2015-02-28,2013-10-29,prophetx,https://bitcointalk.org/index.php?topic=320750.0,2013-10-29
BLK,2014-02-28,2014-02-16,rat4,https://bitcointalk.org/index.php?topic=469640.0,2014-02-16
CRACK,2014-09-19,2011-06-14,crackcoin,https://bitcointalk.org/index.php?topic=461460.0,2014-02-12
GRN,2014-06-12,2014-04-29,Cryddit,https://bitcointalk.org/index.php?topic=588413.0,2014-04-29
GRM,2015-06-26,2015-06-14,gmcdev,https://bitcointalk.org/index.php?topic=1089741.0,2015-06-14
DSB,2014-10-25,2014-10-23,DarkShibe,https://bitcointalk.org/index.php?topic=833133.0,2014-10-23
BLC,2014-02-12,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
COOL,2014-06-28,2013-05-13,CoolloveCoin,https://bitcointalk.org/index.php?topic=601045.0,2014-05-08
HYPER,2014-05-31,2010-04-05,NewLibertyStandard,https://bitcointalk.org/index.php?topic=96.0,2010-04-05
