coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
CPC,2015-07-23,2015-07-20,2015-07-23,CapricoinOfficial,1,1,1,3
XBS,2015-01-13,2015-01-11,2015-01-13,Bitstake,1,8,1,2
NXTprivacy,2014-10-04,2014-08-30,2014-10-04,jl777,1,566,7,285
SIB,2015-09-25,2015-10-01,2015-09-25,hot,1,0,0,-6
YUM,2014-11-16,2014-04-08,2014-11-16,candycoin,1,15,1,222
SKYNET,2014-12-13,2011-04-21,2014-12-13,phelix,1,894,38,1332
NYC,2014-05-06,2014-03-18,2014-05-06,scryptenthusiast,1,98,7,49
GAIA,2014-10-11,2013-12-16,2014-10-11,rapidfire187,1,230,29,474
AGS,2014-08-25,2014-07-06,2014-08-25,aegisproject,1,36,1,50
DRKT,2015-06-10,2015-06-07,2015-06-10,DarkTron Team,1,10,1,3
MONA,2014-03-20,2013-12-30,2014-03-20,2chpool,1,2,1,80
OPAL,2014-09-13,2014-06-29,2014-09-13,kingscrown,1,541,27,242
SPT,2013-07-25,2013-01-01,2013-07-25,xorxor,1,390,10,205
TAG,2013-11-05,2013-01-01,2013-11-05,xorxor,1,457,11,308
DRKC,2014-07-29,2014-07-25,2014-07-29,zlibz,1,47,2,7
LDOGE,2015-03-19,2015-06-01,2015-03-19,heavensopen,1,0,0,-45
FETISH,2014-10-20,2011-11-27,2014-10-20,evoorhees,1,1730,119,1252
SPC,2015-08-04,2015-07-10,2015-08-04,JSpike,1,299,1,333
HEEL,2015-10-27,2015-07-10,2015-10-27,heelcoin,1,31,2,109
TAK,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20
PRIME,2015-09-14,2013-09-18,2015-09-14,busoni,1,119,4,771
XPH,2015-06-08,2015-06-06,2015-06-08,Pharma,1,6,1,2
XPM,2013-07-10,2012-10-02,2013-07-10,Sunny King,1,834,26,334
GP,2015-01-16,2015-01-06,2015-01-16,inkha,1,121,7,195
IXC,2013-05-08,2011-08-10,2013-05-08,Nasakioto,1,99,13,637
NOBL,2014-02-08,2014-01-07,2014-02-08,Rofo,1,238,7,48
HZT,2015-04-17,2015-04-10,2015-04-17,HazMatCoin-Dev,1,42,3,8
XPY,2014-12-16,2014-04-24,2014-12-16,somogyipeti,1,431,4,245
PIGGY,2014-06-15,2014-02-25,2014-06-15,piggycoin,1,319,4,110
FIMK,2014-07-12,2014-05-31,2014-07-12,Eliphaz Fimk,1,81,2,42
BYC,2014-11-23,2014-11-04,2014-11-23,infazan,1,230,8,567
BTCD,2014-07-16,2014-07-09,2014-07-16,Azeh,1,91,3,135
TRICK,2015-03-31,2015-03-27,2015-03-31,TrickyCoin,1,20,1,4
ROS,2014-09-30,2014-09-04,2014-09-30,godivacoin,1,77,3,26
MAX,2014-02-12,2013-10-31,2014-02-12,chebruta,1,137,12,199
LAB,2014-10-25,2014-12-25,2014-10-25,DUMPcoin,1,0,0,-61
PAC,2015-11-02,2013-11-12,2015-11-02,wmcorless,1,77,4,856
MAD,2015-09-01,2015-08-16,2015-09-01,WhoIsNotMad,1,24,1,16
FFC,2014-10-26,2013-06-30,2014-10-26,BitJohn,1,1440,75,532
GUA,2014-11-23,2014-11-17,2014-11-23,DigitalCurrencyConsultant,1,76,3,571
BEN,2014-02-27,2014-02-02,2014-02-27,AllAboutTheBenjaminsBaby,1,415,10,25
GUE,2014-06-23,2014-06-17,2014-06-23,guerillacoin,1,21,1,6
DTC,2014-11-16,2014-10-19,2014-11-16,DayTraderCoin,1,7,1,28
CME,2015-11-23,2015-08-29,2015-11-23,stewpak,1,10,1,86
007,2015-04-23,2015-04-21,2015-04-23,007coin,1,7,1,2
GUN,2014-05-11,2014-03-03,2014-05-11,guncoin_support,1,96,1,69
YBC,2014-01-16,2013-01-01,2014-01-16,xorxor,1,481,12,380
BET,2013-12-14,2013-05-30,2013-12-14,solracx,1,435,34,227
TTY,2015-01-18,2014-07-15,2015-01-18,TrinityCoin,1,65,1,187
ORO,2014-02-27,2014-02-26,2014-02-27,deeppurple72,1,317,55,242
HUN,2015-06-19,2014-09-29,2015-06-19,shagger,1,35,1,285
TTC,2014-11-08,2014-01-29,2014-11-08,tittiecoin,1,126,7,283
BILS,2014-08-25,2014-08-08,2014-08-25,starteam,1,4,2,17
GRT,2015-07-27,2015-05-03,2015-07-27,The Grantcoin Foundation,1,49,1,85
FLAP,2014-02-22,2014-01-23,2014-02-22,jayguar,1,275,2,530
BLU,2014-04-27,2014-04-22,2014-04-27,BlueCoiner,1,35,1,5
1337,2015-11-09,2011-03-28,2015-11-09,sirius,1,130,10,2140
SOLE,2014-08-21,2014-08-08,2014-08-21,solecoin,1,50,1,13
FLAX,2015-07-25,2015-06-25,2015-07-25,ocminer,1,7771,78,997
GRF,2015-08-17,2015-07-24,2015-08-17,Graffiti,1,95,2,24
FTC,2013-05-02,2013-01-01,2013-05-02,xorxor,1,261,6,121
GRE,2014-06-23,2014-06-02,2014-06-23,ncsupanda,1,112,5,124
GRC,2015-02-28,2013-10-29,2015-02-28,prophetx,1,350,7,661
BLK,2014-02-28,2014-02-16,2014-02-28,rat4,1,52,1,14
CRACK,2014-09-19,2014-02-12,2014-09-19,crackcoin,1,1,1,219
GRN,2014-06-12,2014-04-29,2014-06-12,Cryddit,1,341,16,288
GRM,2015-06-26,2015-06-14,2015-06-26,gmcdev,1,10,1,12
DSB,2014-10-25,2014-10-23,2014-10-25,DarkShibe,1,6,1,2
BLC,2014-02-12,2013-01-01,2014-02-12,xorxor,1,481,12,407
COOL,2014-06-28,2014-05-08,2014-06-28,CoolloveCoin,1,10,2,51
HYPER,2014-05-31,2010-04-05,2014-05-31,NewLibertyStandard,1,149,12,1593
URC,2015-03-31,2015-03-23,2015-03-31,USER211,1,19,1,8
MI,2015-09-04,2015-05-25,2015-09-04,she9888,1,178,2,515
NOC,2015-07-27,2015-07-12,2015-07-27,NocturaDev,1,13,1,15
EMC2,2014-04-09,2014-03-01,2014-04-09,einsteinium,1,71,4,39
