coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
CPC,2015-07-23,2015-07-20,2015-07-23,CapricoinOfficial,1,1,1,3
XBS,2015-01-13,2015-01-11,2015-01-13,Bitstake,1,8,1,2
TRICK,2015-03-31,2015-03-27,2015-03-31,TrickyCoin,1,20,1,4
YUM,2014-11-16,2014-04-08,2014-11-16,candycoin,1,15,1,222
SKYNET,2014-12-13,2011-04-21,2014-12-13,phelix,1,894,38,1332
NYC,2014-05-06,2014-03-18,2014-05-06,scryptenthusiast,1,98,7,49
GAIA,2014-10-11,2013-12-27,2014-10-11,JonnyBravo,1,95,9,508
MONA,2014-03-20,2013-12-30,2014-03-20,2chpool,1,2,1,80
OPAL,2014-09-13,2014-09-01,2014-09-13,OpalTeam,1,15,3,12
SPT,2013-07-25,2013-07-21,2013-07-25,iGotSpots,1,714,34,85
TAG,2013-11-05,2013-10-27,2013-11-05,MaGNeT,1,1952,44,868
DRKC,2014-07-29,2014-07-25,2014-07-29,zlibz,1,47,2,7
SPA,2014-03-15,2014-03-04,2014-03-15,SpainCoinDev,1,54,1,11
SPC,2015-08-04,2015-07-10,2015-08-04,JSpike,1,299,1,333
HEEL,2015-10-27,2015-07-10,2015-10-27,heelcoin,1,31,2,109
TAK,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20
PRIME,2015-09-14,2015-08-11,2015-09-14,iGotSpots,1,4357,103,866
XPH,2015-06-08,2015-06-06,2015-06-08,Pharma,1,6,1,2
XPM,2013-07-10,2012-10-02,2013-07-10,Sunny King,1,834,26,334
GP,2015-01-16,2015-01-06,2015-01-16,inkha,1,121,7,195
IXC,2013-05-08,2013-05-24,2013-05-08,No_2,1,104,24,69
NOBL,2014-02-08,2014-01-07,2014-02-08,Rofo,1,238,7,48
HZT,2015-04-17,2015-04-10,2015-04-17,HazMatCoin-Dev,1,42,3,8
XPY,2014-12-16,2014-12-13,2014-12-16,kingscrown,1,851,35,336
PIGGY,2014-06-15,2014-05-31,2014-06-15,piggycoin,1,319,4,110
FIMK,2014-07-12,2014-05-31,2014-07-12,Eliphaz Fimk,1,81,2,42
BYC,2014-11-23,2014-12-08,2014-11-23,Yanakitu Tenatako,1,42,0,320
BTCD,2014-07-16,2014-07-09,2014-07-16,Azeh,1,91,3,135
ROS,2014-09-30,2014-09-04,2014-09-30,godivacoin,1,77,3,26
MAX,2014-02-12,2014-01-29,2014-02-12,maxcoinproject,1,2,1,14
PAC,2015-11-02,2013-11-23,2015-11-02,Useless1d1ot,1,32,3,731
FFC,2014-10-26,2013-10-27,2014-10-26,thundertoe,1,371,38,1237
GUA,2014-11-23,2014-12-20,2014-11-23,guaranycrypto,1,0,0,-27
BEN,2014-02-27,2014-02-02,2014-02-27,AllAboutTheBenjaminsBaby,1,415,10,25
GUE,2014-06-23,2014-06-17,2014-06-23,guerillacoin,1,21,1,6
DTC,2014-11-16,2014-10-19,2014-11-16,DayTraderCoin,1,7,1,28
CME,2015-11-23,2015-08-29,2015-11-23,stewpak,1,10,1,86
GUN,2014-05-11,2014-03-03,2014-05-11,guncoin_support,1,96,1,69
YBC,2014-01-16,2013-06-29,2014-01-16,ig0tik3d,1,290,5,256
BET,2013-12-14,2013-10-30,2013-12-14,betacoindev,1,84,4,45
TTY,2015-01-18,2014-07-15,2015-01-18,TrinityCoin,1,65,1,187
HUC,2014-02-14,2013-09-24,2014-02-14,snailbrain,1,351,15,953
TTC,2014-11-08,2014-01-29,2014-11-08,tittiecoin,1,126,7,283
GRT,2015-07-27,2015-05-03,2015-07-27,The Grantcoin Foundation,1,49,1,85
FLAP,2014-02-22,2014-02-14,2014-02-22,flappycoin,1,42,3,8
1337,2015-11-09,2014-01-10,2015-11-09,.Batman.,1,221,12,672
SOLE,2014-08-21,2014-08-08,2014-08-21,solecoin,1,50,1,13
GRF,2015-08-17,2015-07-24,2015-08-17,Graffiti,1,95,2,24
FTC,2013-05-02,2013-04-16,2013-05-02,bushstar,1,310,16,266
GRE,2014-06-23,2014-06-02,2014-06-23,ncsupanda,1,112,5,124
GRC,2015-02-28,2013-10-29,2015-02-28,prophetx,1,350,7,661
BLK,2014-02-28,2014-02-16,2014-02-28,rat4,1,52,1,14
GRN,2014-06-12,2014-06-26,2014-06-12,Zywiec,1,6,0,144
GRM,2015-06-26,2015-06-14,2015-06-26,gmcdev,1,10,1,12
BLC,2014-02-12,2013-10-07,2014-02-12,BlueDragon747,1,331,3,176
COOL,2014-06-28,2014-05-08,2014-06-28,CoolloveCoin,1,10,2,51
HYPER,2014-05-31,2010-11-12,2014-05-31,kiba,1,2090,79,1414
MI,2015-09-04,2015-05-25,2015-09-04,she9888,1,178,2,515
EMC2,2014-04-09,2014-03-01,2014-04-09,einsteinium,1,71,4,39
SPR,2014-10-26,2014-11-10,2014-10-26,Riseman,1,25,0,312
EKN,2015-04-11,2015-04-10,2015-04-11,ElektronFoundation,1,18,1,1
DON,2014-06-15,2014-04-21,2014-06-15,Donationcoin,1,230,11,56
FJC,2015-06-14,2014-06-08,2015-06-14,motty,1,233,1,371
BLITZ,2014-11-16,2012-06-13,2014-11-16,Eli,1,31,6,1214
REP,2015-10-27,2015-11-02,2015-10-27,Komonec,1,0,0,-6
GLC,2013-08-04,2013-06-26,2013-08-04,SistaFista,1,187,7,67
GLD,2013-06-14,2013-05-18,2013-06-14,TheSwede75,1,1061,30,59
XSEED,2015-04-21,2015-09-28,2015-04-21,worth,1,194,1,473
CTM,2014-02-27,2014-02-05,2014-02-27,corsaro,1,21,2,151
CTO,2015-05-18,2014-11-21,2015-05-18,CryptoNext,1,5,2,178
SMC,2014-02-06,2014-01-06,2014-02-06,smartcoin,1,82,2,31
RED,2014-01-24,2013-06-30,2014-01-24,Redcoin,1,301,55,208
CLAM,2014-08-25,2014-05-24,2014-08-25,SuperClam,1,196,1,93
FCT,2015-10-05,2015-09-08,2015-10-05,richwang01,1,22,2,245
LTBC,2014-08-20,2014-07-27,2014-08-20,crackerhead,1,143,1,201
