coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
CPC,2015-07-23,2015-07-20,CapricoinOfficial,https://bitcointalk.org/index.php?topic=1129322.0,2015-07-20
XBS,2015-01-13,2015-01-13,ShillAccount,https://bitcointalk.org/index.php?topic=924092.0,2015-01-13
TRICK,2015-03-31,2015-03-27,TrickyCoin,https://bitcointalk.org/index.php?topic=1004692.0,2015-03-27
YUM,2014-11-16,2014-01-06,raminnoodle,https://bitcointalk.org/index.php?topic=400667.0,2014-01-06
SKYNET,2014-12-13,2014-08-29,SkynetDev,https://bitcointalk.org/index.php?topic=761880.0,2014-08-29
NYC,2014-05-06,2011-12-12,Disposition,https://bitcointalk.org/index.php?topic=54392.0,2011-12-12
GAIA,2014-10-11,2013-12-27,JonnyBravo,https://bitcointalk.org/index.php?topic=387863.0,2013-12-27
AGS,2014-08-25,2014-07-05,FriendsOfBitshares,https://bitcointalk.org/index.php?topic=678645.0,2014-07-05
XBC,2014-05-03,2014-03-30,XBCplus,https://bitcointalk.org/index.php?topic=549485.0,2014-03-30
MONA,2014-03-20,2013-12-30,2chpool,https://bitcointalk.org/index.php?topic=392088.0,2013-12-30
SPR,2014-10-26,2014-01-03,cosmofly,https://bitcointalk.org/index.php?topic=397562.0,2014-01-03
SPT,2013-07-25,2013-07-22,vipah,https://bitcointalk.org/index.php?topic=260332.0,2013-07-22
TAG,2013-11-05,2013-10-24,tagbond,https://bitcointalk.org/index.php?topic=317408.0,2013-10-24
DRKC,2014-07-29,2014-07-25,zlibz,https://bitcointalk.org/index.php?topic=709322.0,2014-07-25
LDOGE,2015-03-19,2015-06-01,heavensopen,https://bitcointalk.org/index.php?topic=1077390.0,2015-06-01
SPA,2014-03-15,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
SPC,2015-08-04,2014-01-27,spirecoin,https://bitcointalk.org/index.php?topic=435463.0,2014-01-27
HEEL,2015-10-27,2015-07-10,heelcoin,https://bitcointalk.org/index.php?topic=1117670.0,2015-07-10
TAK,2014-02-27,2014-02-07,TakeiCoin,https://bitcointalk.org/index.php?topic=452902.0,2014-02-07
PRIME,2015-09-14,2013-06-28,Sunny King,https://bitcointalk.org/index.php?topic=245953.0,2013-06-28
XPH,2015-06-08,2014-09-11,pathfinder dev,https://bitcointalk.org/index.php?topic=778707.0,2014-09-11
XPM,2013-07-10,2013-06-03,Sunny King,https://bitcointalk.org/index.php?topic=224012.0,2013-06-03
GP,2015-01-16,2014-04-22,greenpay,https://bitcointalk.org/index.php?topic=580400.0,2014-04-22
BTCS,2014-03-17,2014-03-17,kosmost,https://bitcointalk.org/index.php?topic=519162.0,2014-03-17
IXC,2013-05-08,2013-04-28,jubalix,https://bitcointalk.org/index.php?topic=189501.0,2013-04-28
NOBL,2014-02-08,2013-12-11,AndrewNoble,https://bitcointalk.org/index.php?topic=366847.0,2013-12-11
HZT,2015-04-17,2015-04-10,HazMatCoin-Dev,https://bitcointalk.org/index.php?topic=1019312.0,2015-04-10
XPY,2014-12-16,2013-08-06,deppJ,https://bitcointalk.org/index.php?topic=268941.0,2013-08-06
PIGGY,2014-06-15,2014-02-25,piggycoin,https://bitcointalk.org/index.php?topic=487017.0,2014-02-25
FIMK,2014-07-12,2014-05-31,Eliphaz Fimk,https://bitcointalk.org/index.php?topic=633304.0,2014-05-31
BYC,2014-11-23,2014-01-10,byte-coin,https://bitcointalk.org/index.php?topic=408300.0,2014-01-10
BTCD,2014-07-16,2014-07-09,Azeh,https://bitcointalk.org/index.php?topic=684090.0,2014-07-09
ROS,2014-09-30,2014-09-04,godivacoin,https://bitcointalk.org/index.php?topic=769857.0,2014-09-04
MAX,2014-02-12,2012-02-21,BitPay Business Solutions,https://bitcointalk.org/index.php?topic=64802.0,2012-02-21
PAC,2015-11-02,2014-08-11,PleiadesCoin,https://bitcointalk.org/index.php?topic=734531.0,2014-08-11
MAD,2015-09-01,2015-08-16,WhoIsNotMad,https://bitcointalk.org/index.php?topic=1154489.0,2015-08-16
FFC,2014-10-26,2014-01-15,argakiig,https://bitcointalk.org/index.php?topic=416527.0,2014-01-15
GUA,2014-11-23,2014-12-20,guaranycrypto,https://bitcointalk.org/index.php?topic=900091.0,2014-12-20
BEN,2014-02-27,2014-02-02,AllAboutTheBenjaminsBaby,https://bitcointalk.org/index.php?topic=444543.0,2014-02-02
GUE,2014-06-23,2014-06-17,guerillacoin,https://bitcointalk.org/index.php?topic=656167.0,2014-06-17
DTC,2014-11-16,2013-12-03,mstfck,https://bitcointalk.org/index.php?topic=355973.0,2013-12-03
BCF,2014-12-06,2014-12-03,BitCoinFastTeam,https://bitcointalk.org/index.php?topic=881774.0,2014-12-03
007,2015-04-23,2015-04-21,007coin,https://bitcointalk.org/index.php?topic=1033996.0,2015-04-21
GUN,2014-05-11,2014-03-03,guncoin_support,https://bitcointalk.org/index.php?topic=498671.0,2014-03-03
YBC,2014-01-16,2013-06-26,orange,https://bitcointalk.org/index.php?topic=243046.0,2013-06-26
BET,2013-12-14,2013-10-30,betacoindev,https://bitcointalk.org/index.php?topic=321266.0,2013-10-30
TTY,2015-01-18,2014-07-15,TrinityCoin,https://bitcointalk.org/index.php?topic=695149.0,2014-07-15
HUC,2014-02-14,2013-09-24,snailbrain,https://bitcointalk.org/index.php?topic=300538.0,2013-09-24
TTC,2014-11-08,2014-01-29,vertoe,https://bitcointalk.org/index.php?topic=438174.0,2014-01-29
NMB,2014-09-04,2014-11-25,NimbusGames,https://bitcointalk.org/index.php?topic=873175.0,2014-11-25
GRT,2015-07-27,2015-05-03,The Grantcoin Foundation,https://bitcointalk.org/index.php?topic=1046001.0,2015-05-03
FLAP,2014-02-22,2014-01-23,jayguar,https://bitcointalk.org/index.php?topic=429103.0,2014-01-23
BLU,2014-04-27,2014-01-28,BluCoin,https://bitcointalk.org/index.php?topic=436511.0,2014-01-28
1337,2015-11-09,2014-01-10,.Batman.,https://bitcointalk.org/index.php?topic=409150.0,2014-01-10
SOLE,2014-08-21,2014-08-08,solecoin,https://bitcointalk.org/index.php?topic=730077.0,2014-08-08
FLAX,2015-07-25,2015-06-25,ocminer,https://bitcointalk.org/index.php?topic=1099181.0,2015-06-25
GRF,2015-08-17,2015-07-24,Graffiti,https://bitcointalk.org/index.php?topic=1133970.0,2015-07-24
FTC,2013-05-02,2013-04-19,blastbob,https://bitcointalk.org/index.php?topic=180983.0,2013-04-19
GRE,2014-06-23,2014-04-22,GreenCoinDev,https://bitcointalk.org/index.php?topic=579815.0,2014-04-22
GRC,2015-02-28,2013-05-05,noyvpom,https://bitcointalk.org/index.php?topic=195400.0,2013-05-05
BLK,2014-02-28,2014-02-16,rat4,https://bitcointalk.org/index.php?topic=469640.0,2014-02-16
CRACK,2014-09-19,2013-05-29,r3wt,https://bitcointalk.org/index.php?topic=219220.0,2013-05-29
GRN,2014-06-12,2014-05-22,GraniteCoin,https://bitcointalk.org/index.php?topic=621544.0,2014-05-22
GRM,2015-06-26,2015-06-14,gmcdev,https://bitcointalk.org/index.php?topic=1089741.0,2015-06-14
DSB,2014-10-25,2014-10-23,DarkShibe,https://bitcointalk.org/index.php?topic=833133.0,2014-10-23
BLC,2014-02-12,2013-10-07,BlueDragon747,https://bitcointalk.org/index.php?topic=306894.0,2013-10-07
COOL,2014-06-28,2013-12-30,IainKay,https://bitcointalk.org/index.php?topic=391240.0,2013-12-30
HYPER,2014-05-31,2013-05-30,shakezula,https://bitcointalk.org/index.php?topic=219665.0,2013-05-30
MI,2015-09-04,2015-05-25,she9888,https://bitcointalk.org/index.php?topic=1068526.0,2015-05-25
NOC,2015-07-27,2014-01-28,extortion,https://bitcointalk.org/index.php?topic=435832.0,2014-01-28
EMC2,2014-04-09,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
