symbol,name,ann
BTC,Bitcoin,http://article.gmane.org/gmane.comp.encryption.general/12588/
IXC,iXcoin,https://bitcointalk.org/index.php?topic=36218.0
I0C,I0coin,https://bitcointalk.org/index.php?topic=36425.0
SC,SolidCoin,https://bitcointalk.org/index.php?topic=38453.0
GG,GeistGeld,https://bitcointalk.org/index.php?topic=42417.0
TBX,Tenebrix,https://bitcointalk.org/index.php?topic=45667.0
FBX,Fairbrix,https://bitcointalk.org/index.php?topic=46528.0
LTC,Litecoin,https://bitcointalk.org/index.php?topic=47417.0
BQC,BBQcoin,https://bitcointalk.org/index.php?topic=307923.0
SRC,Sunrisecoin,https://bitcointalk.org/index.php?topic=206017.0
NET,Netcoin,https://bitcointalk.org/index.php?topic=201402.0
FRK,Franko,https://bitcointalk.org/index.php?topic=202417.0
ANC,Anoncoin,https://bitcointalk.org/index.php?topic=309716.0
IFC,Infinitecoin,https://bitcointalk.org/index.php?topic=225891.0
XNC,Xencoin,https://bitcointalk.org/index.php?topic=237998.0
FLO,Florincoin,https://bitcointalk.org/index.php?topic=236742.0
MEC,Megacoin,https://bitcointalk.org/index.php?topic=218851.0
NAN,Nanotoken,https://bitcointalk.org/index.php?topic=242491.0
MNC,Mincoin,https://bitcointalk.org/index.php?topic=165397.0
TCN,Tr011Coin,https://bitcointalk.org/index.php?topic=367303.0
DGC,Digitalcoin,https://bitcointalk.org/index.php?topic=785601.0
WDC,Worldcoin,https://bitcointalk.org/index.php?topic=204894.0
PNC,PornCoin,https://bitcointalk.org/index.php?topic=219452.0
NBL,Nibble,https://bitcointalk.org/index.php?topic=209035.0
ALF,AlphaCoin,https://bitcointalk.org/index.php?topic=230868.0
ARG,Argentum,https://bitcointalk.org/index.php?topic=231524.0
PWC,Powercoin,https://bitcointalk.org/index.php?topic=203505.0
FST,Fastcoin,https://bitcointalk.org/index.php?topic=218852.0
GLC,Globalcoin,https://bitcointalk.org/index.php?topic=243911.0
6CN,6coin,https://bitcointalk.org/index.php?topic=239201.0
RCH,Richcoin,https://bitcointalk.org/index.php?topic=239251.0
REC,Realcoin,https://bitcointalk.org/index.php?topic=227149.0
eDC,e-Dollar,https://bitcointalk.org/index.php?topic=248336.0
EMD,Emerald Crypto,https://bitcointalk.org/index.php?topic=235870.0
SXC,Sexcoin,https://bitcointalk.org/index.php?topic=218158.0
NC,Nucoin,https://bitcointalk.org/index.php?topic=241128.0
TDC,Tradecoin,https://bitcointalk.org/index.php?topic=242857.0
VLC,Valuecoin,https://bitcointalk.org/index.php?topic=239666.0
LKY,Luckycoin,https://bitcointalk.org/index.php?topic=214614.0
DOGE,Dogecoin,https://bitcointalk.org/index.php?topic=361813.0
APE,Apecoin,https://bitcointalk.org/index.php?topic=375938.0
NYAN,Nyancoin,https://bitcointalk.org/index.php?topic=380223.0
CAT,Catcoin,https://bitcointalk.org/index.php?topic=441402.0
PAND,Pandacoin,https://bitcointalk.org/index.php?topic=464476.0
JBG,JebigaCoin,https://bitcointalk.org/index.php?topic=530408.0
SPC,Supercoin,https://bitcointalk.org/index.php?topic=206164.0
CSC,Casinocoin,https://bitcointalk.org/index.php?topic=258090.0
RED,Redcoin,https://bitcointalk.org/index.php?topic=246693.0
EGC,Eaglecoin,https://bitcointalk.org/index.php?topic=260484.0
ELP,ElephantCoin,https://bitcointalk.org/index.php?topic=256501.0
QTC,Quantumcoin,https://bitcointalk.org/index.php?topic=224198.0
USC,Uscoin,https://bitcointalk.org/index.php?topic=215465.0
FEC,Ferretcoin,https://bitcointalk.org/index.php?topic=247208.0
GLD,Goldcoin,https://bitcointalk.org/index.php?topic=263459.0
PXC,Phoenixcoin,https://bitcointalk.org/index.php?topic=330956.0
RYC,Royalcoin,https://bitcointalk.org/index.php?topic=199839.0
SBC,Stablecoin,https://bitcointalk.org/index.php?topic=227766.0
NRB,Noirbits,https://bitcointalk.org/index.php?topic=270264.0
CTC,Crimecoin=Communitycoin,https://bitcointalk.org/index.php?topic=280451.0
JPC,Jupitercoin,https://bitcointalk.org/index.php?topic=259918.0
CNC,CHNCoin,https://bitcointalk.org/index.php?topic=192243.0
EZC,EzCoin,https://bitcointalk.org/index.php?topic=220103.0
ICE,Icecoin,https://bitcointalk.org/index.php?topic=232186.0
HYC,Hypercoin,https://bitcointalk.org/index.php?topic=218737.0
ELC,ELACoin,https://bitcointalk.org/index.php?topic=203647.0
ZEU,Zeuscoin,https://bitcointalk.org/index.php?topic=308741.0
BEL,Bells,https://bitcointalk.org/index.php?topic=349695.0
PLT,PlayToken,https://bitcointalk.org/index.php?topic=266521.0
EXC,Extremecoin,https://bitcointalk.org/index.php?topic=276609.0
ITC,Italycoin,https://bitcointalk.org/index.php?topic=296775.0
GIL,GIL,https://bitcointalk.org/index.php?topic=255844.0
PCN,Picoin,https://bitcointalk.org/index.php?topic=281889.0
WEC,Weedcoin,https://bitcointalk.org/index.php?topic=219748.0
TYC,Tinycoin(Angrycoin),https://bitcointalk.org/index.php?topic=228809.0
ARC,Argcoin,https://bitcointalk.org/index.php?topic=278166.0
CRC,Craftcoin,https://bitcointalk.org/index.php?topic=250343.0
DBL,Doubloons,https://bitcointalk.org/index.php?topic=206361.0
GME,Gamecoin,https://bitcointalk.org/index.php?topic=202764.0
STR,StarCoin,https://bitcointalk.org/index.php?topic=259012.0
ADT,AndroidsTokens,https://bitcointalk.org/index.php?topic=276884.0
COL,Colossuscoin,https://bitcointalk.org/index.php?topic=280114.0
FLS,Flashcoin,https://bitcointalk.org/index.php?topic=222450.0
QWC,Quickcoin,https://bitcointalk.org/index.php?topic=226342.0
VAG,VaginaCoin,https://bitcointalk.org/index.php?topic=221190.0
BEST,Bestcoin,https://bitcointalk.org/index.php?topic=266439.0
POK,Pokercoin,https://bitcointalk.org/index.php?topic=250711.0
CYB,Cryptobits,https://bitcointalk.org/index.php?topic=261194.0
AMC,Americancoin,https://bitcointalk.org/index.php?topic=932375.0
BOS,Bosscoin,https://bitcointalk.org/index.php?topic=355729.0
LOVE,Lovecoin,https://bitcointalk.org/index.php?topic=367898.0
SMC,Smartcoin,https://bitcointalk.org/index.php?topic=400893.0
DNC,Dragoncoin,https://bitcointalk.org/index.php?topic=216653.0
SPT,Spots,https://bitcointalk.org/index.php?topic=259764.0
CPR,CopperBar,https://bitcointalk.org/index.php?topic=272170.0
PINGAS,Pingas,https://bitcointalk.org/index.php?topic=387319.0
GEO,GeoCoin,https://bitcointalk.org/index.php?topic=277091.0
LOT,Lottocoin,https://bitcointalk.org/index.php?topic=368153.0
XIV,Xivra,https://bitcointalk.org/index.php?topic=376160.0
LDC,Leadcoin,https://bitcointalk.org/index.php?topic=382404.0
CHI,Chicoin,https://bitcointalk.org/index.php?topic=382690.0
MEOW,Kittehcoin,https://bitcointalk.org/index.php?topic=383068.0
HTC,Hotcoin,https://bitcointalk.org/index.php?topic=382947.0
NWC,Networkcoin,https://bitcointalk.org/index.php?topic=387657.0
HAM,HamsterCoin,https://bitcointalk.org/index.php?topic=388650.0
