symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
CPC,capricoin,Capricoin,0.000801841,0.000156056,5.138161941867022,5.138161941867022,4.351257339454519,2.4795954239801574,2.484807683612031,3.0911895834273655,2.642135021369009,173264,3,False,False,False,False,False,False,True,2015-07-23
XBS,bitstake,BitStake,0.00118852,2.21e-06,537.7918552036199,537.7918552036199,537.7918552036199,4.734831717380865,4.151021584671287,2.3434111116845893,1.9441374082978036,716337,1,False,False,False,True,False,False,False,2015-01-13
NXTprivacy,nxtprivacy,NXTprivacy,0.0031912,0.000108172,29.501164811596347,29.501164811596347,15.784735618538853,3.1049474371575463,3.144026484176145,2.7491100590848485,2.753434532362122,24750,1,False,False,False,False,False,False,False,2014-10-04
SIB,sibcoin,SIBCoin,3.50259e-05,1.09954e-05,3.185504847481674,3.185504847481674,3.1832177619441437,1.8360308108060657,1.9538628354225265,1.8614087054807078,1.9688410703444295,12936,1,False,False,False,False,False,False,False,2015-09-25
YUM,candycoin,CandyCoin,4.9065e-06,2.19934e-07,22.3089654168978,22.3089654168978,2.7281522627566765,2.3620087168259585,2.4707016118996474,1.7454162648771054,1.79936321467796,749,0,False,False,False,False,False,False,False,2014-11-16
SKYNET,skynet-asset,SkyNET,0.00284011,0.000492776,5.763490916765426,5.763490916765426,5.763490916765426,2.064552838548624,2.245189639103296,2.001574257915878,2.1029614110179797,60148,1,False,False,False,False,False,False,False,2014-12-13
NYC,newyorkcoin,NewYorkCoin,1.00351e-08,7.1e-12,1413.3943661971832,1413.3943661971832,40.39895330112722,5.56349953041154,7.068426271691023,3.660840247680648,7.151264713842981,6680,2,False,False,False,False,False,False,False,2014-05-06
GAIA,gaia,GAIA,9.0966e-06,9.5e-07,9.575368421052632,9.575368421052632,9.575368421052632,2.268934074550444,2.5413121803964707,1.3995763462442434,1.7307824242816086,458149,1,False,False,False,False,False,False,True,2014-10-11
AGS,aegis,Aegis,1.98172e-05,6e-07,33.028666666666666,33.028666666666666,33.028666666666666,12.026710371923393,11.822499874793259,1.390686895737158,1.362548278404841,10235,1,False,False,False,True,False,False,False,2014-08-25
XBC,bitcoin-plus,Bitcoin Plus,0.0253059,0.0001795,140.97994428969358,140.97994428969358,126.52949999999998,16.530900296485942,16.530900296485942,1.8481222217720257,1.8481222217720257,1444582,1,False,False,True,False,False,False,False,2014-05-03
DRKT,darktron,DarkTron,7.139e-05,2.08e-06,34.32211538461539,34.32211538461539,34.32211538461539,3.4875835806073474,3.7105583751251103,1.6751543016356478,1.633426367463214,22058,1,False,False,False,False,False,False,False,2015-06-10
MONA,monacoin,MonaCoin,0.00124232,4.30149e-05,28.881155134616147,15.047061431185908,9.350383477717651,4.29552892776339,3.6886364397804177,2.6894202645390113,2.6195331866148983,3418961,9,False,False,False,True,False,False,True,2014-03-20
