symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
CPC,capricoin,Capricoin,0.210166,0.0480542,4.373519900445746,2.7281318230555347,1.8079262260531452,2.2430997488593247,9.77240096495701,2.9573144091057757,1.8647284665118684,1120.1588287110708,1126.8048484421581,15762.120631473685,17013.40830194594,188186.6832234599,156625.87393345998,2648036.266087579,2364863.7539704856,3,False,False,False,False,False,False,True,2015-07-23
XBS,bitstake,BitStake,0.265748,0.000449854,590.7427743223357,590.7427743223357,473.3505634828889,7.161732317010168,12.177349099880868,4.86141281545515,5.255720067277786,2076.8252747350007,4748.7220166666675,37992.02630333209,79184.14822390593,743503.4483551303,455877.3136000001,13601145.416592889,7601678.229494968,0,False,False,False,False,False,False,False,2015-01-13
NXTprivacy,nxtprivacy,NXTprivacy,1.09009,0.0324006,33.64413004697444,33.64413004697444,21.269799768197835,3.5784411305877164,3.6533817985853183,5.403244599601988,5.407893128955035,55.282058485840736,14.625810000000001,274.0163509146036,15.000029280633179,24987.49043560001,43.877430000000004,123855.39061340083,45.000087841899536,1,False,False,False,False,False,False,False,2014-10-04
SIB,sibcoin,SIBCoin,0.0106495,0.00313494,3.3970347119881077,3.3970347119881077,2.8477111616800412,1.8812623468946004,2.6744935416979785,1.856929823958993,1.839465307765829,144.94183378640776,107.91632352941178,25273.187839550006,18658.97646950628,14929.008879999998,3669.1550000000007,2603138.3474736507,634405.1999632135,2,False,False,False,False,False,False,False,2015-09-25
YUM,candycoin,CandyCoin,0.00185321,4.899e-05,37.82833231271689,37.82833231271689,3.4767526719934567,2.8698005424456454,3.1693281424435327,2.6768646517144816,2.7523010279393256,6.481150362931035,13.6840355,9361.681789422986,7479.192819663833,751.8134421000001,54.736142,1085955.0875730664,29916.77127865533,0,False,False,False,False,False,False,False,2014-11-16
SKYNET,skynet-asset,SkyNET,0.719832,0.18624,3.865077319587629,3.865077319587629,3.1678424158675536,2.0446853006992884,4.735647751156665,1.9504399749432222,2.2954665443553592,152.93914705912584,245.0455279222221,414.4003408543093,637.0695059709348,59493.328205999955,48519.014528599975,161201.73259232633,126139.76218224509,1,False,False,False,False,False,False,False,2014-12-13
NYC,newyorkcoin,NewYorkCoin,6.59143e-06,3.3786e-09,1950.935298644409,1950.935298644409,63.24656009518509,9.409016943071851,13.20859791076595,40.71575509277816,43.9448180900505,22.401672364583845,37.168095340000015,138376802.25156796,8321187.805697313,13687.42181476073,1040.7066695200003,84548226175.70802,232993258.55952474,2,False,False,False,False,False,False,False,2014-05-06
GAIA,gaia,GAIA,0.0034431,0.000256144,13.442048222874634,13.442048222874634,7.96167960430931,3.660414095514214,5.133109055957306,1.8752344486243997,3.3623372471521566,1050.9532572376227,7375.631115038457,572386.4400877147,3225515.6922850637,469776.1059852174,383532.8179819998,255856738.71920845,167726815.99882331,1,False,False,False,False,False,False,True,2014-10-11
AGS,aegis,Aegis,0.00948198,0.000142377,66.5976948523989,66.5976948523989,34.85099532476697,20.707355681649485,21.044096126860957,6.079751224789685,5.66349249726485,21.52404892466266,804.3605160000001,13801.00599370078,149011.6509284719,10718.976364482005,7239.244644,6872900.984862989,1341104.8583562472,0,False,False,False,False,False,False,False,2014-08-25
XBC,bitcoin-plus,Bitcoin Plus,11.0849,0.0631012,175.6686085209156,175.6686085209156,93.60507338163517,16.941280229505075,16.941280229505075,4.153873567485406,4.153873567485406,2356.286418418925,188514.0,882.9773720011216,17006.378045810066,1444403.5744908012,188514.0,541265.1290366875,17006.378045810066,1,False,False,True,False,False,False,False,2014-05-03
DRKT,darktron,DarkTron,0.0167966,0.000408235,41.14443886486949,41.14443886486949,18.241074182352097,5.194961577079236,5.500438044755499,3.5959558317518843,3.7882001541169283,244.8865288173407,1344.9981166666669,52427.34490421825,136660.8922983651,46038.66741766005,8069.988700000001,9856340.84199303,819965.3537901905,1,False,False,False,False,False,False,False,2015-06-10
MONA,monacoin,MonaCoin,0.738176,0.0226116,32.64589856533815,32.64589856533815,9.498012069120808,7.802917430505623,8.775762848597138,7.055058092383099,6.917845345766369,6012.455673252279,2030.1785407407408,57463.564316197175,19485.032621434482,3956195.8329999996,274074.103,37811025.32005774,2630479.403893655,8,False,False,False,False,False,False,True,2014-03-20
SPR,spreadcoin,SpreadCoin,0.156104,0.001303,119.80353031465849,31.903796474935415,4.337499374815918,5.7217528925970225,9.447234531135027,4.8515277022811825,5.647057823118405,863.7479033620358,848.5283346912222,26844.26331771259,9148.956716159268,377457.8337692096,76367.55012221,11730943.069840401,823406.1044543341,1,False,False,False,False,False,False,True,2014-10-26
BLITZ,blitz,Blitz,0.0494071,0.0024371,20.272906323088918,9.703553857786769,5.739779085113106,3.6268973130597835,4.441238685763119,3.512290334993125,3.1706999315374955,650.2669734615386,744.7425956043958,46226.68414163536,67628.41737628957,270511.06096000003,67771.57620000001,19230300.602920312,6154185.98124235,1,False,False,False,False,False,False,True,2014-11-16
TAG,tagcoin,TagCoin,3.11315,0.00744679,418.05261058791774,418.05261058791774,88.76808494864645,15.6135842207115,17.005111420172042,25.51887384710813,25.51887384710813,3096.216765359391,0.0,25380.070037906138,0.0,2455299.894929997,0.0,20126395.540059566,0.0,4,False,False,False,False,True,True,False,2013-11-05
DRKC,darkcash,DarkCash,0.0116933,0.000300579,38.90258467823767,38.90258467823767,13.606305772728279,3.646127343820023,12.407799262909387,2.1972979623836157,9.241322873471823,130.47141886664465,266.1306780725082,24516.995443970267,46264.889391918085,68627.96632385509,67064.93087427206,12895939.60352836,11658752.126763357,1,False,False,False,False,False,True,False,2014-07-29
XMR,monero,Monero,5.03898,0.226724,22.22517245637868,22.22517245637868,9.803558400373545,5.757910496019362,6.534479655016861,5.444649141212383,5.902069256548836,66784.02565436247,175479.091875,72160.55390688799,68232.29366091995,39803279.29000003,5615330.94,43007690.12850524,2183433.3971494385,6,False,False,True,False,False,True,True,2014-05-20
