coin_name,coin_symbol,first_date_price
Capricoin,CPC,2015-07-23
BitStake,XBS,2015-01-13
NXTprivacy,NXTprivacy,2014-10-04
SIBCoin,SIB,2015-09-25
CandyCoin,YUM,2014-11-16
SkyNET,SKYNET,2014-12-13
NewYorkCoin,NYC,2014-05-06
GAIA,GAIA,2014-10-11
Aegis,AGS,2014-08-25
Bitcoin Plus,XBC,2014-05-03
DarkTron,DRKT,2015-06-10
MonaCoin,MONA,2014-03-20
SpreadCoin,SPR,2014-10-26
Blitz,BLITZ,2014-11-16
TagCoin,TAG,2013-11-05
DarkCash,DRKC,2014-07-29
Monero,XMR,2014-05-20
SpainCoin,SPA,2014-03-15
SpikesPrivateCoin,SPC,2015-08-04
HeelCoin,HEEL,2015-10-27
TakCoin,TAK,2014-02-27
PrimeChain,PRIME,2015-09-14
Pharma,XPH,2015-06-08
Primecoin,XPM,2013-07-10
GoldPieces,GP,2015-01-16
Bitcoin Scrypt,BTCS,2014-03-17
Ixcoin,IXC,2013-05-08
Metal Music Coin,MTLMC3,2015-07-02
NobleCoin,NOBL,2014-02-08
Full Integrity Coin,FIC,2015-07-09
PayCoin,XPY,2014-12-16
Catcoin,CAT,2013-12-27
Piggycoin,PIGGY,2014-06-15
Buongiorno Caffe,BGCAFFE,2015-05-13
FIMKrypto,FIMK,2014-07-12
Bytecent,BYC,2014-11-23
BitcoinDark,BTCD,2014-07-16
TrickyCoin,TRICK,2015-03-31
RosCoin,ROS,2014-09-30
MaxCoin,MAX,2014-02-12
Coinworkscoin,LAB,2014-10-25
SatoshiMadness,MAD,2015-09-01
FireFlyCoin,FFC,2014-10-26
Guarany,GUA,2014-11-23
Benjamins,BEN,2014-02-27
Guerillacoin,GUE,2014-06-23
Datacoin,DTC,2013-12-07
Cashme,CME,2015-11-23
Guncoin,GUN,2014-05-11
YbCoin,YBC,2014-01-16
BetaCoin,BET,2013-12-14
Lightspeed,LSD,2014-09-13
HunterCoin,HUC,2014-02-14
Hundredcoin,HUN,2015-06-19
TittieCoin,TTC,2014-11-08
BilShares,BILS,2014-08-25
Grantcoin,GRT,2015-07-27
GroestlCoin,GRS,2014-04-11
BlueCoin,BLU,2014-04-27
1337,1337,2015-11-09
Solecoin,SOLE,2014-08-21
CoinoUSD,COINO,2014-12-24
Flaxscript,FLAX,2015-07-25
Graffiti,GRF,2015-08-17
Feathercoin,FTC,2013-05-02
Greencoin,GRE,2014-06-23
GridCoin,GRC,2015-02-28
BlackCoin,BLK,2014-02-28
CrackCoin,CRACK,2014-09-19
GraniteCoin,GRN,2014-06-12
Sprouts,SPRTS,2015-07-21
DarkShibe,DSB,2014-10-25
Blakecoin,BLC,2014-02-12
CoolCoin,COOL,2014-06-28
Hyper,HYPER,2014-05-31
Xiaomicoin,MI,2015-09-04
Nocturna,NOC,2015-07-27
Einsteinium,EMC2,2014-04-09
Crypto Bullion,CBX,2013-08-04
Opal,OPAL,2014-09-13
Elektron,EKN,2015-04-11
EuropeCoin,ERC,2015-06-18
ShadeCoin,SHADE,2014-09-06
FujiCoin,FJC,2015-06-14
CryptCoin,CRYPT,2014-05-26
Augur,REP,2015-10-27
GlobalCoin,GLC,2013-08-04
GoldCoin,GLD,2013-06-14
ContinuumCoin,CTM,2014-02-27
Crypto,CTO,2015-05-18
SmartCoin,SMC,2014-02-06
RedCoin,RED,2014-01-24
Clams,CLAM,2014-08-25
Factom,FCT,2015-10-05
Fantom,FCX,2015-11-23
Forevercoin,XFC,2015-06-24
Faucetcoin,DROP,2015-11-02
Zoom,ZOOM,2015-07-16
SOILcoin,SOIL,2015-11-12
Fantomcoin,FCN,2014-06-08
BowsCoin,BSC,2015-07-13
LiteStarCoin,LTS,2015-10-23
FuelCoin,FC2,2014-06-12
DraftCoin,DFT,2015-11-23
Alexium,AUM,2015-08-20
Litecoin,LTC,2013-04-28
LiteBar,LTB,2014-03-12
SuperNET,UNITY,2014-09-30
Auroracoin,AUR,2014-02-27
TileCoin,XTC,2014-10-25
Vector,VEC,2015-09-04
Tamagucci,TAM,2015-06-26
LeafCoin,LEAF,2014-02-02
BitBay,BAY,2014-11-16
Aliencoin,ALN,2014-03-15
AlphaCoin,ALF,2013-07-07
Neutrino,NTR,2014-06-12
StableCoin,SBC,2013-07-07
Siacoin,SC,2015-08-26
Orbitcoin,ORB,2013-12-21
Memorycoin,MMC,2013-12-24
Glyph,GLYPH,2014-06-17
I0Coin,I0C,2013-11-27
BatCoin,BAT,2014-03-03
Dogecoin,DOGE,2013-12-15
FutCoin,FUTC,2015-07-21
TorCoin,TOR,2014-07-12
bitEUR,BITEUR,2015-06-08
TopCoin,TOP,2014-02-17
Bottlecaps,CAP,2013-07-04
RipoffCoin,RIPO,2014-08-23
Viral,VIRAL,2015-05-08
Motocoin,MOTO,2014-06-03
OsmiumCoin,OS76,2015-10-19
StrongHands,SHND,2015-10-30
Cthulhu Offerings,OFF,2015-07-25
WorldCoin,WDC,2013-05-21
