coin,nontrivial
CPN,0.0
XBS,0.0
TRICK,0.0
YUM,0.0
SKYNET,0.0
GAIA,0.0
MONA,0.0
OPAL,0.0
BLITZ,0.0
TAG,0.0
DRKC,0.0
SPA,0.0
TAK,0.0
XPH,0.0
XPM,1.0
GP,0.0
IXC,0.0
NOBL,0.0
HZT,0.0
XPY,0.0
CAT,0.0
PIGGY,0.0
FIMK,0.0
BTCD,1.0
MNC,0.0
MAX,0.0
FFC,0.0
GUA,0.0
BEN,0.0
GUE,0.0
DTC,0.0
GUN,1.0
YBC,0.0
BET,0.0
TTY,1.0
HUC,0.0
TTC,0.0
GRT,0.0
GRS,0.0
SOLE,1.0
FTC,0.0
GRE,0.0
GRC,0.0
BLK,0.0
BLC,1.0
ZS,0.0
HYPER,0.0
MI,0.0
EMC2,0.0
DON,0.0
SPT,0.0
GLC,0.0
GLD,0.0
SMC,0.0
RED,0.0
CLAM,0.0
FCN,0.0
BSC,0.0
FC2,0.0
LTC,1.0
UNITY,0.0
AUR,0.0
XTC,0.0
FETISH,0.0
LEAF,0.0
MOTO,0.0
XWC,0.0
ALN,0.0
ALF,0.0
SBC,0.0
ORB,0.0
MMC,1.0
GLYPH,0.0
I0C,0.0
BAT,0.0
DOGE,0.0
FUTC,0.0
TOR,1.0
TOP,0.0
CAP,1.0
BAY,0.0
ERC,0.0
ERM,0.0
BTG,0.0
CELL,0.0
VPN,0.0
NEOS,0.0
ZRC,0.0
RZR,1.0
CACH,0.0
CFN,0.0
GENI,0.0
XQN,0.0
LIT,0.0
GHC,0.0
ZNY,0.0
EGG,0.0
SAK,0.0
PRC,0.0
MEOW,0.0
PRT,0.0
CHA,0.0
CHC,1.0
MRY,0.0
JAY,0.0
MMNXT,0.0
URO,0.0
MRC,0.0
MUE,0.0
VIA,0.0
DBL,0.0
SFR,0.0
PYC,0.0
KORE,0.0
XLB,0.0
SWING,0.0
SLING,0.0
PLNC,0.0
PKB,0.0
TENNET,0.0
GCC,0.0
DOGED,0.0
CSC,0.0
GCN,0.0
SHA,1.0
CAGE,0.0
BTQ,0.0
XCE,0.0
XCH,0.0
SSV,0.0
XCN,1.0
MOON,0.0
BTE,0.0
XCP,0.0
BTC,1.0
BTB,1.0
JBS,0.0
ISR,0.0
SPHR,0.0
UTIL,0.0
OCTO,0.0
2BACCO,0.0
ISL,0.0
DGB,0.0
DGC,0.0
ECC,0.0
LIQUID,0.0
ASC,0.0
KUMA,0.0
QTL,0.0
BITS,0.0
JKC,0.0
VTA,0.0
VTC,1.0
FRK,0.0
DUB,0.0
EUC,0.0
UNB,0.0
VTR,0.0
CARB,0.0
BBR,1.0
YAC,1.0
UNO,0.0
OMC,0.0
ZED,0.0
HVC,1.0
CRAVE,0.0
ZET,0.0
FRC,0.0
SLFI,0.0
WBB,0.0
DUCK,0.0
DT,0.0
DP,0.0
CESC,0.0
CYP,0.0
POT,0.0
POP,0.0
TGC,0.0
RPC,0.0
TIPS,1.0
NODE,0.0
BITGOLD,0.0
RBY,0.0
DOPE,0.0
LSD,0.0
SLR,0.0
SLG,0.0
NRB,0.0
WKC,0.0
QB,0.0
BDSM,0.0
NRS,0.0
AXR,0.0
EXC,0.0
SWARM,0.0
DRZ,0.0
TCO,0.0
GLOBE,0.0
VNL,0.0
RIN,0.0
CANN,0.0
CLR,0.0
RIC,1.0
FRAC,1.0
HAM,0.0
MED,1.0
DASH,1.0
THC,0.0
CINNI,0.0
PHO,0.0
BURST,0.0
ZEIT,0.0
GEO,0.0
MEM,0.0
LXC,1.0
MZC,0.0
SPEC,0.0
DMD,0.0
BELA,0.0
SYNC,0.0
CRC,0.0
SKC,1.0
FLAP,0.0
ACOIN,0.0
XDN,0.0
BUK,0.0
XDQ,0.0
XDP,0.0
SWIFT,0.0
GEN,0.0
FIBRE,1.0
LIMX,0.0
KEY,1.0
UNIC,0.0
XRA,0.0
VGC,0.0
XRP,0.0
ANC,1.0
ANI,0.0
NVC,0.0
JLH,0.0
COV,0.0
BCX,0.0
ICASH,0.0
ETH,0.0
COL,0.0
CON,0.0
KDC,0.0
VRC,0.0
QORA,0.0
COOL,0.0
SRC,0.0
FAIR,0.0
DIME,0.0
XMG,1.0
HEX,0.0
COMM,0.0
CS,0.0
XMR,0.0
SNRG,0.0
NMC,0.0
LOG,1.0
MNTA,0.0
WDC,0.0
LOT,0.0
ARCH,0.0
AIB,0.0
QRK,0.0
SOL,0.0
GAP,0.0
DIBS,0.0
NSR,0.0
UTC,0.0
XVI,0.0
XCASH,0.0
HTML5,0.0
PINK,0.0
ARG,0.0
ARI,0.0
TRUST,0.0
NYAN,0.0
HBN,0.0
TIX,1.0
TIT,0.0
DRS,0.0
NAN,0.0
CCN,0.0
NAV,0.0
BOB,0.0
BOD,0.0
SHLD,0.0
SXC,0.0
CENT,0.0
LYC,0.0
NXT,1.0
BQC,0.0
NXE,0.0
OK,0.0
CRAIG,1.0
OC,0.0
BVC,0.0
NTRN,0.0
FST,0.0
HZ,0.0
XST,1.0
CLOAK,0.0
QSLV,0.0
LKY,0.0
XSI,0.0
VIOR,1.0
TRON,0.0
AMC,0.0
PTC,0.0
ROS,0.0
TRI,0.0
TRK,0.0
TRL,0.0
AM,0.0
TRC,0.0
USDe,0.0
VOOT,0.0
MYST,0.0
ENRG,0.0
NOXT,0.0
NEC,0.0
XNC,0.0
ACP,0.0
NET,0.0
SILK,0.0
PMP,0.0
GRAV,0.0
NBL,0.0
CORG,0.0
ELC,0.0
RBBT,0.0
J,0.0
GME,0.0
FLT,0.0
RDD,1.0
ADC,0.0
DIEM,0.0
MINT,0.0
AEON,1.0
ELT,0.0
LEA,0.0
MEC,0.0
HIRO,0.0
NAUT,0.0
CIRC,0.0
GDC,0.0
VIRAL,0.0
IFC,0.0
MSC,0.0
QCN,0.0
KARM,0.0
EAC,0.0
PXL,0.0
PXC,0.0
TB,0.0
AC,0.0
ICN,0.0
ICB,0.0
METAL,0.0
START,0.0
CND,0.0
AU,0.0
CNC,0.0
AMBER,0.0
CNL,0.0
CRYPT,0.0
NKA,0.0
ZCC,0.0
NOTE,0.0
KGC,0.0
EZC,0.0
