coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted
XBS, 0.0019982, 1.45e-05, 137.806896552, 137.806896552, 124.8875, 9.42515763496, 10.0533020198, 42.7367622431, 47.3050983057
NYC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
GAIA, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
WLF, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
MONA, 0.00066, 2.001e-05, 32.9835082459, 32.9835082459, 2.32394366197, 1.59629543647, 1.61223854659, 1.81346370866, 1.91059953143
OPAL, 4.3e-05, 1.51e-06, 28.4768211921, 5.97222222222, 4.81522956327, 2.38479756951, 2.02292737804, 2.17810471967, 1.51327217366
SPT, 0.000152, 2.1e-07, 723.80952381, 723.80952381, 161.70212766, 18.9425143723, 19.3302358505, 15.5662152375, 15.7731520984
TAG, 0.00212015, 3e-05, 70.6716666667, 70.6716666667, 19.1297482631, 7.04820946631, 8.77922802334, 5.82008725502, 8.19886404532
DRKC, 2.11e-05, 3.36e-06, 6.27976190476, 3.5225375626, 3.5225375626, 2.02697210419, 1.9987149597, 2.20613444235, 1.71004904331
TAC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SPA, 0.00014142, 2.5e-07, 565.68, 565.68, 207.970588235, 36.4930450606, 38.7085851025, 53.5948321043, 56.1124700566
TAK, 1.49e-06, 1e-08, 149.0, 149.0, 74.5, 20.7218543046, 21.1815710791, 25.3750150773, 27.3582709705
XPM, 0.0088402, 1e-06, 8840.2, 8840.2, 35.8599707934, 5.89245822653, 6.4970648456, 7.02955882519, 7.86853370057
GP, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
IXC, 0.00020811, 1.01e-06, 206.04950495, 13.8279069767, 3.93031161473, 2.68100573576, 2.52928870921, 2.25347649912, 2.30810866253
NOBL, 1.8e-07, 4e-08, 4.5, 4.5, 3.0, 2.23533246415, 2.23533246415, 2.26286568122, 2.26286568122
PIGGY, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
FIMK, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BYC, 0.00034721, 0.00022063, 1.57372070888, 1.43968984534, 1.32679888418, 1.30772405633, 1.29228478824, 1.36892614636, 1.29179200824
BTCD, 0.01360329, 0.00033334, 40.8090538189, 5.21698561841, 2.83192430598, 2.67851934286, 2.64800216391, 3.9219088035, 2.15178189788
MNC, 0.002155, 7e-06, 307.857142857, 307.857142857, 270.050125313, 8.42272259669, 10.6488321253, 8.31640656861, 9.12208591996
MAX, 0.00430001, 1.21e-06, 3553.72727273, 3553.72727273, 251.462573099, 37.5353515426, 37.5353515426, 44.6213174841, 44.6213174841
WATER, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
MAC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
FFC, 4.97e-06, 4e-08, 124.25, 124.25, 55.2222222222, 15.3466590844, 16.9671933498, 7.87347631024, 9.74017299772
MAL, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
GUA, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BEN, 4.467e-05, 8.5e-07, 52.5529411765, 52.5529411765, 10.2219679634, 7.67953543807, 7.74833063801, 3.87562918021, 4.00418155027
GUE, 0.00010002, 8.5e-07, 117.670588235, 117.670588235, 20.0440881764, 13.2473872249, 13.2473872249, 13.0979410736, 13.0979410736
GUN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
