coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
XBS,2015-01-13,2014-11-20,BitcoinNational,1,551,12,799,209,61,148,0.05700622,0.001248874,0.001250691,9.923574e-05,1.920218e-05,9.924173e-05,1.920228e-05,641106.2,4,2.612436e-05,6.991914e-05
NYC,2014-05-06,2014-03-05,NewYorkCoin,1,12,1,1,53,53,0,0.006531205,0.00201991,0.002022954,0.0002181831,2.323312e-05,0.0002182202,2.323312e-05,0.0,4,1.678948e-05,5.771227e-05
GAIA,2014-10-11,2011-06-25,ataranlen,1,9,1,65,2,0,2,0.0,0.03979429,0.04129752,0.0003254149,0.0005452788,0.0003254149,0.0005453913,0.0,inf,2.59867e-05,8.126126e-05
XBC,2014-05-03,2014-05-01,qiwoman,1,948,6,147,391,54,337,0.04434426,0.001643389,0.001646073,0.0001486953,2.566973e-05,0.0001487074,2.566987e-05,531576.4,4,3.129934e-05,8.293657e-05
MONA,2014-03-20,2012-06-20,julz,1,705,40,363,472,286,186,0.1161516,0.0331945,0.03428811,0.00156198,0.0003276019,0.001564011,0.0003276444,175486.8,2,0.002459435,0.003574069
OPAL,2014-09-13,2011-05-11,John Kirk,1,51,4,26,14,6,8,0.08791209,0.2105997,0.2445182,0.00389327,0.001449519,0.003896792,0.001450192,23.70952,2,0.0001321228,0.0003101498
SPT,2013-07-25,2013-01-02,xorxor,1,390,10,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
CHASH,2014-12-13,2014-10-25,Cleverhash,1,48,1,8,46,46,0,0.02028986,0.00126722,0.001268377,0.0001019538,1.482514e-05,0.0001019599,1.482514e-05,0.0,3,3.455659e-05,0.0001117729
TAG,2013-11-05,2013-01-02,xorxor,1,457,11,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
DRKC,2014-07-29,2014-07-26,zlibz,1,47,2,4,106,101,5,0.02156334,0.001447131,0.001449431,0.0001121803,2.143861e-05,0.0001121894,2.14387e-05,94501.7,4,1.480198e-05,5.098102e-05
TAC,2014-06-17,2013-05-27,maxpower,1,309,2,21,18,2,16,0.254902,0.0130031,0.01311813,0.0009184464,0.0001235373,0.0009192522,0.0001235412,1.45,4,5.608948e-06,2.082429e-05
SPA,2014-03-15,2014-01-20,naplam,1,51,4,4,1,0,1,0.0,0.003832516,0.003844524,3.300984e-05,4.631564e-05,3.300984e-05,4.631619e-05,0.0,inf,1.58516e-06,6.607751e-06
TAK,2014-02-27,2014-01-06,manfred,1,89,7,256,94,62,32,0.08742403,0.003894862,0.003906208,0.000389711,5.173963e-05,0.0003898094,5.17401e-05,19227.56,3,0.0001078456,9.774397e-05
XPM,2013-07-11,2012-10-03,Sunny King,1,846,28,54,110,88,22,0.1090497,0.02888635,0.0298812,0.001493334,0.0002920772,0.001495498,0.0002921082,23570.96,2,0.0005347526,0.001057573
GP,2015-01-16,2014-05-26,HYPERfuture,1,512,13,1,18,18,0,0.006535948,0.00159157,0.001593676,0.0001327543,1.803947e-05,0.0001327712,1.803947e-05,0.0,4,2.375887e-06,8.910668e-06
BTCS,2014-03-17,2014-03-15,torzsy,1,637,15,320,185,147,38,0.05179966,0.001845463,0.001850011,0.0001965373,2.959147e-05,0.0001965874,2.959177e-05,564075.3,3,8.00291e-05,0.0002283405
IXC,2013-05-08,2011-06-12,wizzard0,1,24,1,109,9,8,1,0.0,0.04184677,0.04313386,0.001811427,0.000695036,0.001813064,0.000695155,1986.0,4,0.0001224968,0.0003597185
NOBL,2014-02-08,2013-08-29,Tommo_Aus,1,157,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
XPY,2014-12-16,2014-12-21,Sir Alpha_goy,1,17,1,206,23,15,8,0.1067194,0.001219345,0.001220528,9.642829e-05,1.893741e-05,9.643539e-05,1.893748e-05,16747.08,4,2.550628e-06,9.218861e-06
PIGGY,2014-06-15,2013-05-27,maxpower,1,309,2,21,18,2,16,0.254902,0.0130031,0.01311813,0.0009184464,0.0001235373,0.0009192522,0.0001235412,1.45,4,5.608948e-06,2.082429e-05
FIMK,2014-07-12,2014-06-01,Eliphaz Fimk,1,81,2,1,3,3,0,0.0,0.00156562,0.001567658,0.0001308301,1.780849e-05,0.0001308408,1.780849e-05,0.0,5,1.239904e-06,5.140646e-06
BYC,2014-11-23,2014-11-05,infazan,1,233,8,549,147,70,77,0.05477855,0.001261099,0.001262199,0.0001009051,1.9374e-05,0.000100912,1.937406e-05,280567.9,4,4.874649e-05,0.0001602731
BTCD,2014-07-16,2013-08-29,Tommo_Aus,1,253,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
MNC,2013-05-03,2013-01-02,xorxor,1,272,7,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
