coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
CPN,2015-07-16,2014-05-07,compucoin,1,91,7,1,0,0,0,0.0,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,inf,1.00783e-06,4.249363e-06
XBS,2015-01-13,2015-01-12,Bitstake,1,8,1,1,46,46,0,0.03574879,0.001181787,0.001182728,9.463932e-05,1.417816e-05,9.464505e-05,1.417816e-05,4,4.551779e-06,1.696346e-05
TRICK,2015-03-31,2015-03-28,TrickyCoin,1,20,1,1,17,17,0,0.1397059,0.001132129,0.001133086,9.076571e-05,1.374344e-05,9.077168e-05,1.374344e-05,3,4.000735e-06,8.996691e-06
YUM,2014-11-16,2014-04-09,candycoin,1,15,1,1,6,6,0,0.0,0.001714223,0.001716978,0.0001706386,2.056682e-05,0.0001706609,2.056682e-05,3,3.664831e-06,1.015748e-05
SKYNET,2014-12-13,2014-08-30,SkynetDev,1,36,1,2,10,9,1,0.0,0.001370475,0.001371574,0.0001080003,1.560501e-05,0.000108011,1.560501e-05,5,1.605617e-06,6.688031e-06
GAIA,2014-10-11,2013-12-28,JonnyBravo,1,95,9,221,47,39,8,0.07678076,0.004220687,0.004233571,0.0004351212,5.628831e-05,0.0004352441,5.62891e-05,4,6.330286e-05,0.0001836771
MONA,2014-03-20,2013-12-31,2chpool,1,2,1,1,2,2,0,0.0,3.882892e-05,3.882892e-05,3.882892e-05,3.88259e-05,3.882892e-05,3.88259e-05,inf,4.89689e-06,2.049696e-05
OPAL,2014-09-13,2014-09-12,OpalTeam,1,15,3,11,23,22,1,0.03162055,0.00134003,0.001341588,0.0001061967,2.021029e-05,0.0001062061,2.021038e-05,4,3.002888e-06,1.10845e-05
BLITZ,2014-11-16,2014-04-27,slavo,1,498,23,246,249,163,86,0.05635479,0.00165639,0.001659042,0.0001550147,2.609026e-05,0.0001550326,2.609041e-05,4,8.586724e-05,0.0002862324
TAG,2013-11-05,2013-10-28,MaGNeT,1,1952,44,860,915,519,396,0.05714834,0.008752832,0.008830941,0.0007070032,8.743223e-05,0.0007074946,8.743451e-05,2,0.001252222,0.001761554
DRKC,2014-07-29,2014-07-26,zlibz,1,47,2,4,106,101,5,0.02156334,0.001447131,0.001449431,0.0001121803,2.143861e-05,0.0001121894,2.14387e-05,4,1.480198e-05,5.098102e-05
