coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
CPN,2015-07-16,2014-05-07,compucoin,1,91,7,1,0,0,0,0.0,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,0.0,inf,1.101987e-06,1.00783e-06,4.318921e-06,4.249363e-06
XBS,2015-01-13,2015-01-12,Bitstake,1,8,1,1,46,46,0,0.03574879,0.001181787,0.001182728,9.463932e-05,1.417816e-05,9.464505e-05,1.417816e-05,0.0,4,5.035903e-06,4.551779e-06,1.745296e-05,1.696346e-05
TRICK,2015-03-31,2015-03-28,TrickyCoin,1,20,1,1,17,17,0,0.1397059,0.001132129,0.001133086,9.076571e-05,1.374344e-05,9.077168e-05,1.374344e-05,0.0,3,4.818231e-06,4.000735e-06,9.54209e-06,8.996691e-06
YUM,2014-11-16,2014-01-07,raminnoodle,1,54,6,14,44,38,6,0.05285412,0.003831719,0.003842915,0.0003858961,5.13882e-05,0.0003859928,5.138848e-05,25575.28,4,2.676411e-05,2.299105e-05,8.609385e-05,8.111657e-05
SKYNET,2014-12-13,2014-08-30,SkynetDev,1,36,1,2,10,9,1,0.0,0.001370475,0.001371574,0.0001080003,1.560501e-05,0.000108011,1.560501e-05,16.0,5,1.752696e-06,1.605617e-06,6.795813e-06,6.688031e-06
NYC,2014-05-06,2011-12-13,Disposition,1,50,4,178,50,36,14,0.3024977,0.03276884,0.03382795,0.00171388,0.0003796891,0.001716145,0.0003797515,4090.7,2,0.0005424352,0.0004752238,0.0007517055,0.0006649204
GAIA,2014-10-11,2013-12-28,JonnyBravo,1,95,9,221,47,39,8,0.07678076,0.004220687,0.004233571,0.0004351212,5.628831e-05,0.0004352441,5.62891e-05,27490.51,4,6.118781e-05,6.330286e-05,0.0001592135,0.0001836771
AGS,2014-08-25,2014-07-06,FriendsOfBitshares,1,36,4,1,0,0,0,0.0,1.680672e-05,1.680672e-05,1.680672e-05,1.680672e-05,1.680672e-05,1.680672e-05,0.0,inf,1.002137e-06,9.185341e-07,3.915223e-06,3.855444e-06
XBC,2014-05-03,2014-03-31,XBCplus,1,71,6,1,1,1,0,0.0,0.001767498,0.001770318,0.0001751348,2.098636e-05,0.0001751543,2.098636e-05,0.0,4,1.828789e-06,1.663794e-06,5.708742e-06,5.563661e-06
TAU,2015-08-23,2015-02-10,ohad,1,203,1,180,5,4,1,0.1,0.001156808,0.001157879,9.321491e-05,1.40007e-05,9.322312e-05,1.40007e-05,1.0,4,9.642216e-07,8.75423e-07,3.651157e-06,3.570944e-06
MONA,2014-03-20,2013-12-31,2chpool,1,2,1,1,2,2,0,0.0,3.882892e-05,3.882892e-05,3.882892e-05,3.88259e-05,3.882892e-05,3.88259e-05,0.0,inf,5.38464e-06,4.89689e-06,2.079003e-05,2.049696e-05
SPR,2014-10-26,2014-01-04,cosmofly,1,125,9,10,10,6,4,0.1777778,0.004010582,0.004023984,0.0004067419,5.27317e-05,0.0004068571,5.273226e-05,53.44444,4,5.942397e-06,5.061696e-06,1.699753e-05,1.599609e-05
BLITZ,2014-11-16,2014-04-27,slavo,1,498,23,246,249,163,86,0.05635479,0.00165639,0.001659042,0.0001550147,2.609026e-05,0.0001550326,2.609041e-05,978771.4,4,9.474132e-05,8.586724e-05,0.0002937921,0.0002862324
TAG,2013-11-05,2013-10-25,tagbond,1,106,6,26,17,16,1,0.1838235,0.008853275,0.008915268,0.0007126984,8.774196e-05,0.0007130573,8.774384e-05,580.9548,4,2.142099e-05,1.819352e-05,5.615568e-05,5.099442e-05
