coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted,nontrivial,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
CPN,2015-07-16,2014-05-07,compucoin,1,91,7,1,0,0,0,0.0,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,inf,1.0078299999999999e-06,4.249363e-06,0,compucoin,CompuCoin,7.700109999999999e-07,3.00046e-08,25.66309832492351,25.66309832492351,3.850055,2.3006067161687143,2.386739280762153,1.4969522992505946,1.5356771156129627,249,2,False,False,False,False,False,False,False,2015-07-16
XBS,2015-01-13,2015-01-12,Bitstake,1,8,1,1,46,46,0,0.03574879,0.001181787,0.001182728,9.463932e-05,1.417816e-05,9.464504999999999e-05,1.417816e-05,4.0,4.551779e-06,1.696346e-05,0.0,bitstake,BitStake,0.00118852,1.53684e-05,77.33531141823481,77.33531141823481,77.33531141823481,4.733437733331471,4.148724441418417,2.3445435034794917,1.9465546609892035,716694,2,False,False,False,True,False,False,True,2015-01-13
TRICK,2015-03-31,2015-03-28,TrickyCoin,1,20,1,1,17,17,0,0.1397059,0.001132129,0.0011330860000000002,9.076571e-05,1.374344e-05,9.077168e-05,1.374344e-05,3.0,4.000735e-06,8.996691e-06,0,trickycoin,TrickyCoin,1.2599799999999999e-06,3.00035e-08,41.99443398270202,41.99443398270202,1.2856938775510205,2.9178527775207685,3.1114587233938287,1.4455453230782094,1.7748541597198972,1040,1,False,False,False,False,False,False,False,2015-03-31
YUM,2014-11-16,2014-04-09,candycoin,1,15,1,1,6,6,0,0.0,0.001714223,0.0017169779999999999,0.00017063860000000002,2.0566820000000002e-05,0.0001706609,2.0566820000000002e-05,3.0,3.664831e-06,1.0157480000000001e-05,0,candycoin,CandyCoin,4.9064999999999995e-06,2.1993400000000002e-07,22.308965416897802,22.308965416897802,2.7281522627566765,2.3620087168259585,2.4707016118996474,1.7454162648771054,1.79936321467796,749,0,False,False,False,False,False,False,False,2014-11-16
SKYNET,2014-12-13,2014-08-30,SkynetDev,1,36,1,2,10,9,1,0.0,0.001370475,0.001371574,0.0001080003,1.560501e-05,0.000108011,1.560501e-05,5.0,1.605617e-06,6.688031e-06,0,skynet-asset,SkyNET,0.00284011,0.0008749000000000001,3.246210995542348,3.1369952284174247,2.5837738011844866,1.9146392578909317,1.8749005883784824,1.958174325920189,1.853256736965948,57327,1,False,False,False,False,False,False,False,2014-12-13
GAIA,2014-10-11,2013-12-28,JonnyBravo,1,95,9,221,47,39,8,0.07678076,0.004220687,0.004233570999999999,0.0004351212,5.628831e-05,0.00043524410000000003,5.6289099999999996e-05,4.0,6.330286e-05,0.0001836771,0.0,gaia,GAIA,9.0966e-06,1.05e-06,8.663428571428572,8.663428571428572,8.663428571428572,2.2687213379091387,2.5409820070209537,1.399576299243218,1.7307820142577877,458149,1,False,False,False,False,False,False,True,2014-10-11
MONA,2014-03-20,2013-12-31,2chpool,1,2,1,1,2,2,0,0.0,3.8828920000000005e-05,3.8828920000000005e-05,3.8828920000000005e-05,3.8825900000000004e-05,3.8828920000000005e-05,3.8825900000000004e-05,inf,4.89689e-06,2.0496959999999998e-05,0.0,monacoin,MonaCoin,0.00124232,4.30149e-05,28.881155134616147,15.047061431185908,4.708040261945186,4.2910910236012505,3.68442118469782,2.688545823906202,2.6186427776077847,3418392,9,False,False,False,True,False,False,True,2014-03-20
OPAL,2014-09-13,2014-09-12,OpalTeam,1,15,3,11,23,22,1,0.03162055,0.00134003,0.001341588,0.0001061967,2.021029e-05,0.0001062061,2.0210379999999997e-05,4.0,3.0028879999999998e-06,1.10845e-05,0.0,opal,Opal,5.59179e-05,1.8800200000000001e-06,29.74324741226157,5.271146177992704,5.271146177992704,2.6898481444575117,2.1574568667452985,1.8625628503444929,1.5362179384923593,453092,3,False,False,True,True,False,False,True,2014-09-13
BLITZ,2014-11-16,2014-04-27,slavo,1,498,23,246,249,163,86,0.05635479,0.00165639,0.0016590420000000001,0.0001550147,2.6090259999999997e-05,0.0001550326,2.609041e-05,4.0,8.586724e-05,0.0002862324,0,blitz,Blitz,0.00019543,6.93805e-06,28.16785696269125,9.655584705609161,4.650880533079485,3.345138229258588,2.8992250250942897,2.3727471412783485,2.3724510470727216,233284,1,False,False,False,False,False,False,True,2014-11-16
TAG,2013-11-05,2013-10-28,MaGNeT,1,1952,44,860,915,519,396,0.05714834,0.008752832,0.008830941,0.0007070032000000001,8.743223e-05,0.0007074946,8.743450999999998e-05,2.0,0.0012522219999999999,0.001761554,0.0,tagcoin,TagCoin,0.00279889,3.29287e-05,84.99849675207342,84.99849675207342,23.74536569639691,7.467631226679366,8.032747670862149,3.105322191704203,3.105322191704203,2207761,4,False,False,False,True,True,True,False,2013-11-05
