network_date,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_average_path_length,clustering_coefficient,average_degree
2015-07-13,75540,896787,0.0001571576,0.0001756697,3.874615,0.0479975,23.74337
2013-09-28,16631,210347,0.0007605007,0.0008989472,3.425955,0.09436781,25.29577
2014-05-30,55852,597848,0.000191652,0.0002164696,3.886265,0.05158648,21.40829
2015-06-05,74570,878198,0.0001579298,0.0001765227,3.875052,0.04771685,23.55365
2015-09-22,77459,931427,0.0001552405,0.0001737694,3.867763,0.0489662,24.04955
2015-02-06,71245,818883,0.0001613292,0.0001802837,3.881708,0.04712313,22.9878
2015-07-23,75788,901860,0.0001570139,0.000175525,3.873255,0.04813339,23.79955
2013-07-25,14945,187177,0.0008380321,0.0009913356,3.410567,0.09710402,25.04878
2015-12-01,79188,959667,0.0001530389,0.0001715419,3.867426,0.04966082,24.23769
2014-06-12,57185,615565,0.000188239,0.0002123348,3.887562,0.05090775,21.5289
2015-11-16,78734,953362,0.0001537918,0.0001723511,3.867,0.04958961,24.21729
2014-02-15,39231,433410,0.0002816049,0.0003247749,3.801627,0.06021376,22.09528
2015-11-18,78803,954193,0.0001536564,0.000172208,3.86701,0.04961424,24.21717
2014-08-25,63600,709757,0.000175467,0.0001967924,3.894676,0.04867828,22.3194
2014-10-20,67096,757576,0.0001682802,0.0001883993,3.891698,0.04779559,22.58185
2015-02-18,71572,824797,0.0001610129,0.0001799379,3.880314,0.04715324,23.04804
2015-10-14,77986,940143,0.0001545826,0.0001730903,3.868222,0.04917779,24.11056
2015-10-24,78193,943732,0.0001543522,0.0001728821,3.868297,0.04925098,24.13853
2014-07-12,59950,654712,0.0001821679,0.0002049699,3.891707,0.04978944,21.84193
2014-04-23,50226,539996,0.0002140589,0.0002431403,3.854558,0.05418753,21.50265
2014-08-21,63242,705258,0.0001763343,0.0001978019,3.894717,0.04874326,22.30347
2014-07-18,60447,662407,0.0001812907,0.0002038722,3.890277,0.04954719,21.91695
2014-02-19,40191,440139,0.0002724785,0.0003139054,3.809993,0.05958839,21.90237
