coin,earliest_trade_date,earliest_mention_date,network_date,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_average_path_length,clustering_coefficient,average_degree,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
TRC,2013-04-28,2012-10-31,2013-04-28,9695,112052,0.001192131,0.001435116,3.317096,0.1129532,23.11542,celkaris,1,107,8,179,85,56,29,0.1601266,0.01498765,0.01529127,0.00112893,0.000161481,0.001130578,0.0001614922,32149.07,3,0.0002148791,0.0002173924,0.0004775698,0.0005242823
LTC,2013-04-28,2011-10-09,2013-04-28,9695,112052,0.001192131,0.001435116,3.317096,0.1129532,23.11542,coblee,1,753,25,671,368,271,97,0.1011586,0.01507257,0.01533252,0.001129444,0.0001614853,0.001130704,0.000161495,398799.4,2,0.001840525,0.002453556,0.002307666,0.003093783
BTC,2013-04-28,2012-03-14,2013-04-28,9695,112052,0.001192131,0.001435116,3.317096,0.1129532,23.11542,joshbb,1,25,6,415,20,16,4,0.2368421,0.01495635,0.01526589,0.001128755,0.0001614793,0.001130279,0.0001614869,13.0,3,9.737938e-05,8.523435e-05,0.0001723431,0.0001563294
NMC,2013-04-28,2011-04-29,2013-04-28,9695,112052,0.001192131,0.001435116,3.317096,0.1129532,23.11542,khal,1,200,14,795,106,78,28,0.1291011,0.01502564,0.01528817,0.001128995,0.0001614827,0.001130548,0.0001614929,38712.65,2,0.0003966538,0.000460522,0.0005446326,0.0005841572
PPC,2013-04-28,2012-08-10,2013-04-28,9695,112052,0.001192131,0.001435116,3.317096,0.1129532,23.11542,Sunny King,1,517,16,261,239,120,119,0.09825993,0.01504955,0.01530543,0.001129264,0.0001614843,0.001130589,0.0001614947,229584.4,2,0.0005341582,0.0005986904,0.001089224,0.001225927
DVC,2013-04-28,2011-08-05,2013-04-28,9695,112052,0.001192131,0.001435116,3.317096,0.1129532,23.11542,Unthinkingbit,1,256,2,684,55,44,11,0.1176471,0.01497386,0.01521815,0.00112877,0.0001614813,0.001130048,0.0001614917,16889.47,3,0.0004050105,0.0003366038,0.0006907264,0.0006089104
NVC,2013-04-28,2013-02-11,2013-04-28,9695,112052,0.001192131,0.001435116,3.317096,0.1129532,23.11542,xorxor,1,257,6,117,216,165,51,0.08567164,0.01502631,0.01529209,0.001129147,0.000161482,0.001130298,0.0001614941,179391.8,3,0.0006251591,0.0005756145,0.001460171,0.001461032
FRC,2013-05-03,2012-06-25,2013-05-03,10083,115810,0.001139112,0.001369352,3.335588,0.1113719,22.97134,maaku,1,188,7,595,126,84,42,0.187421,0.0157442,0.0160061,0.001082757,0.0001552661,0.001083739,0.0001552731,12561.82,2,0.0004900292,0.0004346848,0.0005691894,0.0005555027
MNC,2013-05-03,2013-04-03,2013-05-03,10083,115810,0.001139112,0.001369352,3.335588,0.1113719,22.97134,SuperTramp,1,182,3,622,183,151,32,0.05677955,0.01573586,0.01600244,0.001082606,0.0001552645,0.001083562,0.0001552733,120410.3,3,0.0005454799,0.0005017979,0.001328134,0.001311612
FTC,2013-05-03,2013-04-21,2013-05-03,10083,115810,0.001139112,0.001369352,3.335588,0.1113719,22.97134,thep33t,1,142,1,16,71,29,42,0.08908781,0.01562883,0.01600038,0.001081675,0.0001552616,0.001082255,0.0001552745,35465.12,3,7.284356e-05,5.966451e-05,0.0002298319,0.0002079099
