coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
AXR,2014-08-27,2014-08-14,Project Axron,https://bitcointalk.org/index.php?topic=738534.0,2014-08-14
NYAN,2014-02-09,2013-12-21,myhoho,https://bitcointalk.org/index.php?topic=380223.0,2013-12-21
WDC,2013-05-21,2013-05-14,WorldCoin,https://bitcointalk.org/index.php?topic=204894.0,2013-05-14
EXC,2014-01-16,2013-08-17,CaptChadd,https://bitcointalk.org/index.php?topic=276609.0,2013-08-17
MIN,2014-06-21,2014-06-05,Minerals,https://bitcointalk.org/index.php?topic=641057.0,2014-06-05
GSY,2015-09-15,2015-08-05,GSYTeam,https://bitcointalk.org/index.php?topic=1144365.0,2015-08-05
NAN,2013-07-17,2013-06-25,r3wt,https://bitcointalk.org/index.php?topic=242491.0,2013-06-25
LTB,2014-03-12,2014-02-12,Scooby903,https://bitcointalk.org/index.php?topic=461108.0,2014-02-12
LIT,2014-07-05,2014-06-12,Lightcoinproject,https://bitcointalk.org/index.php?topic=649890.0,2014-06-12
NAS,2014-04-15,2014-03-20,Nas_Coin,https://bitcointalk.org/index.php?topic=523187.0,2014-03-20
HBN,2013-12-20,2013-07-24,thundertoe,https://bitcointalk.org/index.php?topic=261550.0,2013-07-24
STEPS,2015-09-19,2015-09-07,AltcoinSteps,https://bitcointalk.org/index.php?topic=1173385.0,2015-09-07
AMBER,2015-02-06,2014-08-17,amber_gold,https://bitcointalk.org/index.php?topic=742928.0,2014-08-17
DIBS,2015-06-24,2014-12-17,vdibs,https://bitcointalk.org/index.php?topic=896822.0,2014-12-17
SXC,2013-12-08,2013-05-28,chinsu,https://bitcointalk.org/index.php?topic=218158.0,2013-05-28
PRC,2014-02-20,2014-01-29,inmean,https://bitcointalk.org/index.php?topic=438433.0,2014-01-29
MEOW,2014-01-24,2013-12-24,lonestar108,https://bitcointalk.org/index.php?topic=383068.0,2013-12-24
MYR,2014-03-08,2014-02-23,8bitcoder,https://bitcointalk.org/index.php?topic=483515.0,2014-02-23
SPT,2013-07-25,2013-07-21,iGotSpots,https://bitcointalk.org/index.php?topic=259764.0,2013-07-21
CENT,2014-08-25,2013-08-06,auctioneeeeer,https://bitcointalk.org/index.php?topic=269145.0,2013-08-06
AEON,2015-08-04,2014-06-06,aeon,https://bitcointalk.org/index.php?topic=641696.0,2014-06-06
PRT,2014-01-22,2013-12-31,moonmoon,https://bitcointalk.org/index.php?topic=392804.0,2013-12-31
TAG,2013-11-05,2013-10-24,tagbond,https://bitcointalk.org/index.php?topic=317408.0,2013-10-24
