symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
AXR,Axron,2014-08-27,2014-08-14,2014-08-27,Project Axron,1,118,1,13
NYAN,Nyancoin,2014-02-09,2013-12-21,2014-02-09,myhoho,1,169,6,938
WDC,WorldCoin,2013-05-22,2013-05-14,2013-05-22,WorldCoin,1,12,2,8
EXC,Extremecoin,2014-01-16,2013-08-17,2014-01-16,CaptChadd,1,883,40,560
MIN,Mineralscoin,2014-06-21,2014-06-05,2014-06-21,Minerals,1,102,1,25
GSY,GenesysCoin,2015-09-15,2015-08-05,2015-09-15,GSYTeam,1,208,2,61
NAN,NanoToken,2013-07-17,2013-06-25,2013-07-17,r3wt,1,1005,36,66
LTB,LiteBar,2014-03-12,2014-02-12,2014-03-12,Scooby903,1,707,37,319
LIT,Lightcoin,2014-07-05,2014-06-12,2014-07-05,Lightcoinproject,1,34,1,23
NAS,Nas,2014-04-15,2014-03-20,2014-04-15,Nas_Coin,1,24,1,26
HBN,HoboNickels,2013-12-20,2013-07-24,2013-12-20,thundertoe,1,218,35,927
STEPS,Steps,2015-09-19,2015-09-07,2015-09-19,AltcoinSteps,1,107,1,26
AMBER,AmberCoin,2015-02-06,2014-08-17,2015-02-06,amber_gold,1,30,1,173
DIBS,Dibbits,2015-06-24,2015-06-16,2015-06-24,DIBBITSdev,1,1,1,8
SXC,Sexcoin,2013-12-08,2013-05-28,2013-12-08,chinsu,1,55,7,194
PRC,ProsperCoin,2014-02-20,2014-01-29,2014-02-20,inmean,1,76,4,22
MEOW,Kittehcoin,2014-01-24,2013-12-24,2014-01-24,lonestar108,1,26,2,71
MYR,Myriadcoin,2014-03-08,2014-02-23,2014-03-08,8bitcoder,1,37,1,13
SPT,Spots,2013-07-25,2013-07-21,2013-07-25,iGotSpots,1,714,34,85
CENT,Pennies,2014-08-25,2013-08-06,2014-08-25,auctioneeeeer,1,103,5,482
AEON,Aeon,2015-08-04,2014-06-06,2015-08-04,aeon,1,65,1,424
PRT,Particle,2014-01-22,2013-12-31,2014-01-22,moonmoon,1,44,6,22
TAG,TagCoin,2013-11-05,2013-10-24,2013-11-05,tagbond,1,106,6,37
YAC,Yacoin,2013-06-09,2013-05-15,2013-06-09,WindMaster,1,158,1,31
LYC,Lycancoin,2014-04-11,2014-02-08,2014-04-11,vampirecoin,1,35,3,62
SPC,SpikesPrivateCoin,2015-08-04,2013-05-15,2015-08-04,Supercoin,1,8,1,811
TAK,TakCoin,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20
NXT,Nxt,2013-12-04,2013-09-28,2013-12-04,BCNext,1,230,10,67
CHC,ChainCoin,2015-07-16,2014-01-19,2015-07-16,Rolihlahla,1,44,1,571
OFF,Cthulhu Offerings,2015-07-25,2013-09-14,2015-07-25,Blazr2,1,182,6,723
BQC,BBQCoin,2013-05-08,2013-10-08,2013-05-08,aa,1,44,0,32
XPM,Primecoin,2013-07-11,2013-07-07,2013-07-11,Sunny King,1,642,27,335
SONG,SongCoin,2015-03-22,2014-09-30,2015-03-22,dynoman,1,148,1,180
SHADE,ShadeCoin,2014-09-06,2014-09-04,2014-09-06,iShade,1,18,1,2
IXC,Ixcoin,2013-05-08,2011-08-10,2013-05-08,Nasakioto,1,99,13,637
MTLMC3,Metal Music Coin,2015-07-02,2015-02-23,2015-07-02,metalmusiccoin,1,221,2,272
NOBL,NobleCoin,2014-02-08,2014-01-07,2014-02-08,Rofo,1,238,7,48
PIGGY,Piggycoin,2014-06-15,2014-05-31,2014-06-15,piggycoin,1,320,4,110
MRC,microCoin,2014-03-03,2014-01-03,2014-03-03,MCR,1,107,6,59
DARK,DarkCoin,2014-12-06,2015-03-25,2014-12-06,darkcoindev,1,0,0,-109
ROS,RosCoin,2014-09-30,2014-09-04,2014-09-30,godivacoin,1,77,3,26
PHO,Photon,2014-05-23,2014-02-21,2014-05-23,photon_coin,1,6,1,91
DBL,Doubloons,2013-07-04,2013-05-15,2013-07-04,shakezula,1,588,25,74
BURST,Burst,2014-08-30,2014-08-10,2014-08-30,burstcoin,1,61,1,20
ZEIT,Zeitcoin,2014-03-20,2014-02-26,2014-03-20,ZEITCOIN,1,182,2,34
MAX,MaxCoin,2014-02-12,2014-01-29,2014-02-12,maxcoinproject,1,2,1,14
SYS,SysCoin,2014-08-20,2014-04-27,2014-08-20,danosphere,1,341,20,232
PAC,Paccoin,2015-11-02,2013-11-12,2015-11-02,wmcorless,1,77,4,856
PHS,Philosopher Stones,2013-12-17,2013-07-28,2013-12-17,johntawaki,1,49,3,146
APC,Applecoin,2014-02-09,2013-11-18,2014-02-09,KunningLinguist,1,82,9,99
PYC,Paycoin,2014-12-06,2013-08-06,2014-12-06,deppJ,1,24,2,556
HAM,HamRadioCoin,2014-10-26,2014-07-03,2014-10-26,hamhrc,1,43,1,115
EMD,Emerald Crypto,2013-08-04,2013-06-16,2013-08-04,picasso,1,74,3,50
XLM,Stellar,2014-08-05,2014-07-31,2014-08-05,HostFat,1,307,15,1521
DMD,Diamond,2013-12-19,2013-07-13,2013-12-19,JohnLuc,1,50,1,165
GUE,Guerillacoin,2014-06-23,2014-06-17,2014-06-23,guerillacoin,1,21,1,6
DTC,Datacoin,2013-12-07,2013-11-05,2013-12-07,oocook5u,1,27,1,32
SMBR,Sembro Token,2014-10-20,2014-10-11,2014-10-20,Sembro Development,1,29,2,46
FLT,FlutterCoin,2014-03-20,2014-03-10,2014-03-20,thekidcoin,1,385,17,314
MWC,MultiWalletCoin,2014-08-09,2014-08-23,2014-08-09,sovie,1,175,1,91
CRC,CraftCoin,2013-07-07,2013-07-05,2013-07-07,Blindfolded,1,66,3,347
FLO,FlorinCoin,2013-11-27,2013-06-17,2013-11-27,skyangel,1,242,5,216
IFC,Infinitecoin,2013-07-10,2013-06-05,2013-07-10,fisheater,1,387,12,63
BET,BetaCoin,2013-12-14,2013-10-30,2013-12-14,betacoindev,1,84,4,45
CC,CyberCoin,2015-04-03,2015-03-29,2015-04-03,CyberCoinDev,1,31,1,5
TTY,Trinity,2015-01-18,2014-07-15,2015-01-18,TrinityCoin,1,65,1,187
HUC,HunterCoin,2014-02-14,2013-09-24,2014-02-14,snailbrain,1,351,15,953
XDN,DigitalNote,2014-06-24,2014-09-19,2014-06-24,dNote,1,24,1,25
AMC,AmericanCoin,2013-06-09,2015-01-23,2013-06-09,danny asia,1,0,0,-526
LTCD,LitecoinDark,2014-09-11,2014-08-28,2014-09-11,Litecoindark,1,39,1,14
BUN,BunnyCoin,2014-09-11,2014-04-29,2014-09-11,shibebunny,1,104,11,219
NLG,Gulden,2014-04-08,2014-04-02,2014-04-08,guldencoin,1,30,1,6
MNC,Mincoin,2013-05-03,2013-04-03,2013-05-03,SuperTramp,1,182,3,622
GEO,GeoCoin,2015-02-21,2013-08-18,2015-02-21,MaGNeT,1,2455,51,1341
LIMX,LimeCoinX,2014-06-08,2014-06-03,2014-06-08,IParn,1,234,3,65
FLAP,FlappyCoin,2014-02-22,2014-02-14,2014-02-22,flappycoin,1,42,3,8
SOLE,Solecoin,2014-08-21,2014-08-08,2014-08-21,solecoin,1,50,1,13
CSC,CasinoCoin,2013-07-25,2013-07-18,2013-07-25,transcoder,1,46,4,14
VGC,VegasCoin,2014-05-06,2014-02-15,2014-05-06,Byates,1,11,1,80
GRE,Greencoin,2014-06-23,2014-06-05,2014-06-23,Mesterlovesz74,1,159,2,153
GRC,GridCoin,2015-02-28,2013-10-29,2015-02-28,prophetx,1,347,7,661
BLK,BlackCoin,2014-02-28,2014-02-16,2014-02-28,rat4,1,52,1,14
CRACK,CrackCoin,2014-09-19,2014-09-04,2014-09-19,OfficialCrackCoin,1,44,2,15
GRN,GraniteCoin,2014-06-12,2014-05-22,2014-06-12,GraniteCoin,1,47,1,22
CAGE,CageCoin,2014-04-15,2014-01-01,2014-04-15,skyisthelimit,1,62,2,117
XRP,Ripple,2013-08-04,2013-09-26,2013-08-04,Stefan Thomas,1,53,7,903
BLC,Blakecoin,2014-02-12,2013-10-07,2014-02-12,BlueDragon747,1,331,3,176
DP,DigitalPrice,2014-10-04,2014-09-20,2014-10-04,7vpo,1,76,2,232
ANC,Anoncoin,2013-07-14,2013-10-12,2013-07-14,meeh,1,83,3,76
VOOT,VootCoin,2014-06-12,2014-06-04,2014-06-12,MsCollec,1,1159,5,391
DOGE,Dogecoin,2013-12-15,2013-12-08,2013-12-15,Dogecoin,1,24,2,7
ANI,Animecoin,2014-02-28,2014-02-06,2014-02-28,UnderAuthor,1,1,1,22
MOON,Mooncoin,2014-01-06,2013-12-28,2014-01-06,deaconboogie,1,30,1,9
BTE,Bytecoin,2013-05-10,2013-04-07,2013-05-10,Number6,1,164,5,35
BTG,Bitgem,2013-07-04,2013-05-16,2013-07-04,mineral,1,108,2,49
