symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
CPC,Capricoin,2015-07-23,2015-07-20,CapricoinOfficial,https://bitcointalk.org/index.php?topic=1129322.0,2015-07-20
XBS,BitStake,2015-01-13,2015-01-13,ShillAccount,https://bitcointalk.org/index.php?topic=924092.0,2015-01-13
TRICK,TrickyCoin,2015-03-31,2015-03-27,TrickyCoin,https://bitcointalk.org/index.php?topic=1004692.0,2015-03-27
YUM,CandyCoin,2014-11-16,2014-04-08,candycoin,https://bitcointalk.org/index.php?topic=560940.0,2014-04-08
SKYNET,SkyNET,2014-12-13,2014-08-29,SkynetDev,https://bitcointalk.org/index.php?topic=761880.0,2014-08-29
GAIA,GAIA,2014-10-11,2013-12-27,JonnyBravo,https://bitcointalk.org/index.php?topic=387863.0,2013-12-27
MONA,MonaCoin,2014-03-20,2013-12-30,2chpool,https://bitcointalk.org/index.php?topic=392088.0,2013-12-30
OPAL,Opal,2014-09-13,2014-09-11,OpalTeam,https://bitcointalk.org/index.php?topic=778677.0,2014-09-11
SPT,Spots,2013-07-25,2013-12-25,binaryclock,https://bitcointalk.org/index.php?topic=383981.0,2013-12-25
TAG,TagCoin,2013-11-05,2013-10-27,MaGNeT,https://bitcointalk.org/index.php?topic=319824.0,2013-10-27
DRKC,DarkCash,2014-07-29,2014-07-25,zlibz,https://bitcointalk.org/index.php?topic=709322.0,2014-07-25
SPA,SpainCoin,2014-03-15,2014-03-04,SpainCoinDev,https://bitcointalk.org/index.php?topic=500511.0,2014-03-04
HEEL,HeelCoin,2015-10-27,2015-07-10,heelcoin,https://bitcointalk.org/index.php?topic=1117670.0,2015-07-10
TAK,TakCoin,2014-02-27,2014-02-07,TakeiCoin,https://bitcointalk.org/index.php?topic=452902.0,2014-02-07
XPH,Pharma,2015-06-08,2015-06-06,Pharma,https://bitcointalk.org/index.php?topic=1082835.0,2015-06-06
XPM,Primecoin,2013-07-10,2013-06-28,Sunny King,https://bitcointalk.org/index.php?topic=245953.0,2013-06-28
GP,GoldPieces,2015-01-16,2015-05-07,HYPERfuture,https://bitcointalk.org/index.php?topic=1053441.0,2015-05-07
IXC,Ixcoin,2013-05-08,2013-12-11,FrictionlessCoin,https://bitcointalk.org/index.php?topic=366931.0,2013-12-11
NOBL,NobleCoin,2014-02-08,2014-01-09,cozie,https://bitcointalk.org/index.php?topic=407019.0,2014-01-09
HZT,HazMatCoin,2015-04-17,2015-04-10,HazMatCoin-Dev,https://bitcointalk.org/index.php?topic=1019312.0,2015-04-10
XPY,PayCoin,2014-12-16,2014-12-15,manfred87,https://bitcointalk.org/index.php?topic=895061.0,2014-12-15
PIGGY,Piggycoin,2014-06-15,2014-05-31,piggycoin,https://bitcointalk.org/index.php?topic=633803.0,2014-05-31
FIMK,FIMKrypto,2014-07-12,2014-05-31,Eliphaz Fimk,https://bitcointalk.org/index.php?topic=633304.0,2014-05-31
BTCD,BitcoinDark,2014-07-16,2014-07-09,Azeh,https://bitcointalk.org/index.php?topic=684090.0,2014-07-09
ROS,RosCoin,2014-09-30,2014-09-04,godivacoin,https://bitcointalk.org/index.php?topic=769857.0,2014-09-04
MAX,MaxCoin,2014-02-12,2014-01-29,maxcoinproject,https://bitcointalk.org/index.php?topic=438150.0,2014-01-29
FFC,FireFlyCoin,2014-10-26,2014-01-15,argakiig,https://bitcointalk.org/index.php?topic=416527.0,2014-01-15
GUA,Guarany,2014-11-23,2014-12-20,guaranycrypto,https://bitcointalk.org/index.php?topic=900091.0,2014-12-20
BEN,Benjamins,2014-02-27,2014-02-02,AllAboutTheBenjaminsBaby,https://bitcointalk.org/index.php?topic=444543.0,2014-02-02
GUE,Guerillacoin,2014-06-23,2014-06-17,guerillacoin,https://bitcointalk.org/index.php?topic=656167.0,2014-06-17
DTC,DataCoin,2013-12-07,2014-10-19,DayTraderCoin,https://bitcointalk.org/index.php?topic=827984.0,2014-10-19
GUN,Guncoin,2014-05-11,2014-03-03,guncoin_support,https://bitcointalk.org/index.php?topic=498671.0,2014-03-03
YBC,YbCoin,2014-01-16,2013-07-03,mikaelh,https://bitcointalk.org/index.php?topic=249360.0,2013-07-03
BET,BetaCoin,2013-12-14,2013-10-30,betacoindev,https://bitcointalk.org/index.php?topic=321266.0,2013-10-30
