symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
CPC,Capricoin,2015-07-23,2015-07-20,2015-07-23,CapricoinOfficial,1,1,1,3
XBS,BitStake,2015-01-13,2015-01-13,2015-01-13,ShillAccount,1,23,1,85
TRICK,TrickyCoin,2015-03-31,2015-03-27,2015-03-31,TrickyCoin,1,20,1,4
YUM,CandyCoin,2014-11-16,2014-04-08,2014-11-16,candycoin,1,15,1,222
SKYNET,SkyNET,2014-12-13,2014-08-29,2014-12-13,SkynetDev,1,36,1,107
GAIA,GAIA,2014-10-11,2013-12-27,2014-10-11,JonnyBravo,1,95,9,508
MONA,MonaCoin,2014-03-20,2013-12-30,2014-03-20,2chpool,1,2,1,80
OPAL,Opal,2014-09-13,2014-09-11,2014-09-13,OpalTeam,1,15,3,12
SPT,Spots,2013-07-25,2013-12-25,2013-07-25,binaryclock,1,0,0,-143
TAG,TagCoin,2013-11-05,2013-10-27,2013-11-05,MaGNeT,1,1952,44,868
DRKC,DarkCash,2014-07-29,2014-07-25,2014-07-29,zlibz,1,47,2,7
SPA,SpainCoin,2014-03-15,2014-03-04,2014-03-15,SpainCoinDev,1,54,1,11
HEEL,HeelCoin,2015-10-27,2015-07-10,2015-10-27,heelcoin,1,31,2,109
TAK,TakCoin,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20
XPH,Pharma,2015-06-08,2015-06-06,2015-06-08,Pharma,1,6,1,2
XPM,Primecoin,2013-07-10,2013-06-28,2013-07-10,Sunny King,1,834,26,334
GP,GoldPieces,2015-01-16,2015-05-07,2015-01-16,HYPERfuture,1,511,13,236
IXC,Ixcoin,2013-05-08,2013-12-11,2013-05-08,FrictionlessCoin,1,0,0,-30
NOBL,NobleCoin,2014-02-08,2014-01-09,2014-02-08,cozie,1,120,12,348
HZT,HazMatCoin,2015-04-17,2015-04-10,2015-04-17,HazMatCoin-Dev,1,42,3,8
XPY,PayCoin,2014-12-16,2014-12-15,2014-12-16,manfred87,1,17,5,356
PIGGY,Piggycoin,2014-06-15,2014-05-31,2014-06-15,piggycoin,1,319,4,110
FIMK,FIMKrypto,2014-07-12,2014-05-31,2014-07-12,Eliphaz Fimk,1,81,2,42
BTCD,BitcoinDark,2014-07-16,2014-07-09,2014-07-16,Azeh,1,91,3,135
ROS,RosCoin,2014-09-30,2014-09-04,2014-09-30,godivacoin,1,77,3,26
MAX,MaxCoin,2014-02-12,2014-01-29,2014-02-12,maxcoinproject,1,2,1,14
FFC,FireFlyCoin,2014-10-26,2014-01-15,2014-10-26,argakiig,1,243,8,308
GUA,Guarany,2014-11-23,2014-12-20,2014-11-23,guaranycrypto,1,0,0,-27
BEN,Benjamins,2014-02-27,2014-02-02,2014-02-27,AllAboutTheBenjaminsBaby,1,415,10,25
GUE,Guerillacoin,2014-06-23,2014-06-17,2014-06-23,guerillacoin,1,21,1,6
DTC,DataCoin,2013-12-07,2014-10-19,2013-12-07,DayTraderCoin,1,0,0,-316
GUN,Guncoin,2014-05-11,2014-03-03,2014-05-11,guncoin_support,1,96,1,69
YBC,YbCoin,2014-01-16,2013-07-03,2014-01-16,mikaelh,1,142,4,213
BET,BetaCoin,2013-12-14,2013-10-30,2013-12-14,betacoindev,1,84,4,45
TTY,Trinity,2015-01-18,2014-07-15,2015-01-18,TrinityCoin,1,65,1,187
HUC,HunterCoin,2014-02-14,2013-09-24,2014-02-14,snailbrain,1,351,15,953
TTC,TittieCoin,2014-11-08,2014-01-29,2014-11-08,vertoe,1,208,11,284
GRT,Grantcoin,2015-07-27,2015-05-03,2015-07-27,The Grantcoin Foundation,1,49,1,85
FLAP,FlappyCoin,2014-02-22,2014-02-14,2014-02-22,flappycoin,1,42,3,8
1337,1337,2015-11-09,2014-01-10,2015-11-09,.Batman.,1,221,12,672
SOLE,Solecoin,2014-08-21,2014-08-08,2014-08-21,solecoin,1,50,1,13
GRF,Graffiti,2015-08-17,2015-07-24,2015-08-17,Graffiti,1,95,2,24
FTC,Feathercoin,2013-05-02,2013-04-21,2013-05-02,thep33t,1,123,1,15
GRE,Greencoin,2014-06-23,2014-06-02,2014-06-23,ncsupanda,1,112,5,124
GRC,GridCoin,2015-02-28,2013-10-29,2015-02-28,prophetx,1,350,7,661
BLK,BlackCoin,2014-02-28,2014-02-16,2014-02-28,rat4,1,52,1,14
GRM,Gridmaster,2015-06-26,2015-06-14,2015-06-26,gmcdev,1,10,1,12
BLC,Blakecoin,2014-02-12,2013-10-07,2014-02-12,BlueDragon747,1,331,3,176
ZS,ZimStake,2014-05-02,2014-04-25,2014-05-02,CryptoGir,1,23,1,49
HYPER,Hyper,2014-05-31,2013-05-30,2014-05-31,shakezula,1,1093,25,405
MI,Xiaomicoin,2015-09-04,2015-05-25,2015-09-04,she9888,1,178,2,515
EMC2,Einsteinium,2014-04-09,2014-03-01,2014-04-09,einsteinium,1,71,4,39
DON,Donationcoin,2014-06-15,2014-04-21,2014-06-15,Donationcoin,1,230,11,56
FJC,FujiCoin,2015-06-14,2014-06-08,2015-06-14,motty,1,233,1,371
BLITZ,Blitz,2014-11-16,2014-04-26,2014-11-16,slavo,1,496,23,449
GLC,GlobalCoin,2013-08-04,2013-06-28,2013-08-04,erundook,1,703,31,87
GLD,GoldCoin,2013-06-14,2013-05-20,2013-06-14,JohnyBigs,1,80,3,31
XSEED,BitSeeds,2015-04-21,2015-09-28,2015-04-21,worth,1,194,1,473
SMC,SmartCoin,2014-02-06,2014-01-06,2014-02-06,smartcoin,1,82,2,31
RED,RedCoin,2014-01-24,2014-01-01,2014-01-24,cozie,1,120,12,333
CLAM,Clams,2014-08-25,2014-05-24,2014-08-25,SuperClam,1,196,1,93
ZOOM,Zoom,2015-07-16,2015-07-13,2015-07-16,coinmaster222,1,282,15,620
FCN,Fantomcoin,2014-06-08,2014-04-26,2014-06-08,amphibian,1,118,6,43
BSC,BowsCoin,2015-07-13,2015-04-27,2015-07-13,Bowscoin_dev,1,58,1,77
FC2,FuelCoin,2014-06-12,2014-04-30,2014-06-12,FuelCoinTeam,1,26,1,43
LTC,Litecoin,2013-04-28,2013-03-26,2013-04-28,Ltcfaucet,1,32,2,35
UNITY,SuperNET,2014-09-30,2014-08-30,2014-09-30,jl777,1,565,7,281
AUR,Auroracoin,2014-02-27,2014-02-02,2014-02-27,balduro,1,31,1,25
XTC,TileCoin,2014-10-25,2014-08-29,2014-10-25,ASIC-8Tile,1,102,1,367
FETISH,Fetish,2014-10-20,2014-09-19,2014-10-20,altcoin.center,1,51,3,42
BTQ,BitQuark,2014-07-29,2014-02-15,2014-07-29,BitQuark,1,340,1,164
CAT,Catcoin,2013-12-27,2013-12-24,2013-12-27,nod,1,142,8,20
ALN,Aliencoin,2014-03-15,2014-01-09,2014-03-15,Aliencoin,1,84,6,65
ALF,AlphaCoin,2013-07-07,2013-07-16,2013-07-07,d2.cc,1,96,5,62
SBC,StableCoin,2013-07-07,2013-06-07,2013-07-07,artos,1,59,4,30
ORB,Orbitcoin,2013-12-21,2014-03-06,2013-12-21,mill0601,1,662,92,248
MMC,Memorycoin,2013-12-24,2013-12-14,2013-12-24,FreeTrade,1,663,36,815
GLYPH,Glyph,2014-06-17,2014-06-08,2014-06-17,GLYPH,1,7,1,9
I0C,I0Coin,2013-11-27,2013-08-17,2013-11-27,rsnel,1,63,2,120
BAT,BatCoin,2014-03-03,2014-01-10,2014-03-03,cozie,1,122,13,371
SSV,SSVCoin,2014-09-07,2014-06-22,2014-09-07,SSVCoin,1,14,1,77
FUTC,FutCoin,2015-07-21,2015-02-19,2015-07-21,FUTCOIN,1,3,1,152
TOR,TorCoin,2014-07-12,2014-07-04,2014-07-12,torcoin,1,21,1,8
TOP,TopCoin,2014-02-17,2014-02-02,2014-02-17,topdude,1,44,5,15
CAP,Bottlecaps,2013-07-04,2013-12-28,2013-07-04,binaryclock,1,0,0,-164
MOTO,Motocoin,2014-06-03,2014-05-01,2014-06-03,WilliamLie2,1,84,2,33
ERC,EuropeCoin,2015-06-18,2014-05-03,2015-06-18,EuropeCoin,1,273,5,411
XCP,Counterparty,2014-02-15,2014-01-02,2014-02-15,PhantomPhreak,1,147,1,44
CELL,SolarFarm,2015-01-25,2015-01-08,2015-01-25,koko2530,1,52,1,205
VPN,VPNCoin,2014-11-23,2014-07-22,2014-11-23,vpncoin,1,303,7,124
DCYP,DarkCypher,2015-10-24,2015-10-06,2015-10-24,Atomictie,1,42,1,20
NEOS,NeosCoin,2014-08-25,2014-08-26,2014-08-25,twoturtles,1,33,2,208
STV,Sativacoin,2014-10-20,2014-09-21,2014-10-20,sativacoin,1,38,1,29
ZRC,ZiftrCOIN,2015-03-03,2015-03-18,2015-03-03,gnargnar,1,105,0,302
RZR,Razor,2014-06-21,2014-06-08,2014-06-21,RazorTech,1,39,1,13
CACH,CacheCoin,2014-02-15,2014-01-05,2014-02-15,kalgecin,1,296,6,282
GB,GreenBacks,2014-08-23,2014-08-15,2014-08-23,GreenBacksTeam,1,150,2,32
XQN,Quotient,2014-11-23,2014-11-11,2014-11-23,CedricQuotient,1,78,2,12
LIT,Lightcoin,2014-07-05,2014-06-12,2014-07-05,Lightcoinproject,1,34,1,23
XUP,UPcoin,2015-09-22,2015-09-16,2015-09-22,TheTerminator,1,51,1,36
ZNY,Bitzeny,2015-07-09,2014-11-07,2015-07-09,bitzeny,1,2,1,244
GAP,Gapcoin,2014-11-01,2014-06-11,2014-11-01,j0nn9,1,68,2,143
SAK,Sharkcoin,2015-03-08,2014-05-20,2015-03-08,SAKTeam,1,1,1,292
PRC,ProsperCoin,2014-02-20,2014-01-29,2014-02-20,inmean,1,76,4,22
MEOW,Kittehcoin,2014-01-24,2013-12-24,2014-01-24,lonestar108,1,26,2,71
PRT,Particle,2014-01-22,2013-12-31,2014-01-22,moonmoon,1,44,6,22
CHA,Chancecoin,2014-05-20,2014-03-23,2014-05-20,magician,1,35,1,58
CHC,ChainCoin,2015-07-16,2014-01-19,2015-07-16,Rolihlahla,1,44,1,571
MRY,Murraycoin,2014-03-03,2014-01-20,2014-03-03,bholzer,1,293,3,216
JAY,Jay,2015-04-17,2015-04-02,2015-04-17,jones_,1,26,2,90
MMNXT,MMNXT,2014-10-22,2015-01-20,2014-10-22,Nxtblg,1,1078,14,235
URO,Uro,2014-06-12,2014-05-08,2014-06-12,true-asset,1,192,6,35
MRC,microCoin,2014-03-03,2014-01-03,2014-03-03,MCR,1,107,6,59
MUE,MonetaryUnit,2014-11-01,2014-09-11,2014-11-01,Mue,1,99,2,51
VIA,Viacoin,2014-07-18,2014-07-18,2014-07-18,btcdrak,1,196,5,410
DBL,Doubloons,2013-07-04,2013-06-11,2013-07-04,schnebi,1,230,25,62
SFR,SaffronCoin,2014-06-15,2014-04-27,2014-06-15,saffroncoin,1,362,1,49
PYC,Paycoin,2014-12-06,2013-08-06,2014-12-06,deppJ,1,24,2,556
GREXIT,Grexit,2015-07-23,2015-07-17,2015-07-23,grexitcoin,1,2,1,6
KORE,KoreCoin,2014-06-21,2015-04-28,2014-06-21,MikeMike,1,1,0,99
XLB,Libertycoin,2014-05-12,2014-05-08,2014-05-12,Libertycoin,1,66,6,61
SWING,Swing,2015-09-28,2013-05-19,2015-09-28,zerodrama,1,150,14,880
