symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
CPC,Capricoin,2015-07-23,2015-07-20,CapricoinOfficial,https://bitcointalk.org/index.php?topic=1129322.0,2015-07-20
XBS,BitStake,2015-01-13,2015-01-11,Bitstake,https://bitcointalk.org/index.php?topic=920272.0,2015-01-11
TRICK,TrickyCoin,2015-03-31,2015-03-27,TrickyCoin,https://bitcointalk.org/index.php?topic=1004692.0,2015-03-27
YUM,CandyCoin,2014-11-16,2014-04-08,candycoin,https://bitcointalk.org/index.php?topic=560940.0,2014-04-08
SKYNET,SkyNET,2014-12-13,2011-04-21,phelix,https://bitcointalk.org/index.php?topic=6253.0,2011-04-21
NYC,NewYorkCoin,2014-05-06,2014-03-18,scryptenthusiast,https://bitcointalk.org/index.php?topic=520400.0,2014-03-18
GAIA,GAIA,2014-10-11,2013-12-27,JonnyBravo,https://bitcointalk.org/index.php?topic=387863.0,2013-12-27
MONA,MonaCoin,2014-03-20,2013-12-30,2chpool,https://bitcointalk.org/index.php?topic=392088.0,2013-12-30
OPAL,Opal,2014-09-13,2014-09-01,OpalTeam,https://bitcointalk.org/index.php?topic=765387.0,2014-09-01
SPT,Spots,2013-07-25,2013-07-21,iGotSpots,https://bitcointalk.org/index.php?topic=260281.0,2013-07-21
TAG,TagCoin,2013-11-05,2013-10-27,MaGNeT,https://bitcointalk.org/index.php?topic=319824.0,2013-10-27
DRKC,DarkCash,2014-07-29,2014-07-25,zlibz,https://bitcointalk.org/index.php?topic=709322.0,2014-07-25
SPA,SpainCoin,2014-03-15,2014-03-04,SpainCoinDev,https://bitcointalk.org/index.php?topic=500511.0,2014-03-04
SPC,SpikesPrivateCoin,2015-08-04,2015-07-10,JSpike,https://bitcointalk.org/index.php?topic=1117404.0,2015-07-10
HEEL,HeelCoin,2015-10-27,2015-07-10,heelcoin,https://bitcointalk.org/index.php?topic=1117670.0,2015-07-10
TAK,TakCoin,2014-02-27,2014-02-07,TakeiCoin,https://bitcointalk.org/index.php?topic=452902.0,2014-02-07
PRIME,PrimeChain,2015-09-14,2015-08-11,iGotSpots,https://bitcointalk.org/index.php?topic=1149892.0,2015-08-11
XPM,Primecoin,2013-07-11,2012-10-02,Sunny King,https://bitcointalk.org/index.php?topic=114994.0,2012-10-02
GP,GoldPieces,2015-01-16,2015-01-06,inkha,https://bitcointalk.org/index.php?topic=915899.0,2015-01-06
IXC,Ixcoin,2013-05-08,2013-05-24,No_2,https://bitcointalk.org/index.php?topic=214952.0,2013-05-24
NOBL,NobleCoin,2014-02-08,2014-01-07,Rofo,https://bitcointalk.org/index.php?topic=402667.0,2014-01-07
HZT,HazMatCoin,2015-04-17,2015-04-10,HazMatCoin-Dev,https://bitcointalk.org/index.php?topic=1019312.0,2015-04-10
XPY,PayCoin,2014-12-16,2014-12-13,kingscrown,https://bitcointalk.org/index.php?topic=891186.0,2014-12-13
PIGGY,Piggycoin,2014-06-15,2014-05-31,piggycoin,https://bitcointalk.org/index.php?topic=633803.0,2014-05-31
FIMK,FIMKrypto,2014-07-12,2014-05-31,Eliphaz Fimk,https://bitcointalk.org/index.php?topic=633304.0,2014-05-31
BYC,Bytecent,2014-11-23,2014-12-08,Yanakitu Tenatako,https://bitcointalk.org/index.php?topic=886288.0,2014-12-08
BTCD,BitcoinDark,2014-07-16,2014-07-09,Azeh,https://bitcointalk.org/index.php?topic=684090.0,2014-07-09
ROS,RosCoin,2014-09-30,2014-09-04,godivacoin,https://bitcointalk.org/index.php?topic=769857.0,2014-09-04
MAX,MaxCoin,2014-02-12,2014-01-29,maxcoinproject,https://bitcointalk.org/index.php?topic=438150.0,2014-01-29
PAC,Paccoin,2015-11-02,2013-11-23,Useless1d1ot,https://bitcointalk.org/index.php?topic=343752.0,2013-11-23
FFC,FireFlyCoin,2014-10-26,2013-10-27,thundertoe,https://bitcointalk.org/index.php?topic=319420.0,2013-10-27
GUA,Guarany,2014-11-23,2014-12-20,guaranycrypto,https://bitcointalk.org/index.php?topic=900091.0,2014-12-20
BEN,Benjamins,2014-02-27,2014-02-02,AllAboutTheBenjaminsBaby,https://bitcointalk.org/index.php?topic=444543.0,2014-02-02
GUE,Guerillacoin,2014-06-23,2014-06-17,guerillacoin,https://bitcointalk.org/index.php?topic=656167.0,2014-06-17
DTC,Datacoin,2013-12-07,2013-11-18,bidji29,https://bitcointalk.org/index.php?topic=337617.0,2013-11-18
CME,Cashme,2015-11-23,2015-08-29,stewpak,https://bitcointalk.org/index.php?topic=1165889.0,2015-08-29
GUN,Guncoin,2014-05-11,2014-03-03,guncoin_support,https://bitcointalk.org/index.php?topic=498671.0,2014-03-03
YBC,YbCoin,2014-01-16,2013-06-29,ig0tik3d,https://bitcointalk.org/index.php?topic=246592.0,2013-06-29
BET,BetaCoin,2013-12-14,2013-10-30,betacoindev,https://bitcointalk.org/index.php?topic=321266.0,2013-10-30
TTY,Trinity,2015-01-18,2014-07-15,TrinityCoin,https://bitcointalk.org/index.php?topic=695149.0,2014-07-15
HUC,HunterCoin,2014-02-14,2013-09-24,snailbrain,https://bitcointalk.org/index.php?topic=300538.0,2013-09-24
TTC,TittieCoin,2014-11-08,2014-01-29,tittiecoin,https://bitcointalk.org/index.php?topic=437695.0,2014-01-29
GRT,Grantcoin,2015-07-27,2015-05-03,The Grantcoin Foundation,https://bitcointalk.org/index.php?topic=1046001.0,2015-05-03
