coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
CPC,2015-07-23,2015-07-20,2015-07-23,CapricoinOfficial,1,1,1,3
XBS,2015-01-13,2015-01-13,2015-01-13,ShillAccount,1,23,1,85
TRICK,2015-03-31,2015-03-27,2015-03-31,TrickyCoin,1,20,1,4
YUM,2014-11-16,2014-01-06,2014-11-16,raminnoodle,1,54,6,327
SKYNET,2014-12-13,2014-08-29,2014-12-13,SkynetDev,1,36,1,107
NYC,2014-05-06,2011-12-12,2014-05-06,Disposition,1,50,4,1053
GAIA,2014-10-11,2013-12-27,2014-10-11,JonnyBravo,1,95,9,508
AGS,2014-08-25,2014-07-05,2014-08-25,FriendsOfBitshares,1,36,4,51
XBC,2014-05-03,2014-03-30,2014-05-03,XBCplus,1,71,6,34
MONA,2014-03-20,2013-12-30,2014-03-20,2chpool,1,2,1,80
SPR,2014-10-26,2014-01-03,2014-10-26,cosmofly,1,126,9,305
SPT,2013-07-25,2013-07-22,2013-07-25,vipah,1,57,8,104
TAG,2013-11-05,2013-10-24,2013-11-05,tagbond,1,106,6,37
DRKC,2014-07-29,2014-07-25,2014-07-29,zlibz,1,47,2,7
LDOGE,2015-03-19,2015-06-01,2015-03-19,heavensopen,1,0,0,-45
SPA,2014-03-15,2014-01-19,2014-03-15,naplam,1,51,4,58
SPC,2015-08-04,2014-01-27,2015-08-04,spirecoin,1,15,3,554
HEEL,2015-10-27,2015-07-10,2015-10-27,heelcoin,1,31,2,109
TAK,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20
PRIME,2015-09-14,2013-06-28,2015-09-14,Sunny King,1,1024,32,1130
XPH,2015-06-08,2014-09-11,2015-06-08,pathfinder dev,1,23,1,270
XPM,2013-07-10,2013-06-03,2013-07-10,Sunny King,1,834,26,334
GP,2015-01-16,2014-04-22,2015-01-16,greenpay,1,10,1,269
BTCS,2014-03-17,2014-03-17,2014-03-17,kosmost,1,0,0,0
IXC,2013-05-08,2013-04-28,2013-05-08,jubalix,1,536,114,67
NOBL,2014-02-08,2013-12-11,2014-02-08,AndrewNoble,1,353,1,59
HZT,2015-04-17,2015-04-10,2015-04-17,HazMatCoin-Dev,1,42,3,8
XPY,2014-12-16,2013-08-06,2014-12-16,deppJ,1,24,2,566
PIGGY,2014-06-15,2014-02-25,2014-06-15,piggycoin,1,319,4,110
FIMK,2014-07-12,2014-05-31,2014-07-12,Eliphaz Fimk,1,81,2,42
BYC,2014-11-23,2014-01-10,2014-11-23,byte-coin,1,2,2,317
BTCD,2014-07-16,2014-07-09,2014-07-16,Azeh,1,91,3,135
ROS,2014-09-30,2014-09-04,2014-09-30,godivacoin,1,77,3,26
MAX,2014-02-12,2012-02-21,2014-02-12,BitPay Business Solutions,1,705,57,931
PAC,2015-11-02,2014-08-11,2015-11-02,PleiadesCoin,1,4,1,448
MAD,2015-09-01,2015-08-16,2015-09-01,WhoIsNotMad,1,24,1,16
FFC,2014-10-26,2014-01-15,2014-10-26,argakiig,1,243,8,308
GUA,2014-11-23,2014-12-20,2014-11-23,guaranycrypto,1,0,0,-27
BEN,2014-02-27,2014-02-02,2014-02-27,AllAboutTheBenjaminsBaby,1,415,10,25
GUE,2014-06-23,2014-06-17,2014-06-23,guerillacoin,1,21,1,6
DTC,2014-11-16,2013-12-03,2014-11-16,mstfck,1,51,5,358
BCF,2014-12-06,2014-12-03,2014-12-06,BitCoinFastTeam,1,14,1,3
007,2015-04-23,2015-04-21,2015-04-23,007coin,1,7,1,2
GUN,2014-05-11,2014-03-03,2014-05-11,guncoin_support,1,96,1,69
YBC,2014-01-16,2013-06-26,2014-01-16,orange,1,3,3,204
BET,2013-12-14,2013-10-30,2013-12-14,betacoindev,1,84,4,45
TTY,2015-01-18,2014-07-15,2015-01-18,TrinityCoin,1,65,1,187
HUC,2014-02-14,2013-09-24,2014-02-14,snailbrain,1,351,15,953
TTC,2014-11-08,2014-01-29,2014-11-08,vertoe,1,208,11,284
NMB,2014-09-04,2014-11-25,2014-09-04,NimbusGames,1,0,0,-82
GRT,2015-07-27,2015-05-03,2015-07-27,The Grantcoin Foundation,1,49,1,85
FLAP,2014-02-22,2014-01-23,2014-02-22,jayguar,1,275,2,530
BLU,2014-04-27,2014-01-28,2014-04-27,BluCoin,1,11,1,89
1337,2015-11-09,2014-01-10,2015-11-09,.Batman.,1,221,12,672
SOLE,2014-08-21,2014-08-08,2014-08-21,solecoin,1,50,1,13
FLAX,2015-07-25,2015-06-25,2015-07-25,ocminer,1,7771,78,997
