symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
LSD,Lightspeed,2014-09-13,2014-09-04,lightspeedLS,https://bitcointalk.org/index.php?topic=769832.0,2014-09-04
CPC,Capricoin,2015-07-23,2013-08-20,rumbitla,https://bitcointalk.org/index.php?topic=278092.0,2013-08-20
XBS,BitStake,2015-01-13,2011-09-14,BTCGameMaker,https://bitcointalk.org/index.php?topic=44059.0,2011-09-14
TRICK,TrickyCoin,2015-03-31,2011-06-03,evoorhees,https://bitcointalk.org/index.php?topic=11516.0,2011-06-03
SIB,SIBCoin,2015-09-25,2015-10-01,hot,https://bitcointalk.org/index.php?topic=1197623.0,2015-10-01
YUM,CandyCoin,2014-11-16,2014-01-06,raminnoodle,https://bitcointalk.org/index.php?topic=400667.0,2014-01-06
SKYNET,SkyNET,2014-12-13,2011-04-21,phelix,https://bitcointalk.org/index.php?topic=6253.0,2011-04-21
NYC,NewYorkCoin,2014-05-06,2011-04-20,Bruce Wagner,https://bitcointalk.org/index.php?topic=6150.0,2011-04-20
GAIA,GAIA,2014-10-11,2013-12-27,JonnyBravo,https://bitcointalk.org/index.php?topic=387863.0,2013-12-27
AGS,Aegis,2014-08-25,2013-06-13,Aegis,https://bitcointalk.org/index.php?topic=233270.0,2013-06-13
XBC,Bitcoin Plus,2014-05-03,2014-03-30,XBCplus,https://bitcointalk.org/index.php?topic=549485.0,2014-03-30
DRKT,DarkTron,2015-06-10,2015-06-07,DarkTron Team,https://bitcointalk.org/index.php?topic=1083744.0,2015-06-07
MONA,MonaCoin,2014-03-20,2013-12-30,2chpool,https://bitcointalk.org/index.php?topic=392088.0,2013-12-30
SPR,SpreadCoin,2014-10-26,2014-01-03,cosmofly,https://bitcointalk.org/index.php?topic=397562.0,2014-01-03
SPT,Spots,2013-07-25,2011-06-22,FlipPro,https://bitcointalk.org/index.php?topic=20963.0,2011-06-22
TAG,TagCoin,2013-11-05,2012-02-11,HolodeckJizzmopper,https://bitcointalk.org/index.php?topic=63473.0,2012-02-11
DRKC,DarkCash,2014-07-29,2014-07-25,zlibz,https://bitcointalk.org/index.php?topic=709322.0,2014-07-25
LDOGE,LiteDoge,2015-03-19,2015-06-01,heavensopen,https://bitcointalk.org/index.php?topic=1077390.0,2015-06-01
SPA,SpainCoin,2014-03-15,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
SPC,SpikesPrivateCoin,2015-08-04,2013-05-15,stevenb,https://bitcointalk.org/index.php?topic=206272.0,2013-05-15
HEEL,HeelCoin,2015-10-27,2011-08-08,VPoro,https://bitcointalk.org/index.php?topic=35573.0,2011-08-08
TAK,TakCoin,2014-02-27,2014-02-07,TakeiCoin,https://bitcointalk.org/index.php?topic=452902.0,2014-02-07
PRIME,PrimeChain,2015-09-14,2011-03-23,hazek,https://bitcointalk.org/index.php?topic=4844.0,2011-03-23
XPM,Primecoin,2013-07-11,2012-10-02,Sunny King,https://bitcointalk.org/index.php?topic=114994.0,2012-10-02
GP,GoldPieces,2015-01-16,2014-04-22,greenpay,https://bitcointalk.org/index.php?topic=580400.0,2014-04-22
BTCS,Bitcoin Scrypt,2014-03-17,2011-04-23,CryptikEnigma,https://bitcointalk.org/index.php?topic=6356.0,2011-04-23
IXC,Ixcoin,2013-05-08,2011-08-10,Nasakioto,https://bitcointalk.org/index.php?topic=36218.0,2011-08-10
NOBL,NobleCoin,2014-02-08,2013-12-11,AndrewNoble,https://bitcointalk.org/index.php?topic=366847.0,2013-12-11
FIC,Full Integrity Coin,2015-07-09,2014-10-28,fullintegrity,https://bitcointalk.org/index.php?topic=837752.0,2014-10-28
XPY,PayCoin,2014-12-16,2013-08-06,deppJ,https://bitcointalk.org/index.php?topic=268941.0,2013-08-06
GB,GreenBacks,2014-08-23,2013-01-31,CrownCloud,https://bitcointalk.org/index.php?topic=140278.0,2013-01-31
FIMK,FIMKrypto,2014-07-12,2014-05-31,Eliphaz Fimk,https://bitcointalk.org/index.php?topic=633304.0,2014-05-31
BYC,Bytecent,2014-11-23,2014-01-10,byte-coin,https://bitcointalk.org/index.php?topic=408300.0,2014-01-10
BTCD,BitcoinDark,2014-07-16,2013-05-09,esenminer,https://bitcointalk.org/index.php?topic=200213.0,2013-05-09
ROS,RosCoin,2014-09-30,2014-09-04,godivacoin,https://bitcointalk.org/index.php?topic=769857.0,2014-09-04
MAX,MaxCoin,2014-02-12,2011-04-23,xavier,https://bitcointalk.org/index.php?topic=6353.0,2011-04-23
LAB,Coinworkscoin,2014-10-25,2012-04-18,amincd,https://bitcointalk.org/index.php?topic=77207.0,2012-04-18
MAD,SatoshiMadness,2015-09-01,2013-06-06,xan_The_Dragon,https://bitcointalk.org/index.php?topic=226701.0,2013-06-06
FFC,FireFlyCoin,2014-10-26,2013-10-26,Jude Austin,https://bitcointalk.org/index.php?topic=318589.0,2013-10-26
GUA,Guarany,2014-11-23,2014-11-17,DigitalCurrencyConsultant,https://bitcointalk.org/index.php?topic=860928.0,2014-11-17
BEN,Benjamins,2014-02-27,2011-07-04,amincd,https://bitcointalk.org/index.php?topic=25760.0,2011-07-04
GUE,Guerillacoin,2014-06-23,2014-06-17,guerillacoin,https://bitcointalk.org/index.php?topic=656167.0,2014-06-17
EVO,Evotion,2015-12-09,2014-05-04,evocoins,https://bitcointalk.org/index.php?topic=595159.0,2014-05-04
DTC,Datacoin,2013-12-07,2013-11-05,oocook5u,https://bitcointalk.org/index.php?topic=325735.0,2013-11-05
CME,Cashme,2015-11-23,2015-08-29,stewpak,https://bitcointalk.org/index.php?topic=1165889.0,2015-08-29
GUN,Guncoin,2014-05-11,2011-09-01,Phinnaeus Gage,https://bitcointalk.org/index.php?topic=40750.0,2011-09-01
YBC,YbCoin,2014-01-16,2013-06-26,orange,https://bitcointalk.org/index.php?topic=243046.0,2013-06-26
BET,BetaCoin,2013-12-14,2011-05-20,CydeWeys,https://bitcointalk.org/index.php?topic=9158.0,2011-05-20
TTY,Trinity,2015-01-18,2011-10-24,Blinken,https://bitcointalk.org/index.php?topic=49671.0,2011-10-24
HUC,HunterCoin,2014-02-14,2013-09-24,snailbrain,https://bitcointalk.org/index.php?topic=300538.0,2013-09-24
HUN,Hundredcoin,2015-06-19,2014-09-29,shagger,https://bitcointalk.org/index.php?topic=802204.0,2014-09-29
SANDG,Save and Gain,2015-10-12,2015-06-16,crunck,https://bitcointalk.org/index.php?topic=1091306.0,2015-06-16
TTC,TittieCoin,2014-11-08,2014-01-29,tittiecoin,https://bitcointalk.org/index.php?topic=437695.0,2014-01-29
BILS,BilShares,2014-08-25,2014-08-08,starteam,https://bitcointalk.org/index.php?topic=729068.0,2014-08-08
GRT,Grantcoin,2015-07-27,2015-05-03,The Grantcoin Foundation,https://bitcointalk.org/index.php?topic=1046001.0,2015-05-03
FLAP,FlappyCoin,2014-02-22,2014-01-23,jayguar,https://bitcointalk.org/index.php?topic=429103.0,2014-01-23
BLU,BlueCoin,2014-04-28,2014-01-27,bryzie,https://bitcointalk.org/index.php?topic=435293.0,2014-01-27
1337,1337,2015-11-09,2014-01-10,.Batman.,https://bitcointalk.org/index.php?topic=409150.0,2014-01-10
SOLE,Solecoin,2014-08-21,2014-05-04,Gridseedminer,https://bitcointalk.org/index.php?topic=595014.0,2014-05-04
FLAX,Flaxscript,2015-07-25,2015-06-25,ocminer,https://bitcointalk.org/index.php?topic=1099181.0,2015-06-25
GRF,Graffiti,2015-08-17,2015-05-14,El Emperador,https://bitcointalk.org/index.php?topic=1060546.0,2015-05-14
FTC,Feathercoin,2013-05-03,2013-03-02,Tf | Banned for mentioning theymo.s dox,https://bitcointalk.org/index.php?topic=148296.0,2013-03-02
GRE,Greencoin,2014-06-23,2011-12-11,ifinta,https://bitcointalk.org/index.php?topic=54222.0,2011-12-11
GRC,GridCoin,2015-02-28,2012-07-23,markm,https://bitcointalk.org/index.php?topic=94788.0,2012-07-23
BLK,BlackCoin,2014-02-28,2014-02-16,rat4,https://bitcointalk.org/index.php?topic=469640.0,2014-02-16
CRACK,CrackCoin,2014-09-19,2011-04-27,grondilu,https://bitcointalk.org/index.php?topic=6601.0,2011-04-27
GRN,GraniteCoin,2014-06-12,2014-05-22,GraniteCoin,https://bitcointalk.org/index.php?topic=621544.0,2014-05-22
SPRTS,Sprouts,2015-07-21,2015-06-30,MrEggman,https://bitcointalk.org/index.php?topic=1103868.0,2015-06-30
DSB,DarkShibe,2014-10-25,2014-10-23,DarkShibe,https://bitcointalk.org/index.php?topic=833133.0,2014-10-23
BLC,Blakecoin,2014-02-12,2013-10-07,BlueDragon747,https://bitcointalk.org/index.php?topic=306894.0,2013-10-07
COOL,CoolCoin,2014-06-28,2010-09-21,The Madhatter,https://bitcointalk.org/index.php?topic=1264.0,2010-09-21
HYPER,Hyper,2014-05-31,2010-11-12,kiba,https://bitcointalk.org/index.php?topic=1763.0,2010-11-12
URC,Unrealcoin,2015-03-31,2015-03-23,USER211,https://bitcointalk.org/index.php?topic=1000669.0,2015-03-23
MI,Xiaomicoin,2015-09-04,2015-05-25,she9888,https://bitcointalk.org/index.php?topic=1068526.0,2015-05-25
NOC,Nocturna,2015-07-27,2014-01-28,extortion,https://bitcointalk.org/index.php?topic=435832.0,2014-01-28
EMC2,Einsteinium,2014-04-09,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
CBX,Crypto Bullion,2013-08-04,2011-09-03,tylerR,https://bitcointalk.org/index.php?topic=41220.0,2011-09-03
OPAL,Opal,2014-09-13,2014-09-01,OpalTeam,https://bitcointalk.org/index.php?topic=765387.0,2014-09-01
EKN,Elektron,2015-04-11,2015-04-10,ElektronFoundation,https://bitcointalk.org/index.php?topic=1019681.0,2015-04-10
DON,Donationcoin,2014-06-15,2010-07-19,satoshi,https://bitcointalk.org/index.php?topic=479.0,2010-07-19
SHADE,ShadeCoin,2014-09-06,2014-08-29,prix,https://bitcointalk.org/index.php?topic=761330.0,2014-08-29
FJC,FujiCoin,2015-06-14,2014-06-08,motty,https://bitcointalk.org/index.php?topic=644601.0,2014-06-08
BLITZ,Blitz,2014-11-16,2012-06-13,Eli,https://bitcointalk.org/index.php?topic=87347.0,2012-06-13
REP,Augur,2015-10-27,2010-11-24,Anonymous,https://bitcointalk.org/index.php?topic=1906.0,2010-11-24
GLC,GlobalCoin,2013-08-04,2013-05-29,hoolign,https://bitcointalk.org/index.php?topic=218916.0,2013-05-29
GLD,GoldCoin,2013-06-14,2011-07-22,dacoinminster,https://bitcointalk.org/index.php?topic=31032.0,2011-07-22
XSEED,BitSeeds,2015-04-21,2015-04-17,shimlbit,https://bitcointalk.org/index.php?topic=1028407.0,2015-04-17
CTM,ContinuumCoin,2014-02-27,2014-01-30,bitsta,https://bitcointalk.org/index.php?topic=440515.0,2014-01-30
CTO,Crypto,2015-05-18,2011-03-17,grondilu,https://bitcointalk.org/index.php?topic=4549.0,2011-03-17
SMC,SmartCoin,2014-02-06,2013-04-24,alex_fun,https://bitcointalk.org/index.php?topic=186154.0,2013-04-24
DOT,Dotcoin,2015-02-15,2011-05-06,khal,https://bitcointalk.org/index.php?topic=7412.0,2011-05-06
CLAM,Clams,2014-08-25,2014-05-24,SuperClam,https://bitcointalk.org/index.php?topic=623147.0,2014-05-24
FCT,Factom,2015-10-05,2014-11-17,AlanX,https://bitcointalk.org/index.php?topic=860864.0,2014-11-17
LTBC,LTBcoin,2014-08-20,2014-03-14,kirivas_s,https://bitcointalk.org/index.php?topic=515700.0,2014-03-14
BST,BitStone,2015-11-30,2014-04-25,GlobalBoost,https://bitcointalk.org/index.php?topic=584865.0,2014-04-25
XFC,Forevercoin,2015-06-24,2013-12-30,sebasimp,https://bitcointalk.org/index.php?topic=391786.0,2013-12-30
DROP,Faucetcoin,2015-11-02,2011-02-18,breandan81,https://bitcointalk.org/index.php?topic=3608.0,2011-02-18
XCR,Crypti,2014-08-07,2014-06-02,crypti,https://bitcointalk.org/index.php?topic=636676.0,2014-06-02
FCN,Fantomcoin,2014-06-08,2014-04-25,thankful_for_today,https://bitcointalk.org/index.php?topic=584528.0,2014-04-25
BSC,BowsCoin,2015-07-13,2014-02-08,bsc,https://bitcointalk.org/index.php?topic=455254.0,2014-02-08
LTS,LiteStarCoin,2015-10-23,2012-10-22,rebel,https://bitcointalk.org/index.php?topic=119763.0,2012-10-22
FC2,FuelCoin,2014-06-12,2013-05-14,Wolf Rainer,https://bitcointalk.org/index.php?topic=204583.0,2013-05-14
DFT,DraftCoin,2015-11-23,2015-11-19,simonsez,https://bitcointalk.org/index.php?topic=1255366.0,2015-11-19
AUM,Alexium,2015-08-20,2015-01-23,mprep,https://bitcointalk.org/index.php?topic=934017.0,2015-01-23
LTC,Litecoin,2013-04-28,2011-10-09,coblee,https://bitcointalk.org/index.php?topic=47417.0,2011-10-09
LTB,LiteBar,2014-03-12,2013-05-22,internationalaw,https://bitcointalk.org/index.php?topic=213388.0,2013-05-22
UNITY,SuperNET,2014-10-01,2011-10-18,the joint,https://bitcointalk.org/index.php?topic=48898.0,2011-10-18
AUR,Auroracoin,2014-02-27,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
XTC,TileCoin,2014-10-25,2014-08-07,cryptoxtc,https://bitcointalk.org/index.php?topic=728168.0,2014-08-07
VEC,Vector,2015-09-04,2010-11-12,bitboy,https://bitcointalk.org/index.php?topic=1756.0,2010-11-12
LTD,LimitedCoin,2015-09-15,2012-07-13,BadBitcoin (James Sutton),https://bitcointalk.org/index.php?topic=93109.0,2012-07-13
BTQ,BitQuark,2014-07-29,2014-02-15,BitQuark,https://bitcointalk.org/index.php?topic=468018.0,2014-02-15
CAT,Catcoin,2013-12-28,2012-07-30,Mike Jones,https://bitcointalk.org/index.php?topic=96770.0,2012-07-30
ALN,Aliencoin,2014-03-15,2013-05-30,hathmill,https://bitcointalk.org/index.php?topic=220415.0,2013-05-30
QUIT,QuitDough,2015-03-22,2011-06-14,42kang,https://bitcointalk.org/index.php?topic=16627.0,2011-06-14
ALF,AlphaCoin,2013-07-07,2013-06-10,alphacoin,https://bitcointalk.org/index.php?topic=230868.0,2013-06-10
NTR,Neutrino,2014-06-12,2014-06-13,JohnnyBTCSeed,https://bitcointalk.org/index.php?topic=651064.0,2014-06-13
SBC,StableCoin,2013-07-07,2013-04-16,herzmeister,https://bitcointalk.org/index.php?topic=178140.0,2013-04-16
SC,Siacoin,2015-08-26,2011-08-31,svojoe,https://bitcointalk.org/index.php?topic=40563.0,2011-08-31
ORB,Orbitcoin,2013-12-21,2013-08-02,Armchair Miner,https://bitcointalk.org/index.php?topic=266614.0,2013-08-02
MMC,Memorycoin,2013-12-24,2013-07-20,FreeTrade,https://bitcointalk.org/index.php?topic=259280.0,2013-07-20
GLYPH,Glyph,2014-06-17,2014-01-08,AliceWonder,https://bitcointalk.org/index.php?topic=405545.0,2014-01-08
I0C,I0Coin,2013-11-27,2011-08-11,BitcoinBug,https://bitcointalk.org/index.php?topic=36425.0,2011-08-11
BAT,BatCoin,2014-03-03,2013-05-19,spoid,https://bitcointalk.org/index.php?topic=209916.0,2013-05-19
SSV,SSVCoin,2014-09-07,2014-06-22,SSVCoin,https://bitcointalk.org/index.php?topic=661043.0,2014-06-22
FUTC,FutCoin,2015-07-21,2015-02-19,FUTCOIN,https://bitcointalk.org/index.php?topic=960951.0,2015-02-19
TOR,TorCoin,2014-07-12,2010-11-30,tyler,https://bitcointalk.org/index.php?topic=2019.0,2010-11-30
SOIL,SOILcoin,2015-11-12,2014-02-02,Phinnaeus Gage,https://bitcointalk.org/index.php?topic=445583.0,2014-02-02
TOP,TopCoin,2014-02-17,2011-03-31,Akarbb,https://bitcointalk.org/index.php?topic=5213.0,2011-03-31
CAP,Bottlecaps,2013-07-04,2011-02-11,kbriggs,https://bitcointalk.org/index.php?topic=3366.0,2011-02-11
RIPO,RipoffCoin,2014-08-23,2014-08-01,RipoffCoinDevTeam,https://bitcointalk.org/index.php?topic=721006.0,2014-08-01
MOTO,Motocoin,2014-06-03,2014-01-06,Cpt_Phil,https://bitcointalk.org/index.php?topic=401275.0,2014-01-06
OS76,OsmiumCoin,2015-10-19,2015-10-06,OSMIUMCOIN,https://bitcointalk.org/index.php?topic=1201395.0,2015-10-06
ERC,EuropeCoin,2015-06-18,2014-05-03,EuropeCoin,https://bitcointalk.org/index.php?topic=594758.0,2014-05-03
HAL,Halcyon,2014-08-19,2013-03-19,Hal,https://bitcointalk.org/index.php?topic=155054.0,2013-03-19
HUGE,BigCoin,2015-04-24,2011-02-13,grondilu,https://bitcointalk.org/index.php?topic=3444.0,2011-02-13
XCP,Counterparty,2014-02-15,2014-01-02,PhantomPhreak,https://bitcointalk.org/index.php?topic=395761.0,2014-01-02
CELL,SolarFarm,2015-01-25,2010-12-06,Bruce Wagner,https://bitcointalk.org/index.php?topic=2097.0,2010-12-06
XPB,Pebblecoin,2015-03-31,2015-01-01,XPB,https://bitcointalk.org/index.php?topic=909624.0,2015-01-01
BTA,Bata,2015-05-29,2015-04-28,pc888,https://bitcointalk.org/index.php?topic=1040956.0,2015-04-28
VPN,VPNCoin,2014-11-23,2011-06-21,Oldminer,https://bitcointalk.org/index.php?topic=20785.0,2011-06-21
ABC,Asset Backed Coin,2015-05-24,2011-06-19,bcearl,https://bitcointalk.org/index.php?topic=19360.0,2011-06-19
DCYP,DarkCypher,2015-10-24,2015-10-06,Atomictie,https://bitcointalk.org/index.php?topic=1202219.0,2015-10-06
