symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
LSD,Lightspeed,2014-09-13,2014-09-04,2014-09-13,lightspeedLS,1,45,1,9
CPC,Capricoin,2015-07-23,2013-08-20,2015-07-23,rumbitla,1,105,4,773
XBS,BitStake,2015-01-13,2011-09-14,2015-01-13,BTCGameMaker,1,15,4,1218
TRICK,TrickyCoin,2015-03-31,2011-06-03,2015-03-31,evoorhees,1,1733,119,1414
SIB,SIBCoin,2015-09-25,2015-10-01,2015-09-25,hot,1,0,0,-6
YUM,CandyCoin,2014-11-16,2014-01-06,2014-11-16,raminnoodle,1,54,6,327
SKYNET,SkyNET,2014-12-13,2011-04-21,2014-12-13,phelix,1,894,38,1332
NYC,NewYorkCoin,2014-05-06,2011-04-20,2014-05-06,Bruce Wagner,1,422,67,1273
GAIA,GAIA,2014-10-11,2013-12-27,2014-10-11,JonnyBravo,1,95,9,508
AGS,Aegis,2014-08-25,2013-06-13,2014-08-25,Aegis,1,13,4,438
XBC,Bitcoin Plus,2014-05-03,2014-03-30,2014-05-03,XBCplus,1,71,6,34
DRKT,DarkTron,2015-06-10,2015-06-07,2015-06-10,DarkTron Team,1,10,1,3
MONA,MonaCoin,2014-03-20,2013-12-30,2014-03-20,2chpool,1,2,1,80
SPR,SpreadCoin,2014-10-26,2014-01-03,2014-10-26,cosmofly,1,126,9,305
SPT,Spots,2013-07-25,2011-06-22,2013-07-25,FlipPro,1,828,17,777
TAG,TagCoin,2013-11-05,2012-02-11,2013-11-05,HolodeckJizzmopper,1,62,2,788
DRKC,DarkCash,2014-07-29,2014-07-25,2014-07-29,zlibz,1,47,2,7
LDOGE,LiteDoge,2015-03-19,2015-06-01,2015-03-19,heavensopen,1,0,0,-45
SPA,SpainCoin,2014-03-15,2014-01-19,2014-03-15,naplam,1,51,4,58
SPC,SpikesPrivateCoin,2015-08-04,2013-05-15,2015-08-04,stevenb,1,601,52,823
HEEL,HeelCoin,2015-10-27,2011-08-08,2015-10-27,VPoro,1,12,2,1655
TAK,TakCoin,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20
PRIME,PrimeChain,2015-09-14,2011-03-23,2015-09-14,hazek,1,1441,45,1659
XPH,Pharma,2015-06-08,2014-09-11,2015-06-08,pathfinder dev,1,23,1,270
XPM,Primecoin,2013-07-10,2012-10-02,2013-07-10,Sunny King,1,834,26,334
GP,GoldPieces,2015-01-16,2014-04-22,2015-01-16,greenpay,1,10,1,269
BTCS,Bitcoin Scrypt,2014-03-17,2011-04-23,2014-03-17,CryptikEnigma,1,42,5,1090
IXC,Ixcoin,2013-05-08,2011-08-10,2013-05-08,Nasakioto,1,99,13,637
NOBL,NobleCoin,2014-02-08,2013-12-11,2014-02-08,AndrewNoble,1,353,1,59
FIC,Full Integrity Coin,2015-07-09,2014-10-28,2015-07-09,fullintegrity,1,43,4,392
XPY,PayCoin,2014-12-16,2013-08-06,2014-12-16,deppJ,1,24,2,566
GB,GreenBacks,2014-08-23,2013-01-31,2014-08-23,CrownCloud,1,71,6,915
FIMK,FIMKrypto,2014-07-12,2014-05-31,2014-07-12,Eliphaz Fimk,1,81,2,42
