symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
DRZ,Droidz,2015-04-27,2015-04-14,DRZ,https://bitcointalk.org/index.php?topic=1024845.0,2015-04-14
TIX,Tickets,2013-11-03,2013-09-20,Lottery Tickets,https://bitcointalk.org/index.php?topic=297666.0,2013-09-20
CKC,Checkcoin,2014-09-19,2014-07-29,BitsendInc,https://bitcointalk.org/index.php?topic=715563.0,2014-07-29
MONETA,Moneta,2015-10-24,2015-10-19,moneta-dev,https://bitcointalk.org/index.php?topic=1214522.0,2015-10-19
CANN,CannabisCoin,2014-08-02,2014-06-07,CannabisCoinDev,https://bitcointalk.org/index.php?topic=643774.0,2014-06-07
XJO,Joulecoin,2013-12-06,2013-09-22,JohnJoule,https://bitcointalk.org/index.php?topic=299308.0,2013-09-22
CPC,Capricoin,2015-07-23,2015-07-20,CapricoinOfficial,https://bitcointalk.org/index.php?topic=1129322.0,2015-07-20
BOT,Botcoin,2015-09-08,2015-08-31,Walter Botcoin,https://bitcointalk.org/index.php?topic=1167349.0,2015-08-31
SOON,SoonCoin,2015-01-28,2014-06-25,pineapples,https://bitcointalk.org/index.php?topic=665063.0,2014-06-25
XBS,BitStake,2015-01-13,2015-01-11,Bitstake,https://bitcointalk.org/index.php?topic=920272.0,2015-01-11
TRICK,TrickyCoin,2015-03-31,2015-03-27,TrickyCoin,https://bitcointalk.org/index.php?topic=1004692.0,2015-03-27
SWARM,Swarm,2014-09-16,2014-06-24,fractastical,https://bitcointalk.org/index.php?topic=664071.0,2014-06-24
TRBO,TurboStake,2015-10-30,2015-10-08,CryptoWiz420,https://bitcointalk.org/index.php?topic=1203357.0,2015-10-08
YUM,CandyCoin,2014-11-16,2014-04-08,candycoin,https://bitcointalk.org/index.php?topic=560940.0,2014-04-08
G3N,Genstake,2015-06-10,2015-10-11,HORT,https://bitcointalk.org/index.php?topic=1205536.0,2015-10-11
EXP,Expanse,2015-09-15,2015-08-10,CryptoClub,https://bitcointalk.org/index.php?topic=1149632.0,2015-08-10
GHC,GamerholicCoin,2014-10-10,2014-09-25,coinweaver,https://bitcointalk.org/index.php?topic=796370.0,2014-09-25
LQD,LIQUID,2015-02-06,2015-02-07,Geenstijl,https://bitcointalk.org/index.php?topic=948702.0,2015-02-07
XUP,UPcoin,2015-09-22,2015-09-16,TheTerminator,https://bitcointalk.org/index.php?topic=1182202.0,2015-09-16
BOB,Dobbscoin,2014-08-27,2014-01-10,deeppurple72,https://bitcointalk.org/index.php?topic=408969.0,2014-01-10
PAK,Pakcoin,2015-09-15,2015-06-22,drwatson84,https://bitcointalk.org/index.php?topic=1096893.0,2015-06-22
BSTY,GlobalBoost-Y,2014-10-03,2014-09-08,GlobalBoost,https://bitcointalk.org/index.php?topic=775289.0,2014-09-08
SHLD,ShieldCoin,2014-07-12,2014-07-08,shieldcoindevs,https://bitcointalk.org/index.php?topic=681570.0,2014-07-08
SAK,Sharkcoin,2015-03-08,2014-05-20,SAKTeam,https://bitcointalk.org/index.php?topic=617410.0,2014-05-20
PKB,ParkByte,2015-05-18,2015-04-29,ParkByte,https://bitcointalk.org/index.php?topic=1042054.0,2015-04-29
SHELL,ShellPay,2015-06-18,2015-05-08,ShellCoin,https://bitcointalk.org/index.php?topic=1054714.0,2015-05-08
XQN,Quotient,2014-11-23,2014-11-11,CedricQuotient,https://bitcointalk.org/index.php?topic=854299.0,2014-11-11
XRA,Ratecoin,2015-06-26,2015-07-12,presstab,https://bitcointalk.org/index.php?topic=1119477.0,2015-07-12
TCO,TacoCoin,2014-07-21,2014-06-14,bassguitarman,https://bitcointalk.org/index.php?topic=651500.0,2014-06-14
APEX,ApexCoin,2014-07-18,2014-07-11,APEXcoin_Team,https://bitcointalk.org/index.php?topic=686403.0,2014-07-11
DUO,ParallelCoin,2015-10-24,2015-06-22,marcetin,https://bitcointalk.org/index.php?topic=1097017.0,2015-06-22
COV,Coven,2015-04-21,2015-04-19,CovenDev,https://bitcointalk.org/index.php?topic=1029754.0,2015-04-19
PXI,Prime-XI,2014-10-04,2014-07-20,Percise,https://bitcointalk.org/index.php?topic=701871.0,2014-07-20
DCR,DeltaCredits,2015-08-30,2015-08-18,Gladimor,https://bitcointalk.org/index.php?topic=1155319.0,2015-08-18
RIN,Ringo,2014-08-02,2014-05-23,homhomhom,https://bitcointalk.org/index.php?topic=622288.0,2014-05-23
TIT,Titcoin,2014-08-25,2014-06-21,RobertTitCoin,https://bitcointalk.org/index.php?topic=660482.0,2014-06-21
UIS,Unitus,2015-01-12,2014-12-21,neuroMode,https://bitcointalk.org/index.php?topic=901069.0,2014-12-21
LDOGE,LiteDoge,2015-03-19,2015-06-01,heavensopen,https://bitcointalk.org/index.php?topic=1077390.0,2015-06-01
LYB,Lyrabar,2015-11-16,2015-01-28,Lyrabar,https://bitcointalk.org/index.php?topic=939208.0,2015-01-28
LTD,LimitedCoin,2015-09-15,2015-09-11,LimitedDev,https://bitcointalk.org/index.php?topic=1177493.0,2015-09-11
BITUSD,bitUSD,2014-09-23,2014-08-22,ChuckOne,https://bitcointalk.org/index.php?topic=752258.0,2014-08-22
IOC,I/O Coin,2014-08-02,2014-07-15,IO Dev Team,https://bitcointalk.org/index.php?topic=695855.0,2014-07-15
RIC,Riecoin,2014-02-27,2013-09-05,gatra,https://bitcointalk.org/index.php?topic=288065.0,2013-09-05
CHA,Chancecoin,2014-05-20,2014-03-23,magician,https://bitcointalk.org/index.php?topic=528023.0,2014-03-23
INDEX,CoinoIndex,2015-06-18,2015-07-21,sasha35625,https://bitcointalk.org/index.php?topic=1129646.0,2015-07-21
HAL,Halcyon,2014-08-19,2014-08-16,halcyondev,https://bitcointalk.org/index.php?topic=741728.0,2014-08-16
MRY,Murraycoin,2014-03-03,2014-01-20,bholzer,https://bitcointalk.org/index.php?topic=424179.0,2014-01-20
URC,Unrealcoin,2015-03-31,2015-03-23,USER211,https://bitcointalk.org/index.php?topic=1000669.0,2015-03-23
BOST,BoostCoin,2014-05-30,2014-05-09,mammix2,https://bitcointalk.org/index.php?topic=601965.0,2014-05-09
MMNXT,MMNXT,2014-10-22,2015-01-20,Nxtblg,https://bitcointalk.org/index.php?topic=930228.0,2015-01-20
URO,Uro,2014-06-12,2014-05-08,true-asset,https://bitcointalk.org/index.php?topic=600639.0,2014-05-08
XAU,Xaurum,2015-04-21,2015-02-27,Aurum Project,https://bitcointalk.org/index.php?topic=970586.0,2015-02-27
DASH,Dash,2014-02-14,2014-01-18,eduffield,https://bitcointalk.org/index.php?topic=421615.0,2014-01-18
XAI,Sapience AIFX,2014-12-25,2014-11-19,CedricQuotient,https://bitcointalk.org/index.php?topic=864895.0,2014-11-19
TRMB,TRMB,2015-05-25,2015-06-30,godda04,https://bitcointalk.org/index.php?topic=1104238.0,2015-06-30
P7C,P7Coin,2015-04-17,2015-05-10,Power7-Dev,https://bitcointalk.org/index.php?topic=1057120.0,2015-05-10
NXE,NXE,2015-03-22,2015-03-05,NXE,https://bitcointalk.org/index.php?topic=977489.0,2015-03-05
BNB,BnB Coin,2015-06-08,2015-06-03,Bnbdevteam,https://bitcointalk.org/index.php?topic=1079548.0,2015-06-03
QBK,Qibuck,2014-08-17,2014-07-27,qiwoman2,https://bitcointalk.org/index.php?topic=711987.0,2014-07-27
THC,HempCoin,2014-06-28,2014-03-08,HempCoin,https://bitcointalk.org/index.php?topic=506320.0,2014-03-08
DIGS,Diggits,2015-07-16,2015-07-03,DIGGITSquad,https://bitcointalk.org/index.php?topic=1107592.0,2015-07-03
TENNET,TenneT,2015-08-10,2015-06-19,TenneT,https://bitcointalk.org/index.php?topic=1094342.0,2015-06-19
VIA,Viacoin,2014-07-18,2014-07-18,btcdrak,https://bitcointalk.org/index.php?topic=699278.0,2014-07-18
OK,OKCash,2014-12-14,2015-04-17,OKtoshi,https://bitcointalk.org/index.php?topic=1028368.0,2015-04-17
SIB,SIBCoin,2015-09-25,2015-10-01,hot,https://bitcointalk.org/index.php?topic=1197623.0,2015-10-01
CRAIG,CraigsCoin,2014-09-30,2014-09-12,CraigsCoin,https://bitcointalk.org/index.php?topic=780334.0,2014-09-12
HNC,Helleniccoin,2015-07-21,2015-02-08,helleniccoin,https://bitcointalk.org/index.php?topic=950020.0,2015-02-08
SFR,SaffronCoin,2014-06-15,2014-04-27,saffroncoin,https://bitcointalk.org/index.php?topic=586320.0,2014-04-27
BVC,BeaverCoin,2014-10-04,2014-08-29,Sumpfbiene,https://bitcointalk.org/index.php?topic=761269.0,2014-08-29
MAID,MaidSafeCoin,2014-04-28,2014-04-19,Chang Hum,https://bitcointalk.org/index.php?topic=577149.0,2014-04-19
NTRN,Neutron,2015-04-21,2015-04-25,TeamNeutron,https://bitcointalk.org/index.php?topic=1037272.0,2015-04-25
SCOT,Scotcoin,2014-05-26,2014-04-10,retrend,https://bitcointalk.org/index.php?topic=563977.0,2014-04-10
LXC,Librexcoin,2014-08-05,2014-07-21,Librexcoindev,https://bitcointalk.org/index.php?topic=703042.0,2014-07-21
FETISH,Fetish,2014-10-20,2014-09-19,altcoin.center,https://bitcointalk.org/index.php?topic=789338.0,2014-09-19
MZC,MazaCoin,2014-02-27,2014-03-05,crazyearner,https://bitcointalk.org/index.php?topic=502628.0,2014-03-05
JUDGE,Judgecoin,2014-07-08,2014-06-26,judgecrypto,https://bitcointalk.org/index.php?topic=666335.0,2014-06-26
NAV,Navajo,2014-06-12,2014-07-06,SUM2dev,https://bitcointalk.org/index.php?topic=679791.0,2014-07-06
NIRO,Nexus,2015-01-25,2014-06-19,KryptoKash,https://bitcointalk.org/index.php?topic=657601.0,2014-06-19
BTCRY,BitCrystal,2015-03-22,2015-02-24,bitcrystal,https://bitcointalk.org/index.php?topic=966861.0,2015-02-24
SPEC,SPEC,2015-07-27,2015-06-28,SpecDevelopment,https://bitcointalk.org/index.php?topic=1102264.0,2015-06-28
ICASH,iCash,2015-03-27,2015-03-19,cryptodev35,https://bitcointalk.org/index.php?topic=996567.0,2015-03-19
DEX,InstantDEX,2014-09-14,2014-07-09,Azeh,https://bitcointalk.org/index.php?topic=684090.0,2014-07-09
GREXIT,Grexit,2015-07-23,2015-07-17,grexitcoin,https://bitcointalk.org/index.php?topic=1126239.0,2015-07-17
CRW,CrownCoin,2014-11-08,2014-10-07,jeliman,https://bitcointalk.org/index.php?topic=815487.0,2014-10-07
EMC,EmerCoin,2014-08-23,2013-12-08,Fixx,https://bitcointalk.org/index.php?topic=362513.0,2013-12-08
FIBRE,Fibre,2014-08-30,2014-08-13,killakem,https://bitcointalk.org/index.php?topic=737771.0,2014-08-13
OC,OrangeCoin,2014-05-13,2014-04-23,Orangecoin,https://bitcointalk.org/index.php?topic=581894.0,2014-04-23
BELA,BellaCoin,2014-03-20,2014-01-29,twoturtles,https://bitcointalk.org/index.php?topic=437825.0,2014-01-29
CHIP,ChipCoin,2015-08-04,2015-07-25,Chips,https://bitcointalk.org/index.php?topic=1134886.0,2015-07-25
XLB,Libertycoin,2014-05-13,2014-05-08,Libertycoin,https://bitcointalk.org/index.php?topic=600322.0,2014-05-08
NXTCOINSCO,Tradebots,2014-10-04,2014-08-30,jl777,https://bitcointalk.org/index.php?topic=762346.0,2014-08-30
