symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
CPC,Capricoin,0.000801841,0.000156056,5.13816194187,5.13816194187,3.38255319508,2.54908031614,4.84117452343,3.34905593497,2.8016307668,16041.1274451,25969.4045648,2630744.90099,3.0,False,False,False,False,False,False,True,2015-07-23,2015-07-23,2015-07-20,2015-07-23,CapricoinOfficial,1,1,1,3,5,5,0,0.2,0.001075942,0.001077005,8.325338e-05,1.31947e-05,8.325842e-05,1.31947e-05,0.0,4.0,1.064623e-06,9.602613e-07,3.883268e-06,3.7788e-06
XBS,BitStake,0.00118852,1.01e-06,1176.75247525,1176.75247525,1015.82905983,7.82103781292,13.2207384142,5.20183171036,5.49167248501,38317.1726418,78883.6425194,13602596.2879,1.0,False,False,False,True,False,False,False,2015-01-13,2015-01-13,2015-01-11,2015-01-13,Bitstake,1,8,1,2,52,52,0,0.03092006,0.00117076,0.001171675,9.416745e-05,1.418198e-05,9.417271e-05,1.418198e-05,0.0,4.0,6.069527e-06,5.455355e-06,2.091869e-05,2.024508e-05
NXTPRIVACY,NXTprivacy,0.0031912,0.00010749,29.6883431017,29.6883431017,26.7108611223,3.1412405004,3.20347070544,4.5962360571,4.59966765065,274.623925972,10.0000209871,123855.390613,1.0,False,False,False,False,False,False,False,2014-10-04,2014-10-04,2014-08-30,2014-10-04,jl777,1,566,7,285,366,329,37,0.02262928,0.00127749,0.001279193,0.0001029778,1.982731e-05,0.0001029832,1.982741e-05,1395034.0,3.0,0.0001113601,9.765891e-05,0.0003294047,0.0003111223
YUM,CandyCoin,4.9065e-06,2.19934e-07,22.3089654169,22.3089654169,2.72815226276,2.36200871683,2.55790284526,2.19296140704,2.23454475373,9443.08771803,5990.28200977,1085955.08757,0.0,False,False,False,False,False,False,False,2014-11-16,2014-11-16,2014-04-08,2014-11-16,candycoin,1,15,1,222,18,18,0,0.03921569,0.001232703,0.001233997,9.928255e-05,1.462544e-05,9.928987e-05,1.462544e-05,0.0,3.0,4.283878e-06,3.637375e-06,1.181891e-05,1.101652e-05
SKYNET,SkyNET,0.00284011,0.000428195,6.63274909796,6.63274909796,6.63274909796,2.1179536659,5.24424715678,2.13296104561,2.54706911708,417.715327328,635.6586883,161238.116349,1.0,False,False,False,False,False,False,False,2014-12-13,2014-12-13,2014-08-29,2014-12-13,SkynetDev,1,36,1,107,77,76,1,0.008885851,0.001214761,0.001215828,9.674518e-05,1.441878e-05,9.674996e-05,1.441878e-05,121.3333,4.0,9.480429e-06,8.608652e-06,2.943947e-05,2.833698e-05
NYC,NewYorkCoin,1.00351e-08,7.0638e-12,1420.63761715,1420.63761715,30.9435928746,7.03723493931,8.99821968409,18.2343014975,19.1475425539,138216716.895,12897217.0849,83897547155.3,2.0,False,False,False,False,False,False,False,2014-05-06,2014-05-06,2014-03-18,2014-05-06,scryptenthusiast,1,98,7,49,43,40,3,0.02657807,0.001617503,0.001620642,0.0001452766,2.534485e-05,0.0001453016,2.534499e-05,103375.3,4.0,1.371978e-05,1.325501e-05,4.336735e-05,4.512372e-05
GAIA,GAIA,9.0966e-06,9.5e-07,9.57536842105,9.57536842105,9.0966,2.83399903703,3.680802253,1.64379567415,2.64045773152,573669.817756,3248526.0524,255856738.719,1.0,False,False,False,False,False,False,True,2014-10-11,2014-10-11,2013-12-27,2014-10-11,JonnyBravo,1,95,9,508,124,114,10,0.05927092,0.001265926,0.001267597,0.0001023014,1.973999e-05,0.0001023095,1.974007e-05,171382.1,3.0,4.789131e-05,5.866278e-05,0.0001197267,0.0001627319
AGS,Aegis,1.98172e-05,4.4e-07,45.0390909091,45.0390909091,30.964375,13.2207627131,13.3518142108,5.60419855279,5.20637151108,13852.0585309,74123.2862178,6870621.03131,1.0,False,False,False,True,False,False,False,2014-08-25,2014-08-25,2014-07-06,2014-08-25,aegisproject,1,36,1,50,150,150,0,0.01753915,0.001364306,0.001365554,0.0001088488,1.572327e-05,0.0001088561,1.572327e-05,0.0,3.0,4.386079e-05,3.970667e-05,0.0001361539,0.0001322889
XBC,Bitcoin Plus,0.0253059,0.0001795,140.97994429,140.97994429,81.6319354839,16.6969100332,16.6969100332,4.46363841033,4.46363841033,887.174105684,,541176.204467,1.0,False,False,True,False,False,False,False,2014-05-03,2014-05-03,2014-03-30,2014-05-03,XBCplus,1,71,6,34,189,188,1,0.005234718,0.001618182,0.001621335,0.0001470789,2.557097e-05,0.0001471024,2.55711e-05,292965.9,4.0,7.369046e-05,7.335323e-05,0.0002310986,0.0002408851
DRKT,DarkTron,7.139e-05,1.19037e-06,59.9729495871,59.9729495871,34.3221153846,5.72897223886,6.10967519145,3.96767383917,4.25022377651,52707.7050374,125361.348412,9856340.84199,1.0,False,False,False,False,False,False,False,2015-06-10,2015-06-10,2015-06-07,2015-06-10,DarkTron Team,1,10,1,3,60,60,0,0.01468927,0.001085495,0.001086428,8.51252e-05,1.33876e-05,8.512973e-05,1.33876e-05,0.0,4.0,7.719253e-06,6.789053e-06,2.397517e-05,2.28766e-05
