symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
XBS,BitStake,0.00118852,1.01e-06,1176.75247525,1176.75247525,914.246153846,7.84402661052,13.2593432317,5.20127962415,5.49036757272,8.68137965364,19.5860062992,37992.0263033,79184.1482239,3107.933916,1880.25660472,13601145.4166,7601678.22949,0,False,False,False,False,False,False,False,2015-01-13,2015-01-13,2015-01-11,2015-01-13,Bitstake,1,8,1,2,52,52,0,0.03092006,0.00117076,0.001171675,9.416745e-05,1.418198e-05,9.417271e-05,1.418198e-05,0.0,4.0,6.069527e-06,5.455355e-06,2.091869e-05,2.024508e-05,0.0
YUM,CandyCoin,4.9065e-06,2.19934e-07,22.3089654169,22.3089654169,2.72815226276,2.36200871683,2.55790284526,2.19296140704,2.23454475373,0.02094569086,0.03575945027,9361.68178942,7479.19281966,2.42970013976,0.14303780108,1085955.08757,29916.7712787,0,False,False,False,False,False,False,False,2014-11-16,2014-11-16,2014-04-08,2014-11-16,candycoin,1,15,1,222,18,18,0,0.03921569,0.001232703,0.001233997,9.928255e-05,1.462544e-05,9.928987e-05,1.462544e-05,0.0,3.0,4.283878e-06,3.637375e-06,1.181891e-05,1.101652e-05,0.0
SKYNET,SkyNET,0.00284011,0.000435846,6.5163153958,6.5163153958,5.37936298687,2.12477515634,5.24244756095,2.13262013204,2.54535048873,0.551876320768,0.887098851555,414.400340854,637.069505971,214.679888779,175.645572608,161201.732592,126139.762182,1,False,False,False,False,False,False,False,2014-12-13,2014-12-13,2014-08-29,2014-12-13,SkynetDev,1,36,1,107,77,76,1,0.008885851,0.001214761,0.001215828,9.674518e-05,1.441878e-05,9.674996e-05,1.441878e-05,121.3333,4.0,9.480429e-06,8.608652e-06,2.943947e-05,2.833698e-05,0.0
NYC,NewYorkCoin,1.00351e-08,7.0638e-12,1420.63761715,1420.63761715,41.4423529606,7.06746587203,9.03465690883,18.2995262073,19.2122224921,0.0758831148165,0.122314126582,138376802.252,12224992.7129,46.3645831529,2.32396840507,84548226175.7,232274861.546,2,False,False,False,False,False,False,False,2014-05-06,2014-05-06,2014-03-18,2014-05-06,scryptenthusiast,1,98,7,49,43,40,3,0.02657807,0.001617503,0.001620642,0.0001452766,2.534485e-05,0.0001453016,2.534499e-05,103375.3,4.0,1.371978e-05,1.325501e-05,4.336735e-05,4.512372e-05,0.0
GAIA,GAIA,9.0966e-06,9.5e-07,9.57536842105,9.57536842105,9.0966,2.83399903703,3.680802253,1.64379567415,2.64045773152,3.16752901396,21.5696829884,572386.440088,3225515.69229,1415.88546924,1121.62351539,255856738.719,167726815.999,1,False,False,False,False,False,False,True,2014-10-11,2014-10-11,2013-12-27,2014-10-11,JonnyBravo,1,95,9,508,124,114,10,0.05927092,0.001265926,0.001267597,0.0001023014,1.973999e-05,0.0001023095,1.974007e-05,171382.1,3.0,4.789131e-05,5.866278e-05,0.0001197267,0.0001627319,0.0
AGS,Aegis,1.98172e-05,4.4e-07,45.0390909091,45.0390909091,31.4558730159,13.2601319327,13.3912948507,5.60573232794,5.20795643843,0.0487888611119,1.67828117506,13801.0059937,149011.650928,24.2968528337,15.1045305755,6872900.98486,1341104.85836,0,False,False,False,False,False,False,False,2014-08-25,2014-08-25,2014-07-06,2014-08-25,aegisproject,1,36,1,50,150,150,0,0.01753915,0.001364306,0.001365554,0.0001088488,1.572327e-05,0.0001088561,1.572327e-05,0.0,3.0,4.386079e-05,3.970667e-05,0.0001361539,0.0001322889,0.0
XBC,Bitcoin Plus,0.0253059,0.0001795,140.97994429,140.97994429,91.9712883882,16.7498131498,16.7498131498,4.46433002721,4.46433002721,5.00512662413,430.361702189,882.977372001,17006.3780458,3068.14262059,430.361702189,541265.129037,17006.3780458,1,False,False,True,False,False,False,False,2014-05-03,2014-05-03,2014-03-30,2014-05-03,XBCplus,1,71,6,34,189,188,1,0.005234718,0.001618182,0.001621335,0.0001470789,2.557097e-05,0.0001471024,2.55711e-05,292965.9,4.0,7.369046e-05,7.335323e-05,0.0002310986,0.0002408851,0.0
MONA,MonaCoin,0.00124232,4.30149e-05,28.8811551346,15.0470614312,6.87972443888,4.1461919839,4.43771282078,3.65885606446,3.50986496557,19.5110531717,3.6086974099,57463.5643162,19485.0326214,12838.272987,487.174150336,37811025.3201,2630479.40389,8,False,False,False,False,False,False,True,2014-03-20,2014-03-20,2013-12-30,2014-03-20,2chpool,1,2,1,80,2,2,0,0.0,0.001820683,0.001823135,0.0001889839,2.182787e-05,0.0001890172,2.182787e-05,0.0,6.0,2.289986e-06,2.092054e-06,9.015581e-06,8.8713e-06,0.0
SPR,SpreadCoin,0.000680543,4.01208e-06,169.623487069,45.3997998666,8.13851949294,6.62602838522,10.3811605952,6.08418368745,7.07223399338,3.00265022056,3.07325891315,26844.2633177,9214.02466994,1312.15814638,273.52004327,11730943.0698,820048.195624,1,False,False,False,False,False,False,True,2014-10-26,2014-10-26,2014-11-10,2014-10-26,Riseman,1,25,0,312,16,0,16,0.05833333,0.001251211,0.001252917,1.483239e-05,1.951389e-05,1.483239e-05,1.951396e-05,0.0,inf,9.114793e-07,8.349836e-07,3.519071e-06,3.466993e-06,1.0
BLITZ,Blitz,0.00019543,6.93805e-06,28.1678569627,11.4019836639,9.7715,3.75986733806,4.56981522745,3.52081407042,3.07112875429,2.56590683323,2.82827007877,46226.6841416,67932.0870205,1067.41724262,251.716037011,19230300.6029,6045955.74483,1,False,False,False,False,False,False,True,2014-11-16,2014-11-16,2014-04-26,2014-11-16,slavo,1,503,23,449,327,211,116,0.04309852,0.001233494,0.001234885,9.926578e-05,1.925986e-05,9.927268e-05,1.925994e-05,1219250.0,4.0,7.758638e-05,7.050048e-05,0.0002346107,0.0002287638,0.0
TAG,TagCoin,0.00279889,3.29287e-05,84.9984967521,84.9984967521,34.3484039453,8.83063279529,9.81951365813,11.2805900764,11.2805900764,6.29719046144,0.0,25380.0700379,0.0,4993.67203592,0.0,20126395.5401,0.0,4,False,False,False,False,True,True,False,2013-11-05,2013-11-05,2013-10-24,2013-11-05,tagbond,1,106,6,37,204,200,4,0.04822423,0.008867352,0.008960709,0.0007077941,8.573519e-05,0.0007083011,8.573761e-05,99143.05,3.0,0.0002273051,0.000240923,0.0006539791,0.0007174188,0.0
