symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_average_path_length,clustering_coefficient,average_degree,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
CPC,Capricoin,0.210166,0.0480542,4.37351990045,2.72813182306,1.80792622605,2.24309974886,9.77240096496,2.95731440911,1.86472846651,1120.15882871,1126.80484844,15762.1206315,17013.4083019,188186.683223,156625.873933,2648036.26609,2364863.75397,3,False,False,False,False,False,False,True,2015-07-23,2015-07-23,2015-07-20,2015-07-23,75788,901860,0.0001570139,0.000175525,59836.34,0.04813339,23.79955,CapricoinOfficial,1,1,1,3,5,5,0,0.2,0.001075942,0.001077005,8.325338e-05,1.31947e-05,8.325842e-05,1.31947e-05,0.0,4.0,1.064623e-06,9.602613e-07,3.883268e-06,3.7788e-06,0.0
XBS,BitStake,0.265748,0.000449854,590.742774322,590.742774322,473.350563483,7.16173231701,12.1773490999,4.86141281546,5.25572006728,2076.82527474,4748.72201667,37992.0263033,79184.1482239,743503.448355,455877.3136,13601145.4166,7601678.22949,0,False,False,False,False,False,False,False,2015-01-13,2015-01-13,2015-01-11,2015-01-13,70512,806652,0.0001622408,0.0001812975,55940.32,0.0470444,22.87985,Bitstake,1,8,1,2,52,52,0,0.03092006,0.00117076,0.001171675,9.416745e-05,1.418198e-05,9.417271e-05,1.418198e-05,0.0,4.0,6.069527e-06,5.455355e-06,2.091869e-05,2.024508e-05,0.0
NXTPRIVACY,NXTprivacy,1.09009,0.0324006,33.644130047,33.644130047,21.2697997682,3.57844113059,3.65338179859,5.4032445996,5.40789312896,55.2820584858,14.62581,274.016350915,15.0000292806,24987.4904356,43.87743,123855.390613,45.0000878419,1,False,False,False,False,False,False,False,2014-10-04,2014-10-04,2014-08-30,2014-10-04,66282,746327,0.0001698783,0.0001902306,52755.83,0.04796365,22.51975,jl777,1,566,7,285,366,329,37,0.02262928,0.00127749,0.001279193,0.0001029778,1.982731e-05,0.0001029832,1.982741e-05,1395034.0,3.0,0.0001113601,9.765891e-05,0.0003294047,0.0003111223,0.0
YUM,CandyCoin,0.00185321,4.899e-05,37.8283323127,37.8283323127,3.47675267199,2.86980054245,3.16932814244,2.67686465171,2.75230102794,6.48115036293,13.6840355,9361.68178942,7479.19281966,751.8134421,54.736142,1085955.08757,29916.7712787,0,False,False,False,False,False,False,False,2014-11-16,2014-11-16,2014-04-08,2014-11-16,68374,775871,0.0001659616,0.0001856533,54344.21,0.04742251,22.69491,candycoin,1,15,1,222,18,18,0,0.03921569,0.001232703,0.001233997,9.928255e-05,1.462544e-05,9.928987e-05,1.462544e-05,0.0,3.0,4.283878e-06,3.637375e-06,1.181891e-05,1.101652e-05,0.0
SKYNET,SkyNET,0.719832,0.18624,3.86507731959,3.86507731959,3.16784241587,2.0446853007,4.73564775116,1.95043997494,2.29546654436,152.939147059,245.045527922,414.400340854,637.069505971,59493.328206,48519.0145286,161201.732592,126139.762182,1,False,False,False,False,False,False,False,2014-12-13,2014-12-13,2014-08-29,2014-12-13,69355,790351,0.0001643102,0.0001837092,55079.55,0.04710564,22.79146,SkynetDev,1,36,1,107,77,76,1,0.008885851,0.001214761,0.001215828,9.674518e-05,1.441878e-05,9.674996e-05,1.441878e-05,121.3333,4.0,9.480429e-06,8.608652e-06,2.943947e-05,2.833698e-05,0.0
NYC,NewYorkCoin,6.59143e-06,3.3786e-09,1950.93529864,1950.93529864,63.2465600952,9.40901694307,13.2085979108,40.7157550928,43.9448180901,22.4016723646,37.16809534,138376802.252,8321187.8057,13687.4218148,1040.70666952,84548226175.7,232993258.56,2,False,False,False,False,False,False,False,2014-05-06,2014-05-06,2014-03-18,2014-05-06,52246,558835,0.0002047281,0.000232101,41139.21,0.05338287,21.39245,scryptenthusiast,1,98,7,49,43,40,3,0.02657807,0.001617503,0.001620642,0.0001452766,2.534485e-05,0.0001453016,2.534499e-05,103375.3,4.0,1.371978e-05,1.325501e-05,4.336735e-05,4.512372e-05,0.0
GAIA,GAIA,0.0034431,0.000256144,13.4420482229,13.4420482229,7.96167960431,3.66041409551,5.13310905596,1.87523444862,3.36233724715,1050.95325724,7375.63111504,572386.440088,3225515.69229,469776.105985,383532.817982,255856738.719,167726815.999,1,False,False,False,False,False,False,True,2014-10-11,2014-10-11,2013-12-27,2014-10-11,66612,751011,0.0001692549,0.0001895487,52998.25,0.04791846,22.54882,JonnyBravo,1,95,9,508,124,114,10,0.05927092,0.001265926,0.001267597,0.0001023014,1.973999e-05,0.0001023095,1.974007e-05,171382.1,3.0,4.789131e-05,5.866278e-05,0.0001197267,0.0001627319,0.0
AGS,Aegis,0.00948198,0.000142377,66.5976948524,66.5976948524,34.8509953248,20.7073556816,21.0440961269,6.07975122479,5.66349249726,21.5240489247,804.360516,13801.0059937,149011.650928,10718.9763645,7239.244644,6872900.98486,1341104.85836,0,False,False,False,False,False,False,False,2014-08-25,2014-08-25,2014-07-06,2014-08-25,63600,709757,0.000175467,0.0001967924,50597.45,0.04867828,22.3194,aegisproject,1,36,1,50,150,150,0,0.01753915,0.001364306,0.001365554,0.0001088488,1.572327e-05,0.0001088561,1.572327e-05,0.0,3.0,4.386079e-05,3.970667e-05,0.0001361539,0.0001322889,0.0
XBC,Bitcoin Plus,11.0849,0.0631012,175.668608521,175.668608521,93.6050733816,16.9412802295,16.9412802295,4.15387356749,4.15387356749,2356.28641842,188514.0,882.977372001,17006.3780458,1444403.57449,188514.0,541265.129037,17006.3780458,1,False,False,True,False,False,False,False,2014-05-03,2014-05-03,2014-03-30,2014-05-03,51816,554692,0.0002065971,0.0002343244,40772.83,0.05353146,21.41007,XBCplus,1,71,6,34,189,188,1,0.005234718,0.001618182,0.001621335,0.0001470789,2.557097e-05,0.0001471024,2.55711e-05,292965.9,4.0,7.369046e-05,7.335323e-05,0.0002310986,0.0002408851,0.0
DRKT,DarkTron,0.0167966,0.000408235,41.1444388649,41.1444388649,18.2410741824,5.19496157708,5.50043804476,3.59595583175,3.78820015412,244.886528817,1344.99811667,52427.3449042,136660.892298,46038.6674177,8069.9887,9856340.84199,819965.35379,1,False,False,False,False,False,False,False,2015-06-10,2015-06-10,2015-06-07,2015-06-10,74696,880507,0.0001578113,0.0001764005,59092.71,0.04775,23.57575,DarkTron Team,1,10,1,3,60,60,0,0.01468927,0.001085495,0.001086428,8.51252e-05,1.33876e-05,8.512973e-05,1.33876e-05,0.0,4.0,7.719253e-06,6.789053e-06,2.397517e-05,2.28766e-05,0.0
