symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
CPC,Capricoin,0.210166,0.0480542,4.37351990045,1.79707393821,1.79707393821,2.24634368954,292.923051929,2.953756996,1.79707393821,15885.7410892,0,2652918.7619,3,False,False,False,False,False,False,True,2015-07-23,2015-07-23,2015-07-20,2015-07-23,CapricoinOfficial,1,1,1,3,5,5,0,0.2,0.001075942,0.001077005,8.325338e-05,1.31947e-05,8.325842e-05,1.31947e-05,0.0,4.0,1.064623e-06,9.602613e-07,3.883268e-06,3.7788e-06
XBS,BitStake,0.265748,0.000449854,590.742774322,473.350563483,473.350563483,7.16173231701,159992.490457,4.86141281546,473.350563483,37992.0263033,0,13601145.4166,0,False,False,False,False,False,False,False,2015-01-13,2015-01-13,2015-01-11,2015-01-13,Bitstake,1,8,1,2,52,52,0,0.03092006,0.00117076,0.001171675,9.416745e-05,1.418198e-05,9.417271e-05,1.418198e-05,0.0,4.0,6.069527e-06,5.455355e-06,2.091869e-05,2.024508e-05
NXTPRIVACY,NXTprivacy,1.09009,0.0324006,33.644130047,21.2697997682,21.2697997682,3.57844113059,6125.70233324,5.4032445996,21.2697997682,274.016350915,0,123855.390613,1,False,False,False,False,False,False,False,2014-10-04,2014-10-04,2014-08-30,2014-10-04,jl777,1,566,7,285,366,329,37,0.02262928,0.00127749,0.001279193,0.0001029778,1.982731e-05,0.0001029832,1.982741e-05,1395034.0,3.0,0.0001113601,9.765891e-05,0.0003294047,0.0003111223
YUM,CandyCoin,0.00185321,4.899e-05,37.8283323127,3.47675267199,3.47675267199,2.86980054245,305.954235135,2.67686465171,3.47675267199,9361.68178942,0,1085955.08757,0,False,False,False,False,False,False,False,2014-11-16,2014-11-16,2014-04-08,2014-11-16,candycoin,1,15,1,222,18,18,0,0.03921569,0.001232703,0.001233997,9.928255e-05,1.462544e-05,9.928987e-05,1.462544e-05,0.0,3.0,4.283878e-06,3.637375e-06,1.181891e-05,1.101652e-05
SKYNET,SkyNET,0.719832,0.18624,3.86507731959,3.23396455287,3.23396455287,2.04263641401,1148.05741627,1.95043065798,3.23396455287,415.463238358,0,161199.736483,1,False,False,False,False,False,False,False,2014-12-13,2014-12-13,2014-08-29,2014-12-13,SkynetDev,1,36,1,107,77,76,1,0.008885851,0.001214761,0.001215828,9.674518e-05,1.441878e-05,9.674996e-05,1.441878e-05,121.3333,4.0,9.480429e-06,8.608652e-06,2.943947e-05,2.833698e-05
NYC,NewYorkCoin,6.59143e-06,3.3786e-09,1950.93529864,67.7602240228,67.7602240228,9.39541129029,39368.6901573,40.7372766185,67.7602240228,138776419.573,0,84653615939.8,2,False,False,False,False,False,False,False,2014-05-06,2014-05-06,2014-03-18,2014-05-06,scryptenthusiast,1,98,7,49,43,40,3,0.02657807,0.001617503,0.001620642,0.0001452766,2.534485e-05,0.0001453016,2.534499e-05,103375.3,4.0,1.371978e-05,1.325501e-05,4.336735e-05,4.512372e-05
GAIA,GAIA,0.0034431,0.000256144,13.4420482229,7.96167960431,7.96167960431,3.66041409551,3200.59520093,1.87523444862,7.96167960431,572386.440088,0,255856738.719,1,False,False,False,False,False,False,True,2014-10-11,2014-10-11,2013-12-27,2014-10-11,JonnyBravo,1,95,9,508,124,114,10,0.05927092,0.001265926,0.001267597,0.0001023014,1.973999e-05,0.0001023095,1.974007e-05,171382.1,3.0,4.789131e-05,5.866278e-05,0.0001197267,0.0001627319
AGS,Aegis,0.00948198,0.000142377,66.5976948524,34.8509953248,34.8509953248,20.7073556816,13766.1431533,6.07975122479,34.8509953248,13801.0059937,0,6872900.98486,0,False,False,False,False,False,False,False,2014-08-25,2014-08-25,2014-07-06,2014-08-25,aegisproject,1,36,1,50,150,150,0,0.01753915,0.001364306,0.001365554,0.0001088488,1.572327e-05,0.0001088561,1.572327e-05,0.0,3.0,4.386079e-05,3.970667e-05,0.0001361539,0.0001322889
XBC,Bitcoin Plus,11.0849,0.0631012,175.668608521,75.7289446357,75.7289446357,16.9127601436,38697.4907089,4.15416304846,75.7289446357,884.486149101,0,541305.52325,1,False,False,True,False,False,False,False,2014-05-03,2014-05-03,2014-03-30,2014-05-03,XBCplus,1,71,6,34,189,188,1,0.005234718,0.001618182,0.001621335,0.0001470789,2.557097e-05,0.0001471024,2.55711e-05,292965.9,4.0,7.369046e-05,7.335323e-05,0.0002310986,0.0002408851
DRKT,DarkTron,0.0167966,0.000408235,41.1444388649,18.2410741824,18.2410741824,5.19496157708,3155.70583355,3.59595583175,18.2410741824,52427.3449042,0,9856340.84199,1,False,False,False,False,False,False,False,2015-06-10,2015-06-10,2015-06-07,2015-06-10,DarkTron Team,1,10,1,3,60,60,0,0.01468927,0.001085495,0.001086428,8.51252e-05,1.33876e-05,8.512973e-05,1.33876e-05,0.0,4.0,7.719253e-06,6.789053e-06,2.397517e-05,2.28766e-05
MONA,MonaCoin,0.738176,0.0226116,32.6458985653,10.8092404292,10.8092404292,7.80165633429,6669.30134483,7.05281002087,10.8092404292,57450.7390773,0,37745135.5738,8,False,False,False,False,False,False,True,2014-03-20,2014-03-20,2013-12-30,2014-03-20,2chpool,1,2,1,80,2,2,0,0.0,0.001820683,0.001823135,0.0001889839,2.182787e-05,0.0001890172,2.182787e-05,0.0,6.0,2.289986e-06,2.092054e-06,9.015581e-06,8.8713e-06
SPR,SpreadCoin,0.156104,0.001303,119.803530315,3.89106299821,3.89106299821,5.7243306574,1657.59283724,4.85118729558,3.89106299821,26890.2453631,0,11724146.9783,1,False,False,False,False,False,False,True,2014-10-26,2014-10-26,2014-11-10,2014-10-26,Riseman,1,25,0,312,16,0,16,0.05833333,0.001251211,0.001252917,1.483239e-05,1.951389e-05,1.483239e-05,1.951396e-05,0.0,inf,9.114793e-07,8.349836e-07,3.519071e-06,3.466993e-06
BLITZ,Blitz,0.0494071,0.0024371,20.2729063231,5.84235476917,5.84235476917,3.62354613609,2342.78426244,3.51133150805,5.84235476917,46305.6553707,0,19216846.9789,1,False,False,False,False,False,False,True,2014-11-16,2014-11-16,2014-04-26,2014-11-16,slavo,1,503,23,449,327,211,116,0.04309852,0.001233494,0.001234885,9.926578e-05,1.925986e-05,9.927268e-05,1.925994e-05,1219250.0,4.0,7.758638e-05,7.050048e-05,0.0002346107,0.0002287638
TAG,TagCoin,3.11315,0.00744679,418.052610588,88.6490288373,88.6490288373,15.5970240794,68791.6463778,25.5108286722,88.6490288373,25400.8637747,0,20117484.1096,4,False,False,False,False,True,True,False,2013-11-05,2013-11-05,2013-10-24,2013-11-05,tagbond,1,106,6,37,204,200,4,0.04822423,0.008867352,0.008960709,0.0007077941,8.573519e-05,0.0007083011,8.573761e-05,99143.05,3.0,0.0002273051,0.000240923,0.0006539791,0.0007174188
DRKC,DarkCash,0.0116933,0.000300579,38.9025846782,13.6063057727,13.6063057727,3.64612734382,5864.31778805,2.19729796238,13.6063057727,24516.995444,0,12895939.6035,1,False,False,False,False,False,True,False,2014-07-29,2014-07-29,2014-07-25,2014-07-29,zlibz,1,47,2,7,191,186,5,0.01465969,0.001436836,0.001439005,0.0001118805,2.139641e-05,0.0001118884,2.13965e-05,177452.7,4.0,5.857919e-05,5.197622e-05,0.0001820558,0.0001739931
XMR,Monero,5.03898,0.226724,22.2251724564,9.79942125038,9.79942125038,5.75369810139,5713.06258897,5.44114549551,9.79942125038,72180.160412,0,42947195.4451,6,False,False,True,False,False,True,True,2014-05-20,2014-05-20,2014-04-25,2014-05-20,monero,1,8,3,27,217,216,1,0.0211025,0.001585045,0.001587681,0.0001336909,2.40999e-05,0.0001337071,2.41e-05,197571.0,3.0,0.0001642502,0.0001704738,0.0004624902,0.0005123386
SPA,SpainCoin,2.62425,0.000150483,17438.8469129,14820.9959167,14820.9959167,220.293129341,9470616.39078,190.039383267,14820.9959167,173002.511352,0,114354660.004,0,False,False,False,False,False,False,False,2014-03-15,2014-03-15,2014-03-04,2014-03-15,SpainCoinDev,1,54,1,11,238,235,3,0.004822182,0.001831626,0.001833973,0.0001955765,2.965263e-05,0.0001955998,2.96528e-05,316408.2,3.0,0.0001100619,9.493704e-05,0.0003550636,0.0003317389
SPC,SpikesPrivateCoin,0.112539,0.00166703,67.5086831071,50.080323251,50.080323251,3.24312694759,4256.82747634,2.28650198719,50.080323251,1534.43031303,0,237836.698519,1,False,False,False,False,False,False,False,2015-08-04,2015-08-04,2013-05-15,2015-08-04,Supercoin,1,8,1,811,61,61,0,0.09781421,0.001069444,0.001070322,8.274004e-05,1.313698e-05,8.274464e-05,1.313698e-05,0.0,4.0,2.585122e-05,2.189937e-05,5.585266e-05,5.015672e-05
HEEL,HeelCoin,0.000274194,4.21267e-06,65.087937104,5.2874104042,5.2874104042,2.42093810243,290.807572231,4.57496626262,5.2874104042,172114.273706,0,12220113.4331,1,False,False,False,False,False,False,False,2015-10-27,2015-10-27,2015-07-10,2015-10-27,heelcoin,1,31,2,109,62,61,1,0.02677596,0.001048106,0.001048932,8.048764e-05,1.277988e-05,8.049226e-05,1.277988e-05,57.83333,4.0,1.401903e-05,1.267217e-05,4.340381e-05,4.229763e-05
TAK,TakCoin,0.00486027,1.77367e-06,2740.23352709,1125.42461579,1125.42461579,64.1611471041,750658.218732,68.8982248216,1125.42461579,19065682.9252,0,12926533023.3,0,False,False,False,False,False,False,False,2014-02-27,2014-02-27,2014-02-07,2014-02-27,TakeiCoin,1,165,13,20,144,137,7,0.01358506,0.002114374,0.002117683,0.000226858,3.198808e-05,0.0002268879,3.198831e-05,170354.8,3.0,8.501964e-05,7.324112e-05,0.0002532832,0.0002283915
PRIME,PrimeChain,0.0033165,0.000200744,16.5210417248,1.70099603024,1.70099603024,2.20135230447,178.604583175,2.80190214254,1.70099603024,198967.559784,0,22483334.2555,2,False,False,False,False,False,False,True,2015-09-14,2015-09-14,2015-08-11,2015-09-14,iGotSpots,1,4366,103,866,1870,1247,623,0.01828593,0.001061026,0.001062273,8.108635e-05,1.730512e-05,8.109226e-05,1.730519e-05,114568600.0,3.0,0.0003849068,0.0004439146,0.0009691007,0.001145262
XPM,Primecoin,7.26715,0.0180376,402.888965273,115.993232405,115.993232405,11.9460247754,104045.929467,24.1630575555,115.993232405,118505.044286,0,107721085.256,10,False,False,True,False,True,True,False,2013-07-10,2013-07-11,2013-07-07,2013-07-11,Sunny King,1,642,27,335,585,447,138,0.04315739,0.01171391,0.01186403,0.0008753513,0.0001040961,0.0008761024,0.0001041,2235934.0,2.0,0.001198787,0.001440692,0.002631984,0.003239622
GP,GoldPieces,0.0849185,0.000917583,92.545851438,24.2609036003,24.2609036003,5.77894058965,8006.09818811,6.18387041269,24.2609036003,16949.5714692,0,6017097.87158,1,False,False,False,False,False,False,True,2015-01-16,2015-01-16,2015-05-07,2015-01-16,HYPERfuture,1,503,12,236,252,229,23,0.0151574,0.001169776,0.001171136,9.385334e-05,1.870364e-05,9.386055e-05,1.87037e-05,1583076.0,4.0,0.0001029046,9.677043e-05,0.0003104018,0.0003099981
