symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
CPN,CompuCoin,7.70011e-07,3.00046e-08,25.6630983249,25.6630983249,3.850055,2.30060671617,2.38673928076,1.49695229925,1.53567711561,249,2,False,False,False,False,False,False,False,2015-07-16,2015-07-16,2014-05-07,compucoin,1,91,7,1,0,0,0,0.0,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,1.903855e-05,0.0,inf,1.101987e-06,1.00783e-06,4.318921e-06,4.249363e-06,0.0
XBS,BitStake,0.00118852,1.53684e-05,77.3353114182,77.3353114182,77.3353114182,4.73343773333,4.14872444142,2.34454350348,1.94655466099,716694,2,False,False,False,True,False,False,True,2015-01-13,2015-01-13,2015-01-12,Bitstake,1,8,1,1,46,46,0,0.03574879,0.001181787,0.001182728,9.463932e-05,1.417816e-05,9.464505e-05,1.417816e-05,0.0,4.0,5.035903e-06,4.551779e-06,1.745296e-05,1.696346e-05,0.0
YUM,CandyCoin,4.9065e-06,2.19934e-07,22.3089654169,22.3089654169,2.72815226276,2.36200871683,2.4707016119,1.74541626488,1.79936321468,749,0,False,False,False,False,False,False,False,2014-11-16,2014-11-16,2014-04-09,candycoin,1,15,1,1,6,6,0,0.0,0.001714223,0.001716978,0.0001706386,2.056682e-05,0.0001706609,2.056682e-05,0.0,3.0,4.297213e-06,3.664831e-06,1.11141e-05,1.015748e-05,0.0
SKYNET,SkyNET,0.00284011,0.0008749,3.24621099554,3.13699522842,2.58377380118,1.91463925789,1.87490058838,1.95817432592,1.85325673697,57327,1,False,False,False,False,False,False,False,2014-12-13,2014-12-13,2014-08-30,SkynetDev,1,36,1,2,10,9,1,0.0,0.001370475,0.001371574,0.0001080003,1.560501e-05,0.000108011,1.560501e-05,16.0,5.0,1.752696e-06,1.605617e-06,6.795813e-06,6.688031e-06,0.0
GAIA,GAIA,9.0966e-06,1.05e-06,8.66342857143,8.66342857143,8.66342857143,2.26872133791,2.54098200702,1.39957629924,1.73078201426,458149,1,False,False,False,False,False,False,True,2014-10-11,2014-10-11,2013-12-28,JonnyBravo,1,95,9,221,47,39,8,0.07678076,0.004220687,0.004233571,0.0004351212,5.628831e-05,0.0004352441,5.62891e-05,27490.51,4.0,6.118781e-05,6.330286e-05,0.0001592135,0.0001836771,0.0
MONA,MonaCoin,0.00124232,4.30149e-05,28.8811551346,15.0470614312,4.70804026195,4.2910910236,3.6844211847,2.68854582391,2.61864277761,3418392,9,False,False,False,True,False,False,True,2014-03-20,2014-03-20,2013-12-31,2chpool,1,2,1,1,2,2,0,0.0,3.882892e-05,3.882892e-05,3.882892e-05,3.88259e-05,3.882892e-05,3.88259e-05,0.0,inf,5.38464e-06,4.89689e-06,2.079003e-05,2.049696e-05,0.0
BLITZ,Blitz,0.00019543,6.93805e-06,28.1678569627,9.65558470561,4.65088053308,3.34513822926,2.89922502509,2.37274714128,2.37245104707,233284,1,False,False,False,False,False,False,True,2014-11-16,2014-11-16,2014-04-27,slavo,1,498,23,246,249,163,86,0.05635479,0.00165639,0.001659042,0.0001550147,2.609026e-05,0.0001550326,2.609041e-05,978771.4,4.0,9.474132e-05,8.586724e-05,0.0002937921,0.0002862324,0.0
TAG,TagCoin,0.00279889,3.29287e-05,84.9984967521,84.9984967521,23.7453656964,7.46763122668,8.03274767086,3.1053221917,3.1053221917,2207761,4,False,False,False,True,True,True,False,2013-11-05,2013-11-05,2013-10-28,MaGNeT,1,1952,44,860,915,519,396,0.05714834,0.008752832,0.008830941,0.0007070032,8.743223e-05,0.0007074946,8.743451e-05,4671507.0,2.0,0.0013659,0.001252222,0.001626402,0.001761554,0.0
DRKC,DarkCash,4.61e-05,3.5e-06,13.1714285714,13.1714285714,13.1714285714,4.0082486118,3.96821033702,3.3581052951,3.2122900899,67739,2,False,False,False,True,False,True,False,2014-07-29,2014-07-29,2014-07-26,zlibz,1,47,2,4,106,101,5,0.02156334,0.001447131,0.001449431,0.0001121803,2.143861e-05,0.0001121894,2.14387e-05,94501.7,4.0,1.647895e-05,1.480198e-05,5.29984e-05,5.098102e-05,0.0
XMR,Monero,0.00833353,0.000995445,8.37166292462,8.37166292462,5.29526550894,3.24441413848,3.36100100408,2.28606190146,2.38917588651,34040562,8,False,False,True,True,False,True,True,2014-05-20,2014-05-20,2014-05-18,superresistant,1,811,6,367,275,38,237,0.06379664,0.001616551,0.00161901,0.0001348062,2.415145e-05,0.0001348183,2.415154e-05,253881.1,3.0,2.309339e-05,1.96194e-05,4.42188e-05,3.94244e-05,0.0
SPA,SpainCoin,0.00444425,3.40198e-07,13063.7158361,13063.7158361,6005.74324324,156.218082931,162.648622047,2.28828611477,2.28725937732,1564906,1,False,False,False,True,False,False,False,2014-03-15,2014-03-15,2014-03-05,SpainCoinDev,1,54,1,1,9,9,0,0.02777778,0.002018834,0.002022473,0.0002179848,2.323312e-05,0.000218024,2.323312e-05,0.0,3.0,8.215039e-06,7.43865e-06,2.483267e-05,2.373687e-05,0.0
TAK,TakCoin,7.60238e-06,9.9151e-09,766.74768787,766.74768787,380.119,41.7950794211,74.5962795927,2.81478490239,3.1491065161,905048,1,False,False,False,True,False,False,False,2014-02-27,2014-02-27,2014-02-08,TakeiCoin,1,165,13,1,14,14,0,0.02197802,0.002657683,0.002664205,0.0002801511,2.65915e-05,0.0002802046,2.65915e-05,0.0,4.0,5.896626e-06,5.029273e-06,2.029536e-05,1.902258e-05,0.0
