coin,nontrivial
CKE,0
CPN,0.0
MNT,0
RYC,0
XBS,0.0
TRICK,0.0
SRZ,0
PAS,0
YUM,0.0
SKYNET,0.0
NYM,0
NYC,0
GAIA,0.0
WLF,0
Iaura,0
MONA,0.0
OPAL,0.0
SPT,0.0
G8,0
MANA,0
TAG,0.0
DRKC,0.0
TAC,0
SPA,0.0
SPC,0
TAK,0.0
WIKI,0
XPH,0.0
XPM,1.0
GP,0.0
IXC,0.0
VAG,0
NOBL,0.0
GG,0
HZT,0.0
XPY,0.0
CAT,0.0
PIGGY,0.0
TEK,1
FIMK,0.0
BYC,0
BTCD,1.0
SNG,0
SND,0
ROS,0.0
BOOTY,0
SNC,0
QQC,0
MAX,0.0
JNY,0
eTaler,0
WATER,0
Dino,0
PAC,0
SNP,0
LOOT,0
FFC,0.0
MAL,0
AZC,0
eDC,0
GUA,0.0
BEN,0.0
GUE,0.0
DTC,0.0
BEC,0
EVC,0
CMC,0
GUN,1.0
BEE,0
PCN,0
LNKC,0
CARBON,0
UNC,0
YBC,0.0
CPR,0
BET,0.0
TTY,1.0
suc,0
HUC,0.0
GRD,1
VLC,0
VLD,0
Stellar,0
PLD,0
WITCH,0
TTC,0.0
NMB,0
VLT,0
NL,0
GRW,0
GRT,0.0
FLAP,0.0
FTW,0
DSV,0
SOLE,1.0
BLP,0
EIC,0
BLL,0
FTC,0.0
GRE,0.0
GRC,0.0
BLK,0.0
CRACK,0
GRN,0
BLA,0
BLC,1.0
ZS,0.0
MTLMC,0
HYPER,0.0
MC,0
MXT,0
MI,0.0
INS,0
CBR,0
KOBO,0
CryptoXTC,0
EMC2,0.0
HLC,0
SPR,1
VWC,0
DON,0.0
FJC,0
BLITZ,0.0
FZ,0
GLC,0.0
GLD,0.0
GLX,0
GLY,0
CTC,0
REB,0
REC,0
SMC,0.0
RED,0.0
CLAM,0.0
MDC,0
NTX,0
HODOR,0
SPARK,0
FCN,0.0
BSC,0.0
GHOST,0
XTV,0
FC2,0.0
XTR,0
BULBA,0
ZMB,0
LTC,1.0
LTB,0
