symbol,name,children_amount,algorithm,technical,premine,pos
BTC,Bitcoin,96,SHA-256d,0,0,0
NMC,Namecoin,0,SHA-256d,0,0,0
IXC,iXcoin,1,SHA-256d,0,1,0
I0C,I0coin,0,SHA-256d,0,0,0
SC,SolidCoin,0,SHA-256d,0,1,0
GG,GeistGeld,0,SHA-256d,0,1,0
TBX,Tenebrix,3,Scrypt,1,1,0
FBX,Fairbrix,0,Scrypt,0,0,0
LTC,Litecoin,226,Scrypt,0,1,0
BQC,BBQcoin,0,Scrypt,0,0,0
FTC,Feathercoin,1,Scrypt,0,0,0
SRC,Sunrisecoin,0,Scrypt,0,0,0
NET,Netcoin,0,Scrypt,0,0,0
FRK,Franko,0,Scrypt,0,0,0
ANC,Anoncoin,0,Scrypt,0,0,0
IFC,Infinitecoin,0,Scrypt,0,0,0
XNC,Xencoin,0,Scrypt,0,1,0
FLO,Florincoin,0,Scrypt,0,0,0
MEC,Megacoin,1,Scrypt,0,0,0
NAN,Nanotoken,0,Scrypt,0,1,0
MNC,Mincoin,1,Scrypt,0,0,0
TCN,Tr011Coin,0,Scrypt,0,0,0
DGC,Digitalcoin,0,Multi-algo,1,0,0
WDC,Worldcoin,1,Scrypt,0,0,0
PNC,PornCoin,0,Scrypt,0,0,0
NBL,Nibble,0,Scrypt,0,0,0
ALF,AlphaCoin,0,Scrypt,0,1,0
ARG,Argentum,0,Scrypt,0,0,0
PWC,Powercoin,0,Scrypt,0,1,0
KGC,Krugercoin,0,Scrypt,0,0,0
FST,Fastcoin,0,Scrypt,0,0,0
MEM,Memecoin,0,Scrypt,0,1,0
GLC,Globalcoin,0,Scrypt,0,0,0
6CN,6coin,0,Scrypt,0,0,0
RCH,Richcoin,0,Scrypt,0,1,0
REC,Realcoin,0,Scrypt,0,1,0
eDC,e-Dollar,0,Scrypt,0,1,0
EMD,Emerald,0,Scrypt,0,1,0
SXC,Sexcoin,0,Scrypt,0,1,0
NC,Nucoin,0,Scrypt,0,1,0
TDC,Tradecoin,0,Scrypt,0,0,0
VLC,Valuecoin,0,Scrypt,0,1,0
JKC,Junkcoin,3,Scrypt,0,0,0
LKY,Lukycoin,2,Scrypt,0,0,0
DOGE,Dogecoin,4,Scrypt,0,0,0
APE,Apecoin,0,Scrypt,0,1,0
NYAN,Nyancoin,0,Scrypt,0,1,0
CAT,Catcoin,0,Scrypt,0,0,0
PND,Pandacoin,0,Scrypt,0,0,0
JBG,JebigaCoin,0,Scrypt,0,0,0
SPC,Supercoin,0,Scrypt,0,0,0
GDC,Grandcoin,0,Scrypt,0,0,0
CSC,Casinocoin,0,Scrypt,0,0,0
RED,Redcoin,0,Scrypt,0,1,0
EGC,Eaglecoin,0,Scrypt,0,0,0
ELP,ElephantCoin,0,Scrypt,0,1,0
QTC,Quantumcoin,0,Scrypt,0,0,0
USC,Uscoin,0,Scrypt,0,1,0
FEC,Ferretcoin,0,Scrypt,0,0,0
GLD,Goldcoin,0,Scrypt,0,0,0
PXC,Phoenixcoin,0,Scrypt,0,0,0
RYC,Royalcoin,1,Scrypt,0,0,0
SBC,Stablecoin,0,Scrypt,0,1,0
NRB,Noirbits,0,Scrypt,0,0,0
CTC,Crimecoin=Communitycoin,0,Scrypt,0,1,0
JPC,Jupitercoin,0,Scrypt,0,1,0
CNC,CHNCoin,0,Scrypt,0,0,0
EZC,EzCoin,0,Scrypt,0,0,0
ICE,Icecoin,0,Scrypt,0,0,0
HYC,Hypercoin,0,Scrypt,0,1,0
ELC,ELACoin,0,Scrypt,0,0,0
ZEU,Zeuscoin,0,Scrypt,0,0,0
BEL,Bells,0,Scrypt,0,0,0
PLT,PlayToken,0,Scrypt,0,1,0
EXC,Extremecoin,0,Scrypt,0,1,0
ITC,Italycoin,0,Scrypt,0,0,0
GIL,GIL,0,Scrypt,0,1,0
PCN,Picoin,0,Scrypt,0,0,0
WEC,Weedcoin,0,Scrypt,0,1,0
TYC,Tinycoin(Angrycoin),0,Scrypt,0,0,0
ARC,Argcoin,0,Scrypt,0,0,0
CRC,Craftcoin,0,Scrypt,0,1,0
DBL,Doubloons,0,Scrypt,0,0,0
GME,Gamecoin,0,Scrypt,0,0,0
STR,v,1,Scrypt,0,0,1
ADT,AndroidsTokens,1,Scrypt,0,1,1
COL,Colossuscoin,0,Scrypt,0,1,1
FLS,Flashcoin,0,Scrypt,0,0,0
QWC,Quickcoin,0,Scrypt,0,1,0
VAG,VaginaCoin,0,Scrypt,0,1,0
BEST,Bestcoin,0,Scrypt,0,0,0
POK,Pokercoin,0,Scrypt,0,1,0
CYB,Cryptobits,0,Scrypt,0,1,0
AMC,Americancoin,0,Scrypt,0,1,0
BOS,Bosscoin,0,Scrypt,0,1,0
LOVE,Lovecoin,0,Scrypt,0,0,0
SMC,Smallchange,3,Scrypt,0,0,0
DNC,Dragoncoin,0,Scrypt,0,0,0
SPT,Spots,1,Scrypt,0,0,0
CPR,CopperBar,1,Scrypt,0,0,1
PINGAS,Pingas,0,Scrypt,0,0,0
GEO,GeoCoin,0,Scrypt,0,1,0
LOTTO,Lottocoin,0,Scrypt,0,1,0
XIV,Xivra,0,Scrypt,0,1,0
LDC,Leadcoin,0,Scrypt,0,0,0
CHI,Chicoin,0,Scrypt,0,1,0
MEOW,Kittehcoin,0,Scrypt,0,0,0
HTC,Hotcoin,0,Scrypt,0,0,0
NWC,Networkcoin,0,Scrypt,0,0,0
HAM,HamsterCoin,0,Scrypt,0,0,0
VWC,Vaporcoin,0,Scrypt,0,0,0
MOON,Mooncoin,0,Scrypt,0,0,0
TFC,Transfercoin,0,Scrypt,0,0,0
TIPS,Fedoracoin,0,Scrypt,0,1,0
42,42coin,0,Scrypt,0,0,0
CAGE,Cagecoin,0,Scrypt,0,1,0
BOS,Bosscoin,0,Scrypt,0,0,0
VOLT,Electric,0,Scrypt,0,1,0
MDC,Mediacoin,0,Scrypt,0,1,0
BAT,Batcoin,0,Scrypt,0,1,0
SOL,Solcoin,0,Scrypt,0,1,0
NOBL,NobleCoin,0,Scrypt,0,0,0
MOSC,Mousecoin,0,Scrypt,0,1,0
SOC,Socialcoin,0,Scrypt,0,1,0
JUN,JunnonCoin,0,Scrypt,0,0,0
BEC,Beaocoin,0,Scrypt,0,0,0
ALC,Alcohoin,0,Scrypt,0,1,0
KARM,Karmacoin,0,Scrypt,0,0,0
HBC,Hobbitcoin,0,Scrypt,0,0,0
CORG,Corgicoin,0,Scrypt,0,0,0
OLY,Olimpiccoin,0,Scrypt,0,1,0
SNP,Snapcoin,0,Scrypt,0,1,0
FLAP,Flappycoin,0,Scrypt,0,0,0
DUCK,DuckDuckcoin,0,Scrypt,0,0,0
