symbol,name,url
CPC,Capricoin,https://bitcointalk.org/index.php?topic=1129322.0
XBS,BitStake,https://bitcointalk.org/index.php?topic=920272.0
TRICK,TrickyCoin,https://bitcointalk.org/index.php?topic=1004692.0
SIB,SIBCoin,https://bitcointalk.org/index.php?topic=1197623.0
YUM,CandyCoin,https://bitcointalk.org/index.php?topic=560940.0
XQN,Quotient,https://bitcointalk.org/index.php?topic=854299.0
GHC,GamerholicCoin,https://bitcointalk.org/index.php?topic=796370.0
JBS,Jumbucks,https://bitcointalk.org/index.php?topic=765082.0
ZNY,Bitzeny,https://bitcointalk.org/index.php?topic=849994.0
SAK,Sharkcoin,https://bitcointalk.org/index.php?topic=617410.0
CHA,Chancecoin,https://bitcointalk.org/index.php?topic=528023.0
MRY,Murraycoin,https://bitcointalk.org/index.php?topic=424179.0
JAY,Jay,https://bitcointalk.org/index.php?topic=1010697.0
MMNXT,MMNXT,https://bitcointalk.org/index.php?topic=930228.0
URO,Uro,https://bitcointalk.org/index.php?topic=600639.0
20,020LondonCoin,https://bitcointalk.org/index.php?topic=1101438.0
QBK,Qibuck,https://bitcointalk.org/index.php?topic=711987.0
VIA,Viacoin,https://bitcointalk.org/index.php?topic=699278.0
SFR,SaffronCoin,https://bitcointalk.org/index.php?topic=586320.0
8BIT,8Bit,https://bitcointalk.org/index.php?topic=1028119.0
NIRO,Nexus,https://bitcointalk.org/index.php?topic=657601.0
GREXIT,Grexit,https://bitcointalk.org/index.php?topic=1126239.0
KORE,KoreCoin,https://bitcointalk.org/index.php?topic=668886.0
FRDC,FreedomCoin,https://bitcointalk.org/index.php?topic=1172885.0
XLB,Libertycoin,https://bitcointalk.org/index.php?topic=600322.0
CAIx,CAIx,https://bitcointalk.org/index.php?topic=513613.0
COINO,CoinoUSD,https://bitcointalk.org/index.php?topic=1000725.0
SILK,Silkcoin,https://bitcointalk.org/index.php?topic=462517.0
SLING,Sling,https://bitcointalk.org/index.php?topic=1032166.0
PLNC,PLNcoin,https://bitcointalk.org/index.php?topic=509433.0
PKB,ParkByte,https://bitcointalk.org/index.php?topic=1042054.0
PSEUD,PseudoCash,https://bitcointalk.org/index.php?topic=676343.0
CAID,Coinaid,https://bitcointalk.org/index.php?topic=1171544.0
TENNET,TenneT,https://bitcointalk.org/index.php?topic=1094342.0
GCC,GuccioneCoin,https://bitcointalk.org/index.php?topic=1099201.0
DOGED,DogeCoinDark,https://bitcointalk.org/index.php?topic=817937.0
WOP,WorldPay,https://bitcointalk.org/index.php?topic=1202899.0
DIGS,Diggits,https://bitcointalk.org/index.php?topic=1107592.0
SHA,SHACoin,https://bitcointalk.org/index.php?topic=518895.0
GCR,Global Currency Reserve,https://bitcointalk.org/index.php?topic=1157341.0
SHF,Shift,https://bitcointalk.org/index.php?topic=1155284.0
RT2,RotoCoin,https://bitcointalk.org/index.php?topic=516138.0
ECC,ECCoin,https://bitcointalk.org/index.php?topic=503236.0
BTQ,BitQuark,https://bitcointalk.org/index.php?topic=468018.0
BTS,BitShares,https://bitcointalk.org/index.php?topic=221361.0
XCE,Cerium,https://bitcointalk.org/index.php?topic=1082918.0
XCH,ClearingHouse,https://bitcointalk.org/index.php?topic=734674.0
SSV,SSVCoin,https://bitcointalk.org/index.php?topic=661043.0
XCN,Cryptonite,https://bitcointalk.org/index.php?topic=700039.0
BTX,BitcoinTX,https://bitcointalk.org/index.php?topic=1039964.0
SPEC,SPEC,https://bitcointalk.org/index.php?topic=1102264.0
XCP,Counterparty,https://bitcointalk.org/index.php?topic=395761.0
BTA,Bata,https://bitcointalk.org/index.php?topic=1040956.0
BTB,BitBar,https://bitcointalk.org/index.php?topic=193519.0
BTM,Bitmark,https://bitcointalk.org/index.php?topic=660544.0
7,007Coin,https://bitcointalk.org/index.php?topic=1033996.0
XUP,UPcoin,https://bitcointalk.org/index.php?topic=1182202.0
CHAO,23 Skidoo,https://bitcointalk.org/index.php?topic=526224.0
SPHR,Sphere,https://bitcointalk.org/index.php?topic=1042958.0
UTIL,UtilityCoin,https://bitcointalk.org/index.php?topic=797900.0
OCTO,Octo,https://bitcointalk.org/index.php?topic=960933.0
ISL,IslaCoin,https://bitcointalk.org/index.php?topic=1051125.0
DGB,DigiByte,https://bitcointalk.org/index.php?topic=408268.0
MONETA,Moneta,https://bitcointalk.org/index.php?topic=1214522.0
EMC,EmerCoin,https://bitcointalk.org/index.php?topic=362513.0
PLANET,PlanetCoin,https://bitcointalk.org/index.php?topic=975871.0
BITZ,Bitz,https://bitcointalk.org/index.php?topic=1234560.0
KUMA,Kumacoin,https://bitcointalk.org/index.php?topic=585772.0
BITS,Bitstar,https://bitcointalk.org/index.php?topic=574652.0
JKC,Junkcoin,https://bitcointalk.org/index.php?topic=235611.0
VTA,Virtacoin,https://bitcointalk.org/index.php?topic=734859.0
DUO,ParallelCoin,https://bitcointalk.org/index.php?topic=1097017.0
XC,XCurrency,https://bitcointalk.org/index.php?topic=630547.0
DUB,Dubstep,https://bitcointalk.org/index.php?topic=1081671.0
EUC,Eurocoin,https://bitcointalk.org/index.php?topic=499294.0
UNB,UnbreakableCoin,https://bitcointalk.org/index.php?topic=539945.0
UNC,UNCoin,https://bitcointalk.org/index.php?topic=979543.0
CLV,CleverCoin,https://bitcointalk.org/index.php?topic=1054615.0
GCN,GCoin,https://bitcointalk.org/index.php?topic=556746.0
OMC,Omnicoin,https://bitcointalk.org/index.php?topic=962832.0
SCRT,SecretCoin,https://bitcointalk.org/index.php?topic=1161754.0
HVC,Heavycoin,https://bitcointalk.org/index.php?topic=470391.0
CRAVE,Crave,https://bitcointalk.org/index.php?topic=997356.0
KEY,KeyCoin,https://bitcointalk.org/index.php?topic=695457.0
INFX,Influxcoin,https://bitcointalk.org/index.php?topic=1161953.0
MAZE,MazeCoin,https://bitcointalk.org/index.php?topic=1189743.0
SLFI,Selfiecoin,https://bitcointalk.org/index.php?topic=977167.0
WBB,WildBeastBitcoin,https://bitcointalk.org/index.php?topic=952619.0
DT,DarkToken,https://bitcointalk.org/index.php?topic=785420.0
XJO,Joulecoin,https://bitcointalk.org/index.php?topic=299308.0
CYP,Cypher,https://bitcointalk.org/index.php?topic=1006527.0
CYT,Cryptokenz,https://bitcointalk.org/index.php?topic=1175960.0
POT,PotCoin,https://bitcointalk.org/index.php?topic=426324.0
MRKT,FreeMarket,https://bitcointalk.org/index.php?topic=804165.0
POP,PopularCoin,https://bitcointalk.org/index.php?topic=444745.0
CYC,Conspiracycoin,https://bitcointalk.org/index.php?topic=590841.0
RPC,RonPaulCoin,https://bitcointalk.org/index.php?topic=389070.0
BITGOLD,bitGold,https://bitcointalk.org/index.php?topic=524648.0
DOPE,DopeCoin,https://bitcointalk.org/index.php?topic=469207.0
SDC,ShadowCash,https://bitcointalk.org/index.php?topic=745352.0
RBR,RibbitRewards,https://bitcointalk.org/index.php?topic=740977.0
VCN,Vcoin,https://bitcointalk.org/index.php?topic=1059746.0
SLG,Sterlingcoin,https://bitcointalk.org/index.php?topic=721936.0
LGD,LegendaryCoin,https://bitcointalk.org/index.php?topic=530175.0
VTR,vTorrent,https://bitcointalk.org/index.php?topic=889481.0
MCZ,MangoCoinz,https://bitcointalk.org/index.php?topic=902788.0
BDSM,BDSM,https://bitcointalk.org/index.php?topic=789338.0
NRS,NoirShares,https://bitcointalk.org/index.php?topic=770038.0
XGR,GoldReserve,https://bitcointalk.org/index.php?topic=641064.0
