coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
AXR,2014-08-27,2014-08-15,Project Axron,1,118,1,1,0,0,0,0.0,1.591723e-05,1.591723e-05,1.591723e-05,1.591723e-05,1.591723e-05,1.591723e-05,0.0,inf,8.798088e-07,3.678028e-06
NYAN,2014-02-09,2013-12-22,myhoho,1,169,6,889,131,45,86,0.063992,0.004815489,0.004836462,0.0004782263,6.087351e-05,0.0004783776,6.087448e-05,96677.18,3,3.988759e-05,8.761625e-05
WDC,2013-05-22,2013-05-15,WorldCoin,1,12,2,1,52,52,0,0.1410256,0.01334646,0.01348064,0.0009698861,8.741259e-05,0.0009705906,8.741259e-05,0.0,3,8.662738e-05,0.0002574472
TIX,2013-11-03,2013-09-21,Lottery Tickets,1,193,4,1,47,47,0,0.0906568,0.00934608,0.009417485,0.0007379606,6.059504e-05,0.0007383869,6.059504e-05,0.0,3,4.129018e-05,0.0001215645
CKC,2014-09-19,2014-07-30,BitsendInc,1,74,1,1,17,17,0,0.007352941,0.001444416,0.001446117,0.000112591,1.624722e-05,0.0001125996,1.624722e-05,0.0,4,4.775633e-06,1.675428e-05
CANN,2014-08-02,2014-04-21,CannabisCoinDev,1,189,13,18,29,29,0,0.04679803,0.001652574,0.001655206,0.0001629383,1.998242e-05,0.0001629598,1.998242e-05,0.0,4,6.244498e-06,2.033945e-05
GSX,2014-11-23,2014-11-11,glowshares,1,50,1,1,15,15,0,0.04761905,0.001250974,0.00125206,0.0001004559,1.46619e-05,0.0001004615,1.46619e-05,0.0,4,2.122413e-06,7.830018e-06
DRS,2014-06-15,2014-05-02,Nthused,1,988,16,122,206,63,143,0.04485892,0.001642778,0.001645237,0.0001481222,2.560001e-05,0.0001481462,2.560013e-05,963583.9,3,1.76012e-05,4.529926e-05
DIEM,2014-04-28,2014-03-14,Carpe Diem Coin,1,352,11,1,33,32,1,0.03598485,0.00187541,0.001878337,0.0001985918,2.969841e-05,0.0001986276,2.969859e-05,76843.84,4,2.497634e-05,9.234106e-05
HVC,2014-03-12,2014-03-09,keccak512,1,242,2,294,442,436,6,0.003421975,0.001957573,0.001961293,0.0002070856,3.034845e-05,0.0002071137,3.034864e-05,2066649.0,3,0.0003200175,0.00111331
XBS,2015-01-13,2015-01-12,Bitstake,1,8,1,1,46,46,0,0.03574879,0.001181787,0.001182728,9.463932e-05,1.417816e-05,9.464505e-05,1.417816e-05,0.0,4,4.551779e-06,1.696346e-05
CORG,2014-02-21,2014-02-03,corgicoin,1,50,1,1,59,59,0,0.01987142,0.002914636,0.002921608,0.0002978555,2.781254e-05,0.000297929,2.781254e-05,0.0,4,1.516151e-05,4.961789e-05
LIT,2014-07-05,2014-06-13,Lightcoinproject,1,34,1,1,6,6,0,0.0,0.001563826,0.001566114,0.0001257662,1.743558e-05,0.0001257783,1.743558e-05,0.0,5,1.107025e-06,4.617553e-06
NAS,2014-04-15,2014-02-17,DNotes,1,142,3,1,1,1,0,0.0,0.002343622,0.002349541,0.0002497401,2.510923e-05,0.0002497835,2.510923e-05,0.0,4,1.293412e-06,5.45469e-06
HBN,2013-12-20,2013-08-11,lucazane,1,163,9,72,29,2,27,0.3078818,0.009996934,0.01014728,0.0008071252,9.689282e-05,0.0008076241,9.689686e-05,16.03333,4,4.237224e-06,1.574379e-05
NAV,2014-06-12,2014-05-27,soopy452000,1,982,46,193,505,469,36,0.01804375,0.001590472,0.001593089,0.0001321034,2.364149e-05,0.000132119,2.364162e-05,1539694.0,4,0.0001414192,0.000442702
GHC,2014-10-10,2014-09-26,coinweaver,1,154,5,224,265,256,9,0.01416422,0.001304,0.001305648,0.0001043086,1.993995e-05,0.0001043171,1.994003e-05,690951.5,3,0.0001160062,0.0003539252
GAIA,2014-10-11,2013-12-28,JonnyBravo,1,95,9,221,47,39,8,0.07678076,0.004220687,0.004233571,0.0004351212,5.628831e-05,0.0004352441,5.62891e-05,27490.51,4,6.330286e-05,0.0001836771
BSTY,2014-10-03,2014-09-11,wgd,1,101,1,175,18,4,14,0.09150327,0.001332758,0.001334846,0.0001062007,2.022916e-05,0.000106207,2.022925e-05,9939.595,5,4.569538e-06,1.741528e-05
SHLD,2014-07-12,2014-07-09,shieldcoindevs,1,28,1,1,34,34,0,0.003565062,0.00147678,0.001478463,0.0001170338,1.673388e-05,0.0001170423,1.673388e-05,0.0,3,4.11955e-06,1.458768e-05
AMBER,2015-02-06,2015-02-03,AmberCoinDev,1,57,2,1,12,12,0,0.1515152,0.001165043,0.001166616,9.355763e-05,1.404613e-05,9.356681e-05,1.404613e-05,0.0,4,1.162153e-06,4.479099e-06
SXC,2013-12-08,2013-08-14,gr33k,1,93,7,13,16,10,6,0.2095238,0.009872097,0.009959575,0.0007965335,9.617297e-05,0.0007970706,9.617627e-05,27.5,4,2.177486e-05,6.232601e-05
XQN,2014-11-23,2014-11-12,CedricQuotient,1,78,2,1,28,28,0,0.06084656,0.001251205,0.001252489,0.0001003576,1.465201e-05,0.0001003646,1.465201e-05,0.0,4,5.388444e-06,1.78358e-05
PRC,2014-02-20,2014-01-30,inmean,1,76,4,1,15,15,0,0.01904762,0.003045675,0.003054109,0.0003053551,2.880018e-05,0.0003054154,2.880018e-05,0.0,4,4.478475e-06,1.789364e-05
MONA,2014-03-20,2013-12-31,2chpool,1,2,1,1,2,2,0,0.0,3.882892e-05,3.882892e-05,3.882892e-05,3.88259e-05,3.882892e-05,3.88259e-05,0.0,inf,4.89689e-06,2.049696e-05
MEOW,2014-01-24,2013-12-25,lonestar108,1,26,2,41,57,55,2,0.02272727,0.004290877,0.004305353,0.0004698534,5.849743e-05,0.0004700022,5.849838e-05,23495.04,4,7.359616e-05,0.0002466322
SPR,2014-10-26,2014-07-30,Mr. Spread,1,90,2,1,19,19,0,0.01169591,0.001444423,0.001446265,0.0001125929,1.624722e-05,0.0001126036,1.624722e-05,0.0,4,4.199138e-06,1.560714e-05
SPT,2013-07-25,2013-12-26,binaryclock,1,0,0,11,41,27,14,0.04634146,0.00444312,0.004464486,0.0004554717,5.766469e-05,0.0004556563,5.766552e-05,109704.1,4,1.349178e-05,5.338227e-05
RPC,2014-01-06,2013-12-29,colinistheman,1,214,24,203,202,175,27,0.05393035,0.004279942,0.004296398,0.0004350155,5.559391e-05,0.0004351657,5.559446e-05,56469.04,3,0.0002825699,0.0006128011
MRY,2014-03-03,2014-01-21,bholzer,1,294,3,175,51,26,25,0.08627451,0.00363676,0.003654337,0.0003437176,4.547601e-05,0.0003438248,4.547661e-05,41974.71,4,8.377789e-06,3.080037e-05
RIN,2014-08-02,2014-05-24,homhomhom,1,91,1,77,15,13,2,0.06666667,0.001599525,0.00160153,0.0001335698,2.380396e-05,0.0001335784,2.380408e-05,13224.45,4,2.698679e-06,1.050215e-05
PRT,2014-01-22,2014-01-01,moonmoon,1,44,6,1,116,116,0,0.02818591,0.003906042,0.003917612,0.0004114965,3.845119e-05,0.0004116224,3.845119e-05,0.0,4,6.956451e-05,0.0002450534
TAG,2013-11-05,2013-10-25,tagbond,1,106,6,26,17,16,1,0.1838235,0.008853275,0.008915268,0.0007126984,8.774196e-05,0.0007130573,8.774384e-05,580.9548,4,1.819352e-05,5.099442e-05
DRKC,2014-07-29,2014-07-26,zlibz,1,47,2,4,106,101,5,0.02156334,0.001447131,0.001449431,0.0001121803,2.143861e-05,0.0001121894,2.14387e-05,94501.7,4,1.480198e-05,5.098102e-05
YAC,2013-06-09,2013-05-06,pocopoco,1,12,1,1,34,34,0,0.1016043,0.01514991,0.01533842,0.00108208,9.602458e-05,0.001083044,9.602458e-05,0.0,3,6.305613e-05,0.0001818959
LYC,2014-04-11,2014-02-09,vampirecoin,1,35,3,1,13,13,0,0.06410256,0.002614733,0.002624477,0.0002741185,2.640613e-05,0.0002742073,2.640613e-05,0.0,4,2.495329e-06,1.037425e-05
SPA,2014-03-15,2014-03-05,SpainCoinDev,1,54,1,1,9,9,0,0.02777778,0.002018834,0.002022473,0.0002179848,2.323312e-05,0.000218024,2.323312e-05,0.0,3,7.43865e-06,2.373687e-05
GDC,2013-12-17,2013-12-17,binaryclock,1,25,2,2,12,5,7,0.04545455,0.00493745,0.004976085,4.558716e-05,6.556587e-05,4.558716e-05,6.556725e-05,20257.0,inf,7.668444e-06,3.219294e-05
IOC,2014-08-02,2014-01-16,creditcoin_CRD,1,170,3,3,34,31,3,0.03030303,0.003813554,0.003826155,0.0003600369,4.750608e-05,0.0003601467,4.75066e-05,43842.84,4,2.678918e-05,9.741735e-05
RIC,2014-02-27,2013-09-06,gatra,1,116,5,69,22,7,15,0.2121212,0.009526832,0.009637676,0.000750944,9.254425e-05,0.0007514937,9.25471e-05,737.372,4,1.304676e-05,4.404254e-05
TAK,2014-02-27,2014-02-08,TakeiCoin,1,165,13,1,14,14,0,0.02197802,0.002657683,0.002664205,0.0002801511,2.65915e-05,0.0002802046,2.65915e-05,0.0,4,5.029273e-06,1.902258e-05
NXT,2013-12-04,2013-09-29,BCNext,1,230,10,1,14,14,0,0.07692308,0.009338695,0.009413119,0.0007214183,6.002401e-05,0.0007218308,6.002401e-05,0.0,3,1.563867e-05,4.646355e-05
GLC,2013-08-04,2013-06-29,erundook,1,703,31,51,194,172,22,0.1011334,0.01126109,0.01141475,0.0008651538,0.0001090549,0.0008659027,0.0001090584,51195.0,3,0.0003253107,0.0009405015
FRAC,2014-06-15,2014-06-13,Fractalcoin,1,1,1,1,3,3,0,0.0,0.001562606,0.001564753,0.0001257623,1.743558e-05,0.0001257738,1.743558e-05,0.0,5,1.14416e-06,4.720762e-06
HAM,2014-10-26,2014-11-14,hamhrc,1,43,1,134,44,43,1,0.01162791,0.001248097,0.001249515,0.0001001041,1.926936e-05,0.0001001122,1.926944e-05,67458.58,4,8.179587e-06,3.013389e-05
XPM,2013-07-11,2013-06-29,Sunny King,1,846,28,323,405,271,134,0.07048384,0.01131186,0.01145225,0.0008654677,0.0001090569,0.0008662056,0.0001090613,834567.8,2,0.001084373,0.002146701
CRAIG,2014-09-30,2014-12-19,tokyoghetto,1,1216,27,463,694,306,388,0.03868265,0.001220141,0.001221783,9.666797e-05,1.895002e-05,9.667605e-05,1.895011e-05,7317470.0,3,0.0001250341,0.0003146727
IXC,2013-05-08,2013-05-22,niteryder,1,155,2,35,118,97,21,0.06896552,0.0141216,0.01433803,0.0009233412,0.0001269089,0.0009241023,0.0001269149,40935.74,3,0.0001416291,0.0004220487
