forum_id,subject_id,post_id,forum_page,subject_page,num_replies,num_views,url,started_by,user,user_level,user_activity,date,time,mentioned_modified_coins,mentioned_unmodified_coins
1,1,1,1,1,1,1,url1,satoshi,satoshi,,1,2009-11-22,18:04:28,BTC,
1,1,2,1,1,1,1,url2,satoshi,eaman,,1,2009-11-23,18:05:28,BTC,BTC
1,1,3,1,1,1,1,url3,satoshi,eaman,,1,2009-11-23,18:06:28,TOR,
1,2,1,1,1,1,1,url4,eaman,eaman,,1,2009-11-23,18:07:28,,
1,2,2,1,1,1,1,url5,eaman,satoshi,,1,2009-11-24,18:08:28,,
1,2,3,1,1,1,1,url6,eaman,david,,1,2009-11-25,18:09:28,BCN,
1,2,4,1,1,1,1,url7,eaman,irene,,1,2009-11-25,18:10:28,BCN,
1,3,1,1,1,1,1,url8,jayran,jayran,,1,2009-11-25,18:11:28,GLM,
1,3,2,1,1,1,1,url9,jayran,eaman,,1,2009-11-25,18:12:28,GLM,
1,3,3,1,1,1,1,url10,jayran,irene,,1,2009-11-25,18:13:28,GLM,GLM
1,3,4,1,1,1,1,url11,jayran,david,,1,2009-11-26,18:14:28,GLM,GLM
1,3,5,1,1,1,1,url12,jayran,irene,,1,2009-11-26,18:15:28,GLM,
1,4,1,1,1,1,1,url13,jayran,jayran,,1,2009-11-26,18:16:28,GLM|BBC,GLM
1,4,2,1,1,1,1,url14,jayran,kamiar,,1,2009-11-26,18:17:28,GLM|BBC,GLM|BBC
1,4,3,1,1,1,1,url15,jayran,kamiar,,1,2009-11-26,18:18:28,GLM|BBC,GLM|BBC
1,4,4,1,1,1,1,url16,jayran,eaman,,1,2009-11-26,18:19:28,GLM|BBC,GLM|BBC
1,4,5,1,1,1,1,url17,jayran,kamiar,,1,2009-11-26,18:20:28,GLM|KON,GLM|KON
1,5,1,1,1,1,1,url18,irene,irene,,1,2009-11-26,18:21:28,KON,KON
1,5,2,1,1,1,1,url19,irene,kamiar,,1,2009-11-26,18:22:28,BRG,BRG
1,5,3,1,1,1,1,url20,irene,jayran,,1,2009-11-26,18:23:28,KON|BRG,KON|BRG
1,5,4,1,1,1,1,url21,irene,irene,,1,2009-11-27,18:24:28,BRG|TOR,BRG|TOR
1,5,5,1,1,1,1,url22,irene,eaman,,1,2009-11-27,18:25:28,VIN|TOR,VIN
1,6,1,1,1,1,1,url23,kamiar,kamiar,,1,2009-11-27,18:26:28,VIN,VIN
1,6,2,1,1,1,1,url24,kamiar,david,,1,2009-11-27,18:27:28,VIN,VIN
1,6,3,1,1,1,1,url25,kamiar,jayran,,1,2009-11-28,18:28:28,ZAR,
1,7,1,1,1,1,1,url26,kamiar,kamiar,,1,2009-11-29,18:29:28,BCN,BCN
1,7,2,1,1,1,1,url27,kamiar,david,,1,2009-11-29,18:30:28,BCN,
1,7,3,1,1,1,1,url28,kamiar,jayran,,1,2009-11-29,18:31:28,GLM,
1,7,4,1,1,1,1,url29,kamiar,jayran,,1,2009-11-29,18:32:28,ZAR,ZAR
1,8,1,1,1,1,1,url30,eaman,eaman,,1,2009-12-01,18:33:28,BTC|TOR,BTC|TOR
1,8,2,1,1,1,1,url31,eaman,satoshi,,1,2009-12-01,18:34:28,BTC,BTC
1,8,3,1,1,1,1,url32,eaman,irene,,1,2009-12-01,18:35:28,BTC,BTC
1,9,1,1,1,1,1,url33,eaman,eaman,,1,2009-12-02,18:36:28,BTC,BTC
1,9,2,1,1,1,1,url34,eaman,david,,1,2009-12-02,18:37:28,BTC,BTC
1,9,3,1,1,1,1,url35,eaman,satoshi,,1,2009-12-02,18:38:28,BTC,BTC
1,9,4,1,1,1,1,url36,eaman,irene,,1,2009-12-02,18:39:28,BTC,BTC
1,10,1,1,1,1,1,url37,irene,irene,,1,2009-12-03,18:40:28,BCN,BCN
1,10,2,1,1,1,1,url38,irene,jayran,,1,2009-12-03,18:41:28,BCN,BCN
1,10,3,1,1,1,1,url39,irene,eaman,,1,2009-12-03,18:42:28,BCN,BCN
1,10,4,1,1,1,1,url40,irene,satoshi,,1,2009-12-03,18:43:28,BCN,BCN
1,10,5,1,1,1,1,url41,irene,irene,,1,2009-12-03,18:44:28,BCN,
1,11,1,1,1,1,1,url42,jayran,jayran,,1,2009-12-04,18:45:28,VIN,VIN
1,11,2,1,1,1,1,url43,jayran,irene,,1,2009-12-04,18:46:28,VIN,VIN
1,11,3,1,1,1,1,url44,jayran,eaman,,1,2009-12-04,18:47:28,VIN,VIN
1,11,4,1,1,1,1,url45,jayran,jayran,,1,2009-12-04,18:48:28,VIN,
1,11,5,1,1,1,1,url46,jayran,david,,1,2009-12-04,18:49:28,HOWT,HOWT
