coin,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_diameter,weighted_diameter,average_path_length,clustering_coefficient,average_degree
2009-11-29,5,4,0.2666667,0.4,1,1.0,1.0,1.0,1.6
2009-12-04,5,9,0.6,1.2,2,2.0,1.1,0.875,3.6
2009-11-23,1,0,0.0,0,0,0,nan,0.0,0.0
2009-11-25,2,1,0.3333333,1.0,1,1.0,1.0,0.0,1.0
2009-11-24,2,1,0.3333333,1.0,1,1.0,1.0,0.0,1.0
2009-12-03,4,6,0.6,1.5,1,2.0,1.0,1.0,3.0
2009-11-26,5,6,0.4,0.6,2,2.0,1.4,0.6,2.4
2009-12-01,3,3,0.5,1.0,1,1.0,1.0,1.0,2.0
2009-11-28,5,8,0.5333333,1.1,2,2.0,1.2,0.7894737,3.2
2009-12-02,3,3,0.5,1.0,1,1.0,1.0,1.0,2.0
2009-11-27,5,9,0.6,1.3,2,2.0,1.1,0.875,3.6
2009-11-22,0,0,nan,0,0,0,nan,0.0,0.0
