coin,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_diameter,weighted_diameter,average_path_length,clustering_coefficient,average_degree
2009-11-29,6,13,0.3611111,0.4666667,3,4.0,1.6,0.5714286,4.333333
2009-12-04,6,14,0.3888889,0.8,3,6.0,1.56,0.6,4.666667
2009-11-23,1,0,0.0,0,0,0,nan,0.0,0.0
2009-11-25,2,2,0.5,1.0,1,1.0,1.0,0.0,2.0
2009-11-24,2,1,0.25,0.5,1,1.0,1.0,0.0,1.0
2009-12-03,6,13,0.3611111,0.7,3,7.0,1.6,0.5714286,4.333333
2009-11-26,5,6,0.24,0.3,2,2.0,1.4,0.375,2.4
2009-12-01,6,13,0.3611111,0.5333333,3,5.0,1.6,0.5714286,4.333333
2009-11-28,6,12,0.3333333,0.4333333,3,3.0,1.52381,0.5714286,4.0
2009-12-02,6,13,0.3611111,0.6,3,6.0,1.6,0.5714286,4.333333
2009-11-27,6,10,0.2777778,0.3666667,3,4.0,1.65,0.5294118,3.333333
