coin_name,coin_symbol,first_date_price
compucoin,CPN,2015-07-16
capricoin,CPC,2015-07-23
crevacoin,CREVA,2015-07-07
bitstake,XBS,2015-01-13
nxtprivacy,NXTprivacy,2014-10-04
sibcoin,SIB,2015-09-25
candycoin,YUM,2014-11-16
skynet-asset,SKYNET,2014-12-13
newyorkcoin,NYC,2014-05-06
gaia,GAIA,2014-10-11
aegis,AGS,2014-08-25
bitcoin-plus,XBC,2014-05-03
agoras-tokens,TAU,2015-08-23
darktron,DRKT,2015-06-10
monacoin,MONA,2014-03-20
spreadcoin,SPR,2014-10-26
blitz,BLITZ,2014-11-16
volumecoin,VOL,2015-08-23
instaminenuggets-minew,$MINEW,2015-03-08
tagcoin,TAG,2013-11-05
darkcash,DRKC,2014-07-29
monero,XMR,2014-05-20
spaincoin,SPA,2014-03-15
spikesprivatecoin,SPC,2015-08-04
takcoin,TAK,2014-02-27
primechain,PRIME,2015-09-14
pharma,XPH,2015-06-08
primecoin,XPM,2013-07-11
goldpieces,GP,2015-01-16
bitcoin-scrypt,BTCS,2014-03-17
ixcoin,IXC,2013-05-08
metal-music-coin,MTLMC3,2015-07-02
noblecoin,NOBL,2014-02-08
full-integrity-coin,FIC,2015-07-09
paycoin2,XPY,2014-12-16
piggycoin,PIGGY,2014-06-15
buongiorno-caffe,BGCAFFE,2015-05-13
fimkrypto,FIMK,2014-07-12
bytecent,BYC,2014-11-23
bitcoindark,BTCD,2014-07-16
trickycoin,TRICK,2015-03-31
roscoin,ROS,2014-09-30
maxcoin,MAX,2014-02-12
coinworkscoin,LAB,2014-10-25
polcoin,PLC2,2014-04-11
satoshimadness,MAD,2015-09-01
fireflycoin,FFC,2014-10-26
guarany,GUA,2014-11-23
benjamins,BEN,2014-02-27
guerillacoin,GUE,2014-06-23
datacoin,DTC,2013-12-07
007coin,007,2015-04-23
guncoin,GUN,2014-05-11
supply-shock,M1,2015-05-21
versa,VERSA,2015-07-07
ybcoin,YBC,2014-01-16
betacoin,BET,2013-12-14
lightspeed,LSD,2014-09-13
huntercoin,HUC,2014-02-14
hundredcoin,HUN,2015-06-19
klondikecoin,KDC,2014-02-02
tittiecoin,TTC,2014-11-08
nimbus,NMB,2014-09-05
grantcoin,GRT,2015-07-27
groestlcoin,GRS,2014-04-11
bluecoin,BLU,2014-04-28
solecoin,SOLE,2014-08-21
flaxscript,FLAX,2015-07-25
graffiti,GRF,2015-08-17
feathercoin,FTC,2013-05-03
greencoin,GRE,2014-06-23
gridcoin,GRC,2015-02-28
blackcoin,BLK,2014-02-28
crackcoin,CRACK,2014-09-19
granitecoin,GRN,2014-06-12
sprouts,SPRTS,2015-07-21
darkshibe,DSB,2014-10-25
blakecoin,BLC,2014-02-12
coolcoin,COOL,2014-06-28
hyper,HYPER,2014-05-31
unrealcoin,URC,2015-03-31
xiaomicoin,MI,2015-09-04
nocturna,NOC,2015-07-27
einsteinium,EMC2,2014-04-09
cryptogenic-bullion,CBX,2013-08-04
hellascoin,HLC,2014-11-16
opal,OPAL,2014-09-13
elektron,EKN,2015-04-11
donationcoin,DON,2014-06-15
shadecoin,SHADE,2014-09-06
fujicoin,FJC,2015-06-14
cryptcoin,CRYPT,2014-05-26
globalcoin,GLC,2013-08-04
goldcoin,GLD,2013-06-14
bitseeds,XSEED,2015-04-21
polybit,POLY,2015-06-26
continuumcoin,CTM,2014-02-27
crypto,CTO,2015-05-18
smartcoin,SMC,2014-02-06
redcoin,RED,2014-01-24
clams,CLAM,2014-08-25
factom,FCT,2015-10-05
