coin_name,coin_symbol,first_date_price
007Coin,007,2015-04-23
020LondonCoin,020,2015-09-15
2BACCO,2BACCO,2015-07-25
42 Coin,42,2014-01-14
8Bit,8BIT,2015-04-18
Asset Backed Coin,ABC,2015-05-24
ArtByte,ABY,2014-06-12
AsiaCoin,AC,2014-04-20
Acoin,ACOIN,2014-09-13
AnarchistsPrime,ACP,2015-07-13
AudioCoin,ADC,2015-06-05
AdderalCoin,ADD,2015-02-28
Aiden,ADN,2014-04-15
Aeon,AEON,2015-08-04
Aegis,AGS,2014-08-25
AIB,AIB,2015-04-30
AlphaCoin,ALF,2013-07-07
Aliencoin,ALN,2014-03-15
AeroMe,AM,2014-07-07
AmberCoin,AMBER,2015-02-06
AmericanCoin,AMC,2013-06-09
AmsterdamCoin,AMS,2015-08-20
AnalCoin,ANAL,2015-03-29
Anoncoin,ANC,2013-07-14
Animecoin,ANI,2014-02-28
Applecoin,APC,2014-02-09
ApexCoin,APEX,2014-07-18
ARbit,ARB,2015-05-21
ARCHcoin,ARCH,2014-10-06
Argentum,ARG,2013-07-04
Aricoin,ARI,2014-02-20
AsicCoin,ASC,2013-12-31
Ascension,ASN,2015-03-15
AurumCoin,AU,2014-10-09
Alexium,AUM,2015-08-20
Auroracoin,AUR,2014-02-27
Axiom,AXIOM,2015-07-30
Axron,AXR,2014-08-27
BanxShares,BANX,2014-09-30
BatCoin,BAT,2014-03-03
BitBay,BAY,2014-11-16
Boolberry,BBR,2014-06-24
BitCent,BCENT,2015-02-06
BitcoinFast,BCF,2014-12-06
Bytecoin,BCN,2014-06-17
Bitcredits,BCR,2015-03-29
BattleCoin,BCX,2014-01-31
Bitcrystals,BCY,2015-09-14
BDSM,BDSM,2014-10-20
BellaCoin,BELA,2014-03-20
Benjamins,BEN,2014-02-27
BetaCoin,BET,2013-12-14
Buongiorno Caffe,BGCAFFE,2015-05-13
BilShares,BILS,2014-08-25
Bios Crypto,BIOS,2015-07-27
BitBean,BITB,2015-02-18
bitBTC,BITBTC,2014-09-23
bitCNY,BITCNY,2014-09-23
bitEUR,BITEUR,2015-06-08
bitGold,BITGOLD,2015-01-04
Bitstar,BITS,2014-04-23
bitSilver,BITSILVER,2015-02-25
bitUSD,BITUSD,2014-09-23
Bitz,BITZ,2015-03-08
BlockShares,BKS,2015-09-09
Blakecoin,BLC,2014-02-12
Blitz,BLITZ,2014-11-16
BlackCoin,BLK,2014-02-28
Blocknet,BLOCK,2014-11-01
BlueCoin,BLU,2014-04-28
BnB Coin,BNB,2015-06-08
Dobbscoin,BOB,2014-08-27
Bloodcoin,BOD,2015-06-18
Bolivarcoin,BOLI,2015-09-08
BoostCoin,BOST,2014-05-30
Botcoin,BOT,2015-09-08
BBQCoin,BQC,2013-05-08
Biebercoin,BRC,2015-07-21
BREAKcoin,BRE,2015-09-08
BritCoin,BRIT,2014-07-03
BowsCoin,BSC,2015-07-13
GlobalBoost-Y,BSTY,2014-10-03
Bata,BTA,2015-05-29
BitBar,BTB,2013-05-09
Bitcoin,BTC,2013-04-28
BitcoinDark,BTCD,2014-07-16
BitCrystal,BTCRY,2015-03-22
Bitcoin Scrypt,BTCS,2014-03-17
Bytecoin,BTE,2013-05-10
Bitgem,BTG,2013-07-04
Bitmark,BTM,2014-08-19
BitQuark,BTQ,2014-07-29
BitShares,BTS,2014-07-21
BitcoinTX,BTX,2015-04-26
CryptoBuck,BUK,2014-10-04
BunnyCoin,BUN,2014-09-11
Burst,BURST,2014-08-30
BeaverCoin,BVC,2014-10-04
Bytecent,BYC,2014-11-23
Coin2.1,C2,2014-06-08
CacheCoin,CACH,2014-02-15
CageCoin,CAGE,2014-04-15
Coinaid,CAID,2015-09-15
CAIx,CAIx,2014-04-15
CannabisCoin,CANN,2014-08-02
Bottlecaps,CAP,2013-07-04
CAPTcoin,CAPT,2014-08-20
Carboncoin,CARB,2014-08-02
Cashcoin,CASH,2014-02-27
Catcoin,CAT,2013-12-28
CryptBit,CBIT,2015-10-01
Crypto Bullion,CBX,2013-08-04
CyberCoin,CC,2015-04-03
Cannacoin,CCN,2014-04-25
Canada eCoin,CDN,2014-05-11
SolarFarm,CELL,2015-01-25
Pennies,CENT,2014-08-25
CryptoEscudo,CESC,2014-04-03
Cetuscoin,CETI,2015-01-31
Californium,CF,2015-04-21
ConfessionCoin,CFN,2014-12-16
Cryptographic Anomaly,CGA,2014-02-21
KolschCoin,CGN,2015-04-21
Chancecoin,CHA,2014-05-20
23 Skidoo,CHAO,2015-07-25
ChainCoin,CHC,2015-07-16
X-Children,CHILD,2014-09-20
ChipCoin,CHIP,2015-08-04
Cinni,CINNI,2014-04-23
CryptoCircuits,CIRC,2015-06-18
Checkcoin,CKC,2014-09-19
Clams,CLAM,2014-08-25
CloakCoin,CLOAK,2014-06-06
Copperlark,CLR,2013-11-03
CleverCoin,CLV,2015-05-13
CHNCoin,CNC,2013-05-08
CannabisDarkcoin,CND,2014-10-24
ConcealCoin,CNL,2014-07-21
Coinomat,CNMT,2014-09-05
Coin(O),CNO,2014-03-18
CoinoUSD,COINO,2014-12-25
Colossuscoin,COL,2013-12-01
CommunityCoin,COMM,2014-04-15
PayCon,CON,2015-02-15
CoolCoin,COOL,2014-06-28
CorgiCoin,CORG,2014-02-21
Coven,COV,2015-04-21
Capricoin,CPC,2015-07-23
CompuCoin,CPN,2015-07-16
CrackCoin,CRACK,2014-09-19
CraigsCoin,CRAIG,2014-09-30
Crave,CRAVE,2015-03-26
CraftCoin,CRC,2013-07-07
CrevaCoin,CREVA,2015-07-07
CRTCoin,CRT,2014-05-11
CrownCoin,CRW,2014-11-08
CRYcoin,CRY,2015-04-07
CryptCoin,CRYPT,2014-05-26
CryptoSpots,CS,2015-08-04
CasinoCoin,CSC,2013-07-25
ContinuumCoin,CTM,2014-02-27
Crypto,CTO,2015-05-18
CureCoin,CURE,2014-05-26
Colossuscoin V2,CV2,2015-03-20
Conspiracycoin,CYC,2014-07-05
Cypher,CYP,2015-04-11
Cryptokenz,CYT,2015-09-21
CzechCrownCoin,CZC,2014-10-20
DarkCoin,DARK,2014-12-06
Dash,DASH,2014-02-14
Doubloons,DBL,2013-07-04
DeltaCredits,DCR,2015-08-30
DeBuNe,DEBUNE,2015-02-06
Deutsche eMark,DEM,2013-12-14
DarkEther,DETH,2015-08-10
InstantDEX,DEX,2014-09-14
DigiByte,DGB,2014-02-06
Digitalcoin,DGC,2013-06-09
Dibbits,DIBS,2015-06-24
NeoDICE,DICE,2014-11-08
CarpeDiemCoin,DIEM,2014-04-28
Digit,DIG,2014-06-28
Diggits,DIGS,2015-07-16
Dimecoin,DIME,2014-01-06
Diamond,DMD,2013-12-19
Dogecoin,DOGE,2013-12-15
DogeCoinDark,DOGED,2014-10-25
Donationcoin,DON,2014-06-15
DopeCoin,DOPE,2014-02-22
Dotcoin,DOT,2015-02-15
DigitalPrice,DP,2014-10-04
DarkCash,DRKC,2014-07-29
DarkTron,DRKT,2015-06-10
