CPN,CompuCoin
CPC,Capricoin
CREVA,CrevaCoin
XBS,BitStake
NXTprivacy,NXTprivacy
SIB,SIBCoin
YUM,CandyCoin
SKYNET,SkyNET
NYC,NewYorkCoin
GAIA,GAIA
AGS,Aegis
XBC,Bitcoin Plus
TAU,Agoras Tokens
DRKT,DarkTron
MONA,MonaCoin
SPR,SpreadCoin
BLITZ,Blitz
VOL,VolumeCoin
$MINEW,InstaMineNuggets A
TAG,TagCoin
DRKC,DarkCash
XMR,Monero
TAM,Tamagucci
SPC,SpikesPrivateCoin
TAK,TakCoin
PRIME,PrimeChain
XPH,Pharma
XPM,Primecoin
GP,GoldPieces
BTCS,Bitcoin Scrypt
IXC,Ixcoin
MTLMC3,Metal Music Coin
NOBL,NobleCoin
FIC,Full Integrity Coin
XPY,PayCoin
PIGGY,Piggycoin
BGCAFFE,Buongiorno Caffe
FIMK,FIMKrypto
BYC,Bytecent
BTCD,BitcoinDark
TRICK,TrickyCoin
ROS,RosCoin
MAX,MaxCoin
LAB,Coinworkscoin
PLC2,Polcoin
MAD,SatoshiMadness
FFC,FireFlyCoin
GUA,Guarany
BEN,Benjamins
GUE,Guerillacoin
DTC,Datacoin
007,007Coin
GUN,Guncoin
M1,Supply Shock
VERSA,Versa
YBC,YbCoin
BET,BetaCoin
LSD,Lightspeed
HUC,HunterCoin
HUN,Hundredcoin
KDC,KlondikeCoin
TTC,TittieCoin
NMB,Nimbus
GRT,Grantcoin
FLAP,FlappyCoin
BLU,BlueCoin
SOLE,Solecoin
FLAX,Flaxscript
GRF,Graffiti
FTC,Feathercoin
GRE,Greencoin
GRC,GridCoin
BLK,BlackCoin
CRACK,CrackCoin
GRN,GraniteCoin
SPRTS,Sprouts
DSB,DarkShibe
BLC,Blakecoin
COOL,CoolCoin
HYPER,Hyper
URC,Unrealcoin
MI,Xiaomicoin
NOC,Nocturna
EMC2,Einsteinium
CBX,Crypto Bullion
HLC,HellasCoin
OPAL,Opal
EKN,Elektron
DON,Donationcoin
SHADE,ShadeCoin
FJC,FujiCoin
CRYPT,CryptCoin
GLC,GlobalCoin
GLD,GoldCoin
XSEED,BitSeeds
POLY,Polybit
CTM,ContinuumCoin
CTO,Crypto
SMC,SmartCoin
RED,RedCoin
CLAM,Clams
FCT,Factom
XFC,Forevercoin
ZOOM,Zoom
FCN,Fantomcoin
BSC,BowsCoin
ERM,Ermis
FC2,FuelCoin
AUM,Alexium
LTC,Litecoin
