name,x,y
BitLex,931.0,647.0
kiba,954.0,672.0
Anonymous,968.0,781.0
Bruce Wagner,865.0,540.0
llama,869.0,1029.0
alex_l,832.0,1360.0
Bitcoiner,1092.0,1048.0
denger,1155.0,1069.0
Olipro,1004.0,942.0
satoshi,727.0,964.0
ribuck,903.0,540.0
genjix,921.0,473.0
wereHamster,596.9998168945312,1362.6767578125
lachesis,763.0,1061.0
tcatm,1096.0,668.0
bg002h,1159.0,996.0
tyler,999.0,599.0
BrightAnarchist,796.0,783.0
mtgox,1139.0,784.0
imnichol,1101.0,937.0
melvster,1063.0,1070.0
venom,764.0,1150.0
Cryptoman,1056.0,471.0
Organized,1156.0,619.0
matonis,829.0,522.0
FlyingMoose,1067.0,602.0
jgarzik,930.0,712.0
em3rgentOrdr,790.0,811.0
grondilu,968.0,609.0
Stephen Gornick,1042.0,501.0
FreeMoney,923.0,742.0
db,876.0,756.0
asdf,788.0,566.0
davout,1018.0,459.0
marekknowak,1124.0,541.0
Mionione,714.0,1011.0
MoonShadow,889.0,630.0
morpheus,689.0,230.0
ihrhase,763.0,1348.0
Suggester,947.0,1307.0
SmokeTooMuch,999.0,866.0
Gavin Andresen,841.0,787.0
jago25_98,798.0,473.0
impossible7,619.0,1054.0
throughput,936.0,853.0
ksd5,984.0,936.0
Ensayia,1173.0,1269.0
sirius,1074.5,977.0
da2ce7,858.0,508.0
farmer_boy,872.0,481.0
brocktice,1100.0,405.0
Timo Y,1051.0,725.0
gridecon,660.0,863.0
tentative,786.0,535.0
chaord,748.0,663.0
Insti,792.0,944.0
NewLibertyStandard,946.0,1075.0
jorgen,1028.0,427.0
bitboy,1187.0,691.0
vess,577.9998464616795,843.6768188476562
BioMike,855.0,603.0
GeorgeH,803.0,687.0
EricJ2190,790.0,1040.0
ultrasonicsite,895.0,1281.0
ByteCoin,894.0,801.0
nelisky,818.0,587.0
jimbobway,991.0,801.0
Red,724.0,916.0
nanotube,941.0,559.0
aceat64,694.0,962.0
cryptofo,597.9998464616795,675.6768188476562
ilovebitcoin,636.0,722.0
FatherMcGruder,948.0,399.0
mizerydearia,824.0,825.0
bytemaster,731.0,878.0
ArtForz,1044.0,884.0
ledskof,657.0,647.0
kwukduck,1294.0,731.0
doublec,1306.0,562.0
nightrow,689.0,540.0
Pubulis01,657.0,578.0
Gatsu,696.0,709.0
XaviorPenguin,642.0,1262.0
Xunie,869.0,976.0
bencoder,611.9998464616795,610.6768188476562
appamatto,753.0,540.0
BitcoinFX,975.0,1245.0
wobber,1001.0,1100.0
RHorning,1096.0,708.0
