symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
CPN,compucoin,CompuCoin,7.70011e-07,3.00046e-08,25.66309832492351,25.66309832492351,3.8500550000000002,2.3006067161687143,2.3867392807621535,1.4969522992505946,1.5356771156129627,249,2,False,False,False,False,False,False,False,2015-07-16
CPC,capricoin,Capricoin,0.000801841,0.000175764,4.562032042966705,2.6635873212019745,1.5728386343798118,2.324162434484763,1.4875735382955695,3.303762519786802,1.4926142162534235,117642,2,False,False,False,False,False,False,True,2015-07-23
CREVA,crevacoin,CrevaCoin,4.41493e-05,9e-06,4.905477777777778,4.905477777777778,4.905477777777778,1.4637367155083953,1.4637367155083953,1.1544066972103357,1.1544066972103357,4655,1,False,False,False,False,False,False,False,2015-07-07
XBS,bitstake,BitStake,0.00118852,1.53684e-05,77.33531141823482,77.33531141823482,77.33531141823482,4.733437733331471,4.148724441418417,2.3445435034794913,1.9465546609892033,716694,2,False,False,False,True,False,False,True,2015-01-13
NXTprivacy,nxtprivacy,NXTprivacy,0.0031912,0.000108172,29.501164811596347,29.501164811596347,6.311259483106425,2.9211028341665997,2.9576749791452466,2.627638596437574,2.631713105580233,23228,1,False,False,False,False,False,False,False,2014-10-04
SIB,sibcoin,SIBCoin,6.49985e-05,1.91011e-05,3.402866850600227,3.2485281329028517,3.200036432024734,2.950797174310309,2.8851322325386612,2.5674276671813687,2.4486245149383654,35741,1,False,False,False,False,False,False,False,2015-09-25
YUM,candycoin,CandyCoin,4.9065e-06,2.19934e-07,22.3089654168978,22.3089654168978,2.7281522627566765,2.3620087168259585,2.4707016118996474,1.7454162648771054,1.79936321467796,749,0,False,False,False,False,False,False,False,2014-11-16
SKYNET,skynet-asset,SkyNET,0.00284011,0.0008749,3.2462109955423477,3.1369952284174247,2.583773801184487,1.9146392578909313,1.8749005883784826,1.958174325920189,1.8532567369659478,57327,1,False,False,False,False,False,False,False,2014-12-13
NYC,newyorkcoin,NewYorkCoin,1.00351e-08,7.1e-12,1413.3943661971832,1413.3943661971832,10.212802768166089,5.557871930510036,7.058919732845819,3.6833743248345256,7.173503304133489,6746,2,False,False,False,False,False,False,False,2014-05-06
GAIA,gaia,GAIA,9.0966e-06,1.05e-06,8.663428571428572,8.663428571428572,8.663428571428572,2.2687213379091387,2.5409820070209537,1.3995762992432181,1.7307820142577877,458149,1,False,False,False,False,False,False,True,2014-10-11
AGS,aegis,Aegis,1.98172e-05,6.00184e-07,33.0185409807659,22.019111111111112,18.18091743119266,12.013380343574328,11.809222535168264,1.390686895737158,1.362548278404841,10235,1,False,False,False,True,False,False,False,2014-08-25
XBC,bitcoin-plus,Bitcoin Plus,0.0253059,0.00022239,113.79063806825846,113.79063806825846,36.15128571428571,15.259328232684375,15.259328232684375,1.8467277337028385,1.8467277337028385,1443460,1,False,False,True,False,False,False,False,2014-05-03
TAU,agoras-tokens,Agoras Tokens,0.00072531,0.000321532,2.25579413557593,2.25579413557593,1.4375896870763398,1.340172786842233,1.3781358428372983,1.432053553731044,1.4578049698312023,12704,1,False,False,False,False,False,False,False,2015-08-23
DRKT,darktron,DarkTron,7.139e-05,4.16194e-06,17.153058429482407,17.153058429482407,17.153058429482407,3.476178566277122,3.695179227858564,1.68036057244662,1.6400940647838358,22134,4,False,False,False,False,False,False,True,2015-06-10
MONA,monacoin,MonaCoin,0.00124232,4.30149e-05,28.881155134616147,15.047061431185908,4.708040261945186,4.2910910236012505,3.6844211846978197,2.688545823906202,2.6186427776077847,3418392,9,False,False,False,True,False,False,True,2014-03-20
SPR,spreadcoin,SpreadCoin,0.000680543,4.01208e-06,169.62348706905146,24.313616908775217,13.61086,4.731334611419968,5.689401504906969,2.5150617783060105,3.197531488023933,238533,1,False,False,False,False,False,False,True,2014-10-26
BLITZ,blitz,Blitz,0.00019543,6.93805e-06,28.167856962691246,9.655584705609161,4.650880533079485,3.3451382292585876,2.89922502509429,2.3727471412783485,2.372451047072722,233284,1,False,False,False,False,False,False,True,2014-11-16
VOL,volumecoin,VolumeCoin,2.5972e-06,6.99676e-08,37.12003841778194,37.12003841778194,37.12003841778194,3.0119304913247524,3.3401572257609886,1.7094490794092823,1.677010277835932,39,1,False,False,False,False,False,False,False,2015-08-23
$MINEW,instaminenuggets-minew,InstaMineNuggets A,6.98765e-06,5.99858e-08,116.48840225520041,116.48840225520041,58.22313877431987,6.660339008267365,6.660339008267365,3.630078438336856,3.630078438336856,1056,1,False,False,False,False,False,False,False,2015-03-08
TAG,tagcoin,TagCoin,0.00279889,3.29287e-05,84.99849675207342,84.99849675207342,23.74536569639691,7.467631226679366,8.032747670862149,3.105322191704203,3.105322191704203,2207761,4,False,False,False,True,True,True,False,2013-11-05
DRKC,darkcash,DarkCash,4.61e-05,3.5e-06,13.171428571428573,13.171428571428573,13.171428571428573,4.008248611804073,3.9682103370232333,3.3581052950976713,3.212290089900111,67739,2,False,False,False,True,False,True,False,2014-07-29
XMR,monero,Monero,0.00833353,0.000995445,8.371662924621653,8.371662924621653,5.295265508937138,3.244414138476861,3.3610010040775826,2.286061901460532,2.3891758865079,34040562,8,False,False,True,True,False,True,True,2014-05-20
SPA,spaincoin,SpainCoin,0.00444425,3.40198e-07,13063.715836071937,13063.715836071937,6005.743243243243,156.21808293114157,162.64862204742894,2.2882861147747695,2.2872593773195873,1564906,1,False,False,False,True,False,False,False,2014-03-15
SPC,spikesprivatecoin,SpikesPrivateCoin,0.000478709,1.09026e-05,43.90778346449471,43.90778346449471,18.51872340425532,2.6604230521781957,2.9311770087595863,1.6631596865306886,1.3404379637267338,11631,1,False,False,False,False,False,False,False,2015-08-04
TAK,takcoin,TakCoin,7.60238e-06,9.9151e-09,766.7476878700164,766.7476878700164,380.11899999999997,41.79507942114203,74.59627959267546,2.8147849023864593,3.1491065161012726,905048,1,False,False,False,True,False,False,False,2014-02-27
PRIME,primechain,PrimeChain,1.19619e-05,2.99872e-06,3.989001974175648,3.989001974175648,3.962035420800032,1.8256880384383563,2.1426971806753743,1.578939911858811,1.6595426590618392,133767,2,False,False,False,False,False,False,True,2015-09-14
XPH,pharma,Pharma,6.60072e-06,1e-08,660.072,660.072,660.072,4.41404366062282,5.573852313603452,2.650908566216101,2.8710997480424174,86583,1,False,False,False,False,False,False,False,2015-06-08
XPM,primecoin,Primecoin,0.0140613,7.83042e-05,179.57274322450138,179.57274322450138,54.34570878649445,7.757872118217312,7.864245471080403,5.079608086444141,5.079608086444141,28338312,13,False,False,True,True,True,True,False,2013-07-11
GP,goldpieces,GoldPieces,0.00015788,3.51931e-06,44.86106651587953,2.7751801722622607,2.6304565144951684,3.992483894884246,1.5473089617035476,2.63600548307051,1.166742243353668,42191,1,False,False,False,False,False,False,True,2015-01-16
BTCS,bitcoin-scrypt,Bitcoin Scrypt,0.000955784,1.9e-07,5030.442105263158,5030.442105263158,138.51942028985508,45.83482292477322,47.270454582895965,3.0160462608943064,2.9287066575587586,390179,1,False,False,False,False,False,False,False,2014-03-17
IXC,ixcoin,Ixcoin,0.000221394,2.14544e-05,10.319281825639496,10.319281825639496,4.025360092218517,2.547415409707937,2.3897223734222357,2.0440312650480905,2.0440312650480905,1001833,3,False,False,False,True,False,False,False,2013-05-08
MTLMC3,metal-music-coin,Metal Music Coin,7e-08,1.38872e-08,5.040612938533326,1.0,1.0,1.6279906899605432,1.0,1.5641526858731873,1.0,263,2,False,False,False,False,False,False,False,2015-07-02
NOBL,noblecoin,NobleCoin,1.63082e-06,3.92465e-08,41.55325952632719,41.55325952632719,32.616400000000006,9.79900051311546,9.913027384004003,3.196296544455478,3.2324254889610535,1293213,3,False,False,True,True,False,False,False,2014-02-08
FIC,full-integrity-coin,Full Integrity Coin,9.6667e-09,8.0427e-09,1.2019222400437664,1.2019222400437664,1.2019222400437664,1.0917027115543159,1.0917027115543159,1.0,1.0,19,3,False,False,False,False,False,False,False,2015-07-09
XPY,paycoin2,PayCoin,0.0415154,5.96879e-05,695.5413073671548,695.5413073671548,695.5413073671548,7.298902326304104,9.969412542973647,2.148104623200373,2.5630333685349087,23131009,12,False,False,False,True,False,False,True,2014-12-16
PIGGY,piggycoin,Piggycoin,4.4296e-07,3.91257e-08,11.321458785401923,11.321458785401923,2.954780439321473,4.43748259659233,4.533286374107281,1.5198762935415548,1.7524390870945983,130202,3,False,False,True,False,False,False,False,2014-06-15
BGCAFFE,buongiorno-caffe,Buongiorno Caffe,0.00228981,0.00135438,1.6906702697913436,1.6213110343264985,1.6213110343264985,1.2004091585503012,1.1383356648779892,1.2376748228490229,1.199712120678382,2118,1,False,False,False,False,False,False,False,2015-05-13
FIMK,fimkrypto,FIMKrypto,4.90907e-06,2.10431e-07,23.328644543817212,23.328644543817212,5.156271991832431,2.332871920274985,2.8602571462955293,1.3199082489119252,1.2023298321438927,4404942,2,False,False,False,False,False,False,False,2014-07-12
BYC,bytecent,Bytecent,0.00185347,0.000180996,10.240392052863047,10.240392052863047,7.10111834367134,4.151484238780485,4.190034180923789,3.556709319301882,3.5872452356967153,666101,3,False,False,False,True,False,False,True,2014-11-23
BTCD,bitcoindark,BitcoinDark,0.014842,0.000229976,64.53716909590565,4.7644116872861275,3.2669466529314914,2.745282894739534,2.6636329215297327,2.2152298744855137,1.5917143998311913,8481996,8,False,False,True,True,False,True,True,2014-07-16
TRICK,trickycoin,TrickyCoin,1.25998e-06,3.00035e-08,41.99443398270202,41.99443398270202,1.2856938775510205,2.9178527775207685,3.1114587233938287,1.4455453230782094,1.7748541597198972,1040,1,False,False,False,False,False,False,False,2015-03-31
ROS,roscoin,RosCoin,1.25743e-06,3e-08,41.91433333333334,41.91433333333334,8.981642857142857,6.0436665173447155,6.462652813640505,2.2289204506332334,2.4128078642691926,120230,1,False,False,False,False,False,False,True,2014-09-30
MAX,maxcoin,MaxCoin,0.00428743,1.69782e-05,252.5255916410456,252.5255916410456,248.55675302765908,30.383060804532963,33.241796143541364,1.9727218978476115,2.4582582517113254,35949859,9,False,False,False,True,False,True,True,2014-02-12
LAB,coinworkscoin,Coinworkscoin,8.4678e-05,2.19874e-06,38.5120569053185,38.5120569053185,16.9356,11.06019730113119,11.06019730113119,1.8414287837084626,1.8414287837084626,7804,1,False,False,False,True,False,False,False,2014-10-25
PLC2,polcoin,Polcoin,2.24791e-05,1.30022e-07,172.88689606374305,172.88689606374305,124.88388888888889,12.33266335739712,14.572321255084747,2.61616589248889,2.824832586000371,24113,1,False,False,False,False,False,False,False,2014-04-11
MAD,satoshimadness,SatoshiMadness,2e-08,9.9892e-09,2.002162335322148,2.002162335322148,2.0007402739013433,1.920025344334545,1.9131299850080177,1.948098500016104,1.9234264688486657,75,1,False,False,False,False,False,False,False,2015-09-01
FFC,fireflycoin,FireFlyCoin,3.30028e-07,4.98093e-08,6.625830919125544,4.12535,4.12535,2.5500212654332297,2.1166974091548973,2.048652974376388,1.6776908756702238,2455,1,False,False,False,True,False,False,False,2014-10-26
GUA,guarany,Guarany,0.00212737,6.1e-06,348.7491803278688,348.7491803278688,227.7698072805139,15.696676238411216,17.39630798295607,1.9085990336661374,2.5389558750154,8563,1,False,False,False,False,False,False,False,2014-11-23
BEN,benjamins,Benjamins,9.49095e-05,9e-07,105.45500000000001,105.45500000000001,18.009392789373813,16.513016331515843,19.135796079823873,3.6556849095539414,8.062461958769816,23233,1,False,False,False,True,False,False,False,2014-02-27
GUE,guerillacoin,Guerillacoin,0.000212307,1.0186e-06,208.43019831140782,208.43019831140782,46.97057522123894,16.351118387841826,19.470843156120075,1.553384120878738,1.487979079460741,1273921,2,False,False,False,True,False,False,False,2014-06-23
