name, symbol, first_price_date
Capricoin, CPC, 1437658769
BitStake, XBS, 1421155763
NXTprivacy, NXTprivacy, 1412442565
SIBCoin, SIB, 1443219569
CandyCoin, YUM, 1416177265
SkyNET, SKYNET, 1418523864
NewYorkCoin, NYC, 1399378669
GAIA, GAIA, 1413052163
Aegis, AGS, 1409020493
Bitcoin Plus, XBC, 1399167105
DarkTron, DRKT, 1433936367
MonaCoin, MONA, 1395292195
SpreadCoin, SPR, 1414365867
Blitz, BLITZ, 1416177265
TagCoin, TAG, 1383658328
DarkCash, DRKC, 1406636358
Monero, XMR, 1400636473
SpainCoin, SPA, 1394924634
SpikesPrivateCoin, SPC, 1438711769
HeelCoin, HEEL, 1445966070
TakCoin, TAK, 1393479215
PrimeChain, PRIME, 1442251766
Pharma, XPH, 1433738668
Primecoin, XPM, 1373512879
GoldPieces, GP, 1421414971
Bitcoin Scrypt, BTCS, 1395033282
Ixcoin, IXC, 1367990418
Metal Music Coin, MTLMC3, 1435830268
NobleCoin, NOBL, 1391873604
Full Integrity Coin, FIC, 1436455961
PayCoin, XPY, 1418708065
Catcoin, CAT, 1388205718
Piggycoin, PIGGY, 1402844308
Buongiorno Caffe, BGCAFFE, 1431516865
FIMKrypto, FIMK, 1405143774
Bytecent, BYC, 1416773367
BitcoinDark, BTCD, 1405512334
TrickyCoin, TRICK, 1427853291
RosCoin, ROS, 1412063663
MaxCoin, MAX, 1392212039
Coinworkscoin, LAB, 1414278866
SatoshiMadness, MAD, 1441127070
FireFlyCoin, FFC, 1414365867
Guarany, GUA, 1416773966
Benjamins, BEN, 1393479215
Guerillacoin, GUE, 1403523428
DayTraderCoin, DTC, 1416177265
Cashme, CME, 1448308768
Guncoin, GUN, 1399828089
YbCoin, YBC, 1389879161
BetaCoin, BET, 1387072334
Lightspeed, LSD, 1410628465
HunterCoin, HUC, 1392385449
Hundredcoin, HUN, 1434723866
TittieCoin, TTC, 1415487265
BilShares, BILS, 1408967961
Grantcoin, GRT, 1438012467
GroestlCoin, GRS, 1397249153
BlueCoin, BLU, 1398655286
1337, 1337, 1447093168
Solecoin, SOLE, 1408619062
CoinoUSD, COINO, 1419480564
Flaxscript, FLAX, 1437860368
Graffiti, GRF, 1439825670
Feathercoin, FTC, 1367551515
Greencoin, GRE, 1403523429
GridCoin, GRC, 1425147866
BlackCoin, BLK, 1393564424
CrackCoin, CRACK, 1411100663
GraniteCoin, GRN, 1402573418
Sprouts, SPRTS, 1437496769
DarkShibe, DSB, 1414275266
Blakecoin, BLC, 1392187814
CoolCoin, COOL, 1403973214
Hyper, HYPER, 1401544471
Xiaomicoin, MI, 1441384769
Nocturna, NOC, 1438012468
Einsteinium, EMC2, 1397016624
Crypto Bullion, CBX, 1375642291
Opal, OPAL, 1410628465
Elektron, EKN, 1428758669
EuropeCoin, ERC, 1434643167
ShadeCoin, SHADE, 1410018863
FujiCoin, FJC, 1434300866
CryptCoin, CRYPT, 1401121887
Augur, REP, 1445966070
GlobalCoin, GLC, 1375642291
GoldCoin, GLD, 1371192328
ContinuumCoin, CTM, 1393479216
Crypto, CTO, 1431995666
SmartCoin, SMC, 1391692421
RedCoin, RED, 1390570666
Clams, CLAM, 1409020493
Factom, FCT, 1444095269
Fantom, FCX, 1448308764
Forevercoin, XFC, 1435149567
Faucetcoin, DROP, 1446500669
Zoom, ZOOM, 1437076783
SOILcoin, SOIL, 1447353309
Fantomcoin, FCN, 1402237212
BowsCoin, BSC, 1436819971
LiteStarCoin, LTS, 1445610270
FuelCoin, FC2, 1402573418
DraftCoin, DFT, 1448308768
Alexium, AUM, 1440122970
Litecoin, LTC, 1367174842
LiteBar, LTB, 1394602090
SuperNET, UNITY, 1412133265
Auroracoin, AUR, 1393479207
TileCoin, XTC, 1414275266
Vector, VEC, 1441384769
Tamagucci, TAM, 1435322067
LeafCoin, LEAF, 1391324249
BitBay, BAY, 1416176665
Aliencoin, ALN, 1394924640
AlphaCoin, ALF, 1373205409
Neutrino, NTR, 1402573417
StableCoin, SBC, 1373211127
Siacoin, SC, 1440613168
Orbitcoin, ORB, 1387649574
Memorycoin, MMC, 1387928263
Glyph, GLYPH, 1403008840
I0Coin, I0C, 1385530902
BatCoin, BAT, 1393824841
Dogecoin, DOGE, 1387118554
FutCoin, FUTC, 1437496769
TorCoin, TOR, 1405141458
bitEUR, BITEUR, 1433795970
TopCoin, TOP, 1392643506
Bottlecaps, CAP, 1372914937
RipoffCoin, RIPO, 1408829961
Viral, VIRAL, 1431088466
Motocoin, MOTO, 1401799674
OsmiumCoin, OS76, 1445277870
StrongHands, SHND, 1446228568
Cthulhu Offerings, OFF, 1437860368
WorldCoin, WDC, 1369192820
Crypti, XCR, 1407412157
ARCHcoin, ARCH, 1412598263
Counterparty, XCP, 1392472776
SolarFarm, CELL, 1422212666
Privatebet, Privatebet, 1412442564
Pebblecoin, XPB, 1427853288
Bata, BTA, 1432899867
VPNCoin, VPN, 1416773666
Asset Backed Coin, ABC, 1432508966
BigCoin, HUGE, 1429876467
DarkCypher, DCYP, 1445706604
BanxShares, BANX, 1412063662
NeosCoin, NEOS, 1409020497
Sativacoin, STV, 1413781164
ZiftrCOIN, ZRC, 1425430466
Razor, RZR, 1403356660
StarCoin, STR, 1391324254
CzechCrownCoin, CZC, 1413781165
ArtByte, ABY, 1402573416
ExclusiveCoin, EXCL, 1412063661
PetroDollar, XPD, 1397536615
CacheCoin, CACH, 1392450566
ORObit, ORO, 1393479214
HazMatCoin, HZT, 1429253669
Jinn, JINN, 1412339963
Pandacoin, PND, 1393479213
GreenBacks, GB, 1408829062
Quark, QRK, 1377452782
Quotient, XQN, 1416773368
Mineralscoin, MIN, 1403356661
sharkfund0, SF0, 1410716663
Lightcoin, LIT, 1404533878
GamerholicCoin, GHC, 1412942962
UPcoin, XUP, 1442957990
Bitzeny, ZNY, 1436456067
MediterraneanCoin, MED, 1413979766
AmberCoin, AMBER, 1423228467
Tradebots, NXTcoinsco, 1412442565
ProsperCoin, PRC, 1392903658
Kittehcoin, MEOW, 1390570665
Particle, PRT, 1390397259
Chancecoin, CHA, 1400591324
ChainCoin, CHC, 1437077371
Murraycoin, MRY, 1393824843
Unrealcoin, URC, 1427853290
MMNXT, MMNXT, 1413979766
Uro, URO, 1402573418
Marscoin, MRS, 1393249274
020LondonCoin, 020, 1442340565
Qibuck, QBK, 1408285460
Joulecoin, XJO, 1386311199
microCoin, MRC, 1393824833
MonetaryUnit, MUE, 1414875565
Viacoin, VIA, 1405686259
Doubloons, DBL, 1372914935
MMBTCD, MMBTCD, 1436286567
SaffronCoin, SFR, 1402844312
8Bit, 8BIT, 1429386267
Applecoin, APC, 1391962731
Nexus, NIRO, 1422212063
Paycoin, PYC, 1417915467
Grexit, GREXIT, 1437658769
Stellar, XLM, 1407217459
Argentum, ARG, 1372914941
KoreCoin, KORE, 1403356662
FreedomCoin, FRDC, 1442871878
Libertycoin, XLB, 1399951699
CAIx, CAIx, 1397536618
Infinitecoin, IFC, 1373462822
Silkcoin, SILK, 1399828085
Sling, SLING, 1429618468
PLNcoin, PLNC, 1397536618
ParkByte, PKB, 1431995666
PseudoCash, PSEUD, 1405922061
Coinaid, CAID, 1442347467
Gulden, NLG, 1396930260
TenneT, TENNET, 1439234671
GuccioneCoin, GCC, 1440122970
Resumeo Shares, RMS, 1444318173
DogeCoinDark, DOGED, 1414275266
WorldPay, WOP, 1444667437
CasinoCoin, CSC, 1374721588
Diggits, DIGS, 1437076783
SHACoin, SHA, 1403671384
Global Currency Reserve, GCR, 1440613168
Shift, SHF, 1441460968
RotoCoin, RT2, 1396107313
Moneta, MONETA, 1445706603
vTorrent, VTR, 1419481166
CageCoin, CAGE, 1397536425
BitQuark, BTQ, 1406636654
BitShares, BTS, 1405914258
Cerium, XCE, 1433936367
ClearingHouse, XCH, 1412456071
SSVCoin, SSV, 1410125962
Cryptonite, XCN, 1407014360
BitcoinTX, BTX, 1430057069
Mooncoin, MOON, 1388990851
Bytecoin, BTE, 1368162022
Bitgem, BTG, 1372914947
MGW, MGW, 1408708460
Bitcoin, BTC, 1367174841
BitBar, BTB, 1368115818
Bitmark, BTM, 1408449563
Sonic, SSD, 1407845362
Jumbucks, JBS, 1410125962
CoinoIndex, INDEX, 1434643167
Isracoin, ISR, 1396930253
Jay, JAY, 1429253669
XCash, XCASH, 1410434061
23 Skidoo, CHAO, 1437860368
Sphere, SPHR, 1430581765
UtilityCoin, UTIL, 1412063662
Octo, OCTO, 1427077767
CureCoin, CURE, 1401127931
IslaCoin, ISL, 1443455071
DigiByte, DGB, 1391692418
Digitalcoin, DGC, 1370800521
ECCoin, ECC, 1395292195
