CPN,compucoin
CPC,capricoin
CREVA,crevacoin
XBS,bitstake
NXTprivacy,nxtprivacy
SIB,sibcoin
YUM,candycoin
SKYNET,skynet-asset
NYC,newyorkcoin
GAIA,gaia
AGS,aegis
XBC,bitcoin-plus
TAU,agoras-tokens
DRKT,darktron
MONA,monacoin
SPR,spreadcoin
BLITZ,blitz
VOL,volumecoin
$MINEW,instaminenuggets-minew
TAG,tagcoin
DRKC,darkcash
XMR,monero
TAM,tamagucci
SPC,spikesprivatecoin
TAK,takcoin
PRIME,primechain
XPH,pharma
XPM,primecoin
GP,goldpieces
BTCS,bitcoin-scrypt
IXC,ixcoin
MTLMC3,metal-music-coin
NOBL,noblecoin
FIC,full-integrity-coin
XPY,paycoin2
PIGGY,piggycoin
BGCAFFE,buongiorno-caffe
FIMK,fimkrypto
BYC,bytecent
BTCD,bitcoindark
TRICK,trickycoin
ROS,roscoin
MAX,maxcoin
LAB,coinworkscoin
PLC2,polcoin
MAD,satoshimadness
FFC,fireflycoin
GUA,guarany
BEN,benjamins
GUE,guerillacoin
DTC,datacoin
007,007coin
GUN,guncoin
M1,supply-shock
VERSA,versa
YBC,ybcoin
BET,betacoin
LSD,lightspeed
HUC,huntercoin
HUN,hundredcoin
KDC,klondikecoin
TTC,tittiecoin
NMB,nimbus
GRT,grantcoin
FLAP,flappycoin
BLU,bluecoin
SOLE,solecoin
FLAX,flaxscript
GRF,graffiti
FTC,feathercoin
GRE,greencoin
GRC,gridcoin
BLK,blackcoin
CRACK,crackcoin
GRN,granitecoin
SPRTS,sprouts
DSB,darkshibe
BLC,blakecoin
COOL,coolcoin
HYPER,hyper
URC,unrealcoin
MI,xiaomicoin
NOC,nocturna
EMC2,einsteinium
CBX,cryptogenic-bullion
HLC,hellascoin
OPAL,opal
EKN,elektron
DON,donationcoin
SHADE,shadecoin
FJC,fujicoin
CRYPT,cryptcoin
GLC,globalcoin
GLD,goldcoin
XSEED,bitseeds
POLY,polybit
CTM,continuumcoin
CTO,crypto
SMC,smartcoin
RED,redcoin
CLAM,clams
FCT,factom
XFC,forevercoin
ZOOM,zoom
FCN,fantomcoin
BSC,bowscoin
ERM,ermis
FC2,fuelcoin
AUM,alexium
LTC,litecoin
LTB,litebar
UNITY,supernet-unity
AUR,auroracoin
XTC,tilecoin
VEC,vector
LTD,limitedcoin
BTQ,bitquark
CAT,catcoin
ALN,aliencoin
BTS,bitshares
ALF,alphacoin
NTR,neutrino
