coin,name,type,subcategory
AXR,AXRON,nt,energy efficient
NYAN,NYANCOIN,nt,media
WDC,WORLDCOIN,nt,speed
TIX,TICKETS,t,Hashing algorithm
CKC,CLOCKCOIN,nt,other
CANN,CANNABISCOIN,nt,specific use
GSX,GLOWSHARES,nt,community
DRS,DENARIUS,nt,nation
DIEM,CARPEDIEMCOIN,nt,other
HVC,HEAVYCOIN,t,Hashing algorithm
XBS,BITCOINPLUS,nt,other
CORG,COIRGICOIN,nt,fun
LIT,LIGHTCOIN,nt,energy efficient
NAS,NASCOIN,t,contract language
HBN,HOBONICKELS,nt,speed
NAV,NAVAJOCOIN,nt,other
GHC,GHOSTCOIN,nt,other
GAIA,GAIACOIN,nt,other
BSTY,GLOBALBOOST-Y,t,Hashing algorithm
SHLD,SHIELDCOIN,nt,other
AMBER,AMBERCOIN,nt,other
SXC,SEXCOIN,nt,specific use
XQN,QUOTIENT,nt,other
PRC,PROSPERCOIN,nt,other
MONA,MONACOIN,nt,other
MEOW,KITTEHCOIN,nt,other
SPR,SPREADCOIN,t,other
SPT,SPOTCOIN,nt,other
RPC,RONPAULCOIN,nt,notorius person
MRY,MURRAYCOIN,nt,notorius person
RIN,RINGOCOIN,nt,other
PRT,PARTICLE,nt,other
TAG,TAGCOIN,nt,other
DRKC,DARKCASH,nt,other
YAC,YACOIN,t,Hashing algorithm
LYC,LYCANCOIN,nt,other
SPA,SPAINCOIN,nt,nation
GDC,GRANDCOIN,nt,clone
IOC,IOCOIN,,other
RIC,RIECOIN,t,Hashing algorithm
TAK,TAKCOIN,nt,other
NXT,NXTCOIN,t,Hashing algorithm
GLC,GLOBALCOIN,nt,other
FRAC,FRACTALCOIN,t,Hashing algorithm
HAM,HAMRADIOCOIN,nt,community
XPM,PRIMECOIN,t,Hashing algorithm
CRAIG,CRAIGSCOIN,t,modified blockchain
IXC,IXCOIN,nt,speed
URO,UROCOIN,nt,other
NOBL,NOBLECOIN,nt,other
DASH,DASHCOIN,t,anonimity
PIGGY,PIGGYCOIN,nt,other
FIMK,FIMKRYPTO,nt,other
THC,HEMPCOIN,nt,community
BYC,BYTECOIN,nt,other
BTCD,BITCOINDARK,t,anonymity
CINNI,CINNI,nt,other
MUE,MONETARYUNIT,nt,other
VIA,VIACOIN,nt,other
PHO,PHOTON,nt,other
MEC,MEGACOIN,nt,other
ELT,ELECTRON,nt,other
ZEIT,ZEITCOIN,nt,other
MAX,MAXCOIN,nt,other
SFR,SAFFRONCOIN,nt,other
KRN,EKRONA,nt,other
JPC,JACKPOTCOIN,t,Hashing algorithm
SYS,SYSCOIN,nt,other
MAC,,,other
CCN,C-Coin,nt,other
LXC,LIBREXCOIN,t,anonimity
MZC,MAZACOIN,nt,other
APC,APPLECOIN,nt,other
PYC,PAYCOIN,nt,other
MAL,MALIBUCOIN,nt,nation
EMD,EMERALD,nt,other
GUA,GUARANY,nt,nation
ARG,ARGENTUM,nt,other
DMD,DIAMOND,nt,other
GUE,GUERILLACOIN ,nt,other
OC,ORANGECOIN,nt,other
BELA,BELLACOIN,nt,other
GUN,GUNCOIN,t,Hashing algorithm
SBC,STABLECOIN,nt,speed
QSLV,QUICKSILVER,nt,specific use
LKY,LUCKYCOIN,nt,random reward
YBC,YBCOIN,nt,specific use
VIOR,VIORCOIN,t,anonimity
BOB,,,
BET,,,
TRL,TROLLCOIN,nt,other
BVC,BEAVERCOIN,nt,other
LSD,LIGHTSPEED,nt,other
SHIBE,SHIBECOIN,nt,other
START,STARTCOIN,nt,specific use
ACOIN,ACOIN,nt,random reward
PLNC,PLNCOIN,nt,nation
PTC,PESETACOIN,nt,nation
ROX,ROXCOIN,nt,other
TCO,TACOCOIN,nt,fun
PSEUD,PSEUDOCASH,nt,other
CXC,CHECKOUTCOIN,nt,other
BUN,BUNNYCOIN,nt,fun
XDQ,DIRAC,nt,other
XDP,DOGEPARTY,nt,specific use
TTC,TITTIECOIN,nt,other
MNC,MINCOIN,nt,other
PTS,BITSHARES,t,Hashing algorithm
MNE,MUNNE,nt,other
NMC,NAMECOIN,nt,specific use
TRI,TRIANGLE,nt,other
FIBRE,FIBRE,t,anonimity
TRK,TRUCKCOIN,nt,other
FLAP,FLAPPYCOIN,nt,other
FST,FASTCOIN,nt,speed
FOOD,FOODCOIN,nt,specific use
TRC,TERRACOIN,nt,other
SOLE,SOLECOIN,t,Hashing algorithm
DOGED,DOGECOINDARK,nt,fun
CSC,CASINOCIN,nt,specific use
VGC,VEGASCOIN,nt,nation
SHA,SHACOIN,t,Hashing algorithm
FTC,FEATHERCOIN,nt,other
XBOT,SOCIALXBOT,nt,specific use
SHADE,SHADE,nt,other
CRACK,CRACKCOIN,nt,other
ECC,ECCOIN,nt,other
CAGE,CAGECOIN,nt,notorius person
XRP,RIPPLECOIN,nt,other
BLC,BLAKECIN,t,Hashing algorithm
COOL,COOLCOIN,nt,other
USDe,Unitary Status Dollar eCoin,nt,other
MMXIV,MAIEUTICOIN,nt,other
NOO,NOOCOIN,nt,other
LEAF,LEAFCOIN,nt,specific use
UNAT,UNATTAINIUM,nt,random reward
TIT,TITCOIN,nt,specific use
ANC,ANONCOIN,t,Anonimity
VOOT,VOOTCOIN,nt,other
XCH,VIACOIN,nt,other
DOGE,DOGECOIN,nt,community
XCN,CRYPTONITE,t,other
MOON,MOONCOIN,nt,other
ENRG,ENERGYCOIN,nt,specific use
BTG,BITGEM,nt,other
GRE,GREENCOIN,nt,specific use
NVC,NOVACOIN,nt,other
BTC,BITCOINDARK,t,other
BTB,BITBAR,t,Hashing algorithm
EMC2,EINSTEINIUM,nt,other
GLYPH,GLYPHCOIN,nt,other
STR,STARCOIN,nt,other
OPAL,OPALCOIN,nt,other
RZR,RAZOR,t,anonimity
FLT,FLUTTERCOIN,nt,other
DON,,,
BLK,BLACKCOIN,nt,other
CRYPT,CRYPTCOIN,nt,other
RT2,ROTOCOIN,nt,specific use
GLD,GOLDCOIN,nt,other
NEC,NEOCOIN,nt,other
DVC,DEVCOIN,nt,specific use
UTIL,UTILITYCOIN,nt,other
ETC,ETERNALCOIN,nt,other
ICB,ICEBERGCOIN,nt,other
CURE,CURECOIN,t,specific use
BCX,BATTLECOIN,nt,other
BEN,BENJAMINS,nt,other
NET,NETCOIN,nt,specific use
SILK,SILKCOIN,nt,other
SMC,SMARTCOIN,nt,other
COL,COLOSSUSCOIN,nt,other
RED,REDCOIN,nt,other
CON,CONCOIN,nt,specific use
XLB,LIBERTYCOIN,nt,other
DGC,DIGITALCOIN,nt,other
GRS,GROESTLCOIN,nt,other
PMP,PREMINEPLUS ,nt,other
XST,STEALTHCOIN,t,anonimity
KDC,KLONDIKECOIN,nt,other
VRC,VERICOIN,nt,other
TOR,TORCOIN,t,specific use
ZET,ZETACOIN,nt,other
KUMA,KUMACOIN,nt,other
KORE,KORECOIN,nt,other
QTL,QUATLOO,nt,other
ZS,ZIMSTAKE,nt,other
BITS,BITSTAR,nt,other
QRK,QUARK,nt,other
FCN,FANTOMCOIN,nt,other
JKC,JKC,nt,other
EXE,EXECOIN,nt,other
SRC,SECURECOIN,nt,other
VTC,VERCOIN,t,anonimity
DIG,DIGIT,nt,other
AUR,AURORACOIN,nt,nation
FAIR,FAIRCOIN,nt,community
DIME,DIMECOIN,nt,other
FRK,FRANKO,nt,other
ELC,ELACOIN,nt,other
RBBT,RABBITCOIN,nt,speed
QORA,QORA,nt,other
HEX,HEISENBERGHEX,nt,other
CLOAK,CLOAKCOIN,nt,other
LTC,LITECOIN,t,Hashing algorithm
LTB,LITEBAR,nt,other
UNB,UNBREAKABLECOIN,nt,other
UNC,,nt,other
XTC,TILECOIN,nt,specific use
TAC,TRAVELCOIN,nt,other
BTQ,BITQUARK,nt,other
BAY,,nt,other
MINT,MINTCOIN,nt,other
BBR,BOOLBERRY,t,Hashing algorithm
CLR,,nt,other
UNO,UNOBTANIUM,nt,other
OMC,OMNICOIN,nt,other
MED,MEDITERRANEANCOIN,t,Hashing algorithm
TES,TESLA,nt,other
ZED,ZEDCOIN,nt,other
HIRO,HIROCOIN,nt,other
LMR,LEMURCOIN,nt,other
ZCC,ZCCOIN,nt,other
NAUT,NAUTILUSCOIN,nt,other
CZR,CZARCOIN,nt,other
ROOT,ROOTCOIN,nt,other
ORO,OROBITS,nt,other
BOOM,BOOMCOIN,nt,other
KEY,KEYCOIN,t,anonimity
XCP,COUNTERPATY,nt,other
XMG,COINMAGI,t,Hashing algorithm
ORB,ORBITCOIN,nt,other
VTA,VIRTACOIN,nt,other
MMC,MEMORYCOIN,t,Hashing algorithm
ASC,ASICCOIN,nt,other
I0C,i0COIN,nt,other
BAT,BATCOIN,nt,other
LOT,LOTTOCOIN,nt,specific use
CHA,CHARITYCOIN,nt,community
MNTA,MONETA,nt,other
TOP,TOPCOIN,nt,specific use
CAP,CAPTCOIN,t,other
IFC,INFINITECOIN,nt,other
CIN,CINNAMONCOIN,nt,other
CAT,CATCOIN,nt,other
HYP,HYPERSTAKE,nt,other
GML,GAMELEAGUECOIN,nt,specific use
SEED,SEEDCOIN,nt,other
KRYP,KRYPTONITE,nt,other
CAM,CAMCOIN,nt,community
HAL,HALCYON,nt,other
MSC,MASONCOIN,nt,community
XWC,WHITECOIN,nt,other
DP,DIGITALPRICE,nt,other
BQC,BBQCOIN,nt,other
PPC,PEERCOIN,t,Hashing algorithm
CESC,CRYPTOESCUDO,nt,nation
XSI,STABILITYSHARE,nt,other
KARM,KARMACOIN,nt,community
EAGS,EAGSCURRENCY,nt,other
ARCH,ARCHCOIN,nt,other
EAC,EARTHCOIN,nt,other
GP,GOLDPIECES,nt,other
MLS,MOZZSHARE,nt,specific use
SOL,SOLCOIN,nt,other
POP,POPULARCOIN,nt,other
QCN,QUAZARCOIN,nt,other
XMR,MONERO,nt,other
PXI,PRIMEXI,nt,other
QB,QUARKBAR,nt,other
ALN,ALIENCOIN,nt,other
BLOCK,BLOCKCOIN,nt,other
PXC,PHOENIXCOIN,nt,other
TIPS,FEDORACOIN,t,anonimity
VPN,VPNCOIN,nt,anonimity
UTC,ULTRACOIN,nt,other
AC,ASIACOIN,nt,nation
BALLS,SNOWBALLS,nt,other
RBY,RUBYCOIN,nt,other
FC2,FUELCOIN,nt,community
DOPE,DOPECOIN,nt,other
SDC,SHADOWCOIN,nt,other
SLR,SOLARCOIN,nt,community
BRIT,BRITCOIN,nt,nation
NEOS,NEOSCOIN,nt,other
CND,CANNABISDARKCOIN,nt,other
FRC,FREICOIN,nt,other
AU,AURUM COIN,nt,other
HTML5,HTML5COIN,nt,other
LIMX,LIMECOINX,nt,other
ARI,ARICOIN,nt,other
MTC,METISCOIN,nt,other
CNL,CONCEALCOIN,nt,other
SLG,STERLINGCOIN,nt,other
U,USABLECOIN,nt,other
DGB,DIGIBYTE,nt,other
XCASH,XCASH,nt,other
CFN,CONFESSIONCOIN,nt,specific use
NKA,INCAKOIN,nt,other
PFC,PROFITCOIN,nt,other
ROS,ROSCOIN,nt,other
RDD,REDDCOIN,t,Hashing algorithm
NRB,NOIRBITS,nt,other
WKC,WANKCOIN,nt,specific use
HUC,HUNTERCOIN,nt,specific use
NOTE,DNOTES,nt,other
SWIFT,BITSWIFT,nt,other
PINK,PINKCOIN,nt,other
BDSM,BDSMCOIN,nt,specific use
CHILD,X-CHILDREN,nt,community
NRS,NOIRSHARES,nt,other
COMM,COMMUNITYCOIN,nt,other
TRUST,TRUSTPLUS,nt,other
SUPER,SUPERCOIN,nt,other
POT,POTCOIN,nt,specific use
