source,target,weight
BitLex,kiba,0.14288261544331707
Anonymous,Bruce Wagner,1.8746568176531306
llama,alex_l,0.08360765553233247
Bitcoiner,denger,0.03264400646637003
Olipro,satoshi,0.22761122775615247
ribuck,genjix,0.5135256997497817
wereHamster,lachesis,0.009243802923158026
Anonymous,tcatm,0.11184061266297676
BitLex,bg002h,0.035364340338567495
tyler,BrightAnarchist,0.04615103897122958
mtgox,tyler,0.173810599109052
imnichol,melvster,0.03203058596149836
lachesis,venom,0.07302460652350727
Cryptoman,Organized,0.32345750311875526
matonis,FlyingMoose,0.0948810438525364
jgarzik,em3rgentOrdr,0.013336449629025846
ribuck,grondilu,1.109043830262012
ribuck,Stephen Gornick,0.2660218925606349
FreeMoney,grondilu,0.569613163271525
db,asdf,0.10509261005926446
davout,marekknowak,0.6087868863956326
melvster,Mionione,0.025725238017058845
MoonShadow,Stephen Gornick,0.2660218925606349
morpheus,Bruce Wagner,0.07705488893118825
ihrhase,Suggester,0.012660851336447888
SmokeTooMuch,Gavin Andresen,0.23039024415490714
jago25_98,Anonymous,0.03596476714567613
FreeMoney,impossible7,0.09288837166616501
throughput,ksd5,0.04097105559259725
Ensayia,sirius,0.02196636685207178
matonis,kiba,0.051052659905937874
da2ce7,farmer_boy,0.20458003025566857
MoonShadow,brocktice,0.048762437656093754
genjix,Timo Y,0.10781916770625172
kiba,gridecon,0.031589865153881784
grondilu,tentative,0.3682798264541105
chaord,grondilu,0.4523052401373088
Insti,BrightAnarchist,0.0896734068217712
NewLibertyStandard,BrightAnarchist,0.2453846941927313
jorgen,bitboy,0.10522280755831727
Insti,vess,0.23782839716415677
jgarzik,BioMike,0.04477934953669391
GeorgeH,Anonymous,0.03373797010505109
EricJ2190,ultrasonicsite,0.21006948626214167
Gavin Andresen,ByteCoin,0.03139476283488875
davout,Bruce Wagner,0.8670389133785295
nelisky,jimbobway,0.6395925543529093
chaord,genjix,0.046432644365726375
Red,chaord,0.3680270915189792
genjix,nanotube,0.17733070210026153
aceat64,cryptofo,0.1694316912528614
ByteCoin,tentative,0.0086944123174797
Insti,ilovebitcoin,0.0564772304176205
FatherMcGruder,mizerydearia,0.011890031541043363
bytemaster,NewLibertyStandard,0.011299394505495757
ArtForz,jimbobway,0.055773257805459
ledskof,kiba,0.02002834824983411
kwukduck,doublec,0.00939161393575685
BioMike,nightrow,0.09144419610823805
Anonymous,Pubulis01,0.03685688459240828
jgarzik,grondilu,0.2026633494021234
kiba,Gatsu,0.024127068629941534
Gavin Andresen,Anonymous,0.4360726911737491
XaviorPenguin,satoshi,0.01777102529576256
Xunie,NewLibertyStandard,0.025707206259720835
FatherMcGruder,Bruce Wagner,0.5942302504644866
bencoder,appamatto,0.009813708944105468
BitcoinFX,wobber,0.02521457919587949
RHorning,Bruce Wagner,0.9366510146796191
mizerydearia,The Madhatter,0.21124142725480294
marketmaker,jimbobway,0.01939939401929009
ByteCoin,FlyingMoose,0.0982693059605366
caveden,Inedible,0.05291434699142683
ichi,CautiousFan,0.048349155673172294
theymos,fresno,0.11934584740095991
brocktice,Cryptoman,0.11948619729469497
Quantumplation,throughput,0.14724511882359878
Xunie,nanotube,0.22166337762532695
NewLibertyStandard,im3w1l,0.07362255941179939
theymos,im3w1l,0.03232561602225976
jimbobway,doublec,0.09464465106670518
jgarzik,epaulson,0.16114819797254537
nightrow,Bruce Wagner,0.03522423381806404
TTBit,mizerydearia,0.39417899902889264
FreeMoney,mizerydearia,1.107499659798668
FreeMoney,hidden_citizen,0.42377142515117266
wscott,jgarzik,0.20808862254784657
jgarzik,Immanuel,0.11160797007842739
lachesis,devnull791101,0.07037503727374932
sirius,wobber,0.10716196158248778
em3rgentOrdr,S3052,0.03298586615665419
grondilu,chaord,0.5424775432957291
Stephen Gornick,grondilu,0.01646052026139641
Ground Loop,Syke,0.07740697638847083
caveden,im3w1l,0.04444772203060718
caveden,Bimmerhead,0.08307187014821328
thrashaholic,da2ce7,0.05099754488164391
garrett,Xunie,0.039268260671010274
Sabunir,riX,0.11862990383760837
S3052,Bruce Wagner,1.0933557072979
caveden,tentative,0.011750173931693721
mtgox,andyc,0.06185238415046535
skull88,6174Kauri,0.1407249821428571
ShadowOfHarbringer,grondilu,1.0011619504618225
eyu100,NewLibertyStandard,0.01394331445136475
skull88,genjix,0.07514768435208591
MoonShadow,MrBurns,0.13301094628031745
sirius,HostFat,0.31300102915075123
kiba,doublec,0.03722096830239662
sturle,kiba,0.021193977127556968
em3rgentOrdr,appamatto,0.014484216592420999
dwdollar,Derrick,0.16681100067951532
Dark_Ghost,aceat64,0.10878560026463753
FreeMoney,jemenake,0.02598443273357627
davout,MoonShadow,0.05511262899292963
Gavin Andresen,ksd5,0.21006948626214167
Mira,bg002h,0.07037503727374932
ShadowOfHarbringer,S3052,0.008256653828719806
ribuck,kiba,1.036109191927614
theymos,The Madhatter,0.42563446317853254
Babylon,chaord,0.02870198020515592
Cdecker,asdf,0.04874802167418532
pj,Fog Fence,0.05944438315411074
bober182,matonis,0.13914886121978776
breandan81,Bruce Wagner,0.12047216229297619
mizerydearia,BrightAnarchist,0.12330889155413632
LZ,jimbobway,0.2590138307728874
satoshi,Olipro,0.06735410534595511
mizerydearia,vess,0.28731690670108007
jimbobway,bitboy,0.2581403314277662
Gavin Andresen,Mionione,0.20901913883083095
dwdollar,wobber,0.07144130772165853
Svick,Bitcoiner,0.4592086606496597
grondilu,RHorning,0.3000291426244148
theymos,MoonShadow,0.10754802398933702
omegadraconis,lachesis,0.008589102934194437
kiba,im3w1l,0.05896731122727219
Aqualung,Stephen Gornick,0.0891195619968626
kwukduck,Giulio Prisco,0.010800973449554066
NewLibertyStandard,teppy,0.03136086992667326
ColdHardMetal,Cryptoman,0.47555506523288593
lfm,kiba,0.12517717656146324
grondilu,Timo Y,0.16172875155937763
FatherMcGruder,throughput,0.2970363519267363
The Madhatter,mizerydearia,0.055913870044204735
Anonymous,tentative,0.08183996143424675
fergalish,satoshi,0.014725078037255165
knightmb,ByteCoin,0.0874658092580001
Timo Y,HostFat,0.04056528525015186
omegadraconis,bytemaster,0.23573936871084283
mpkomara,Immanuel,0.35670682803916504
laszlo,ksd5,0.31457905567755734
kiba,appamatto,0.060538775021596075
satoshi,user,0.03743627310116154
eurekafag,ByteCoin,0.0366272233073702
MoonShadow,throughput,0.14851817596336814
kiba,Aqualung,0.3591644415493118
TTBit,S3052,0.12931175935106015
ShadowOfHarbringer,davout,0.36643842732183995
The Madhatter,theymos,0.02196636685207178
Bitcoiner,Marlsfarp,0.08659333781065155
ksd5,ultrasonicsite,0.42013897252428334
ByteCoin,Anonymous,0.8516521033479307
The Madhatter,Suggester,0.03563652320969201
dmp1ce,denger,0.07072868067713499
caveden,ShadowOfHarbringer,0.3930772238421464
Bruce Wagner,mizerydearia,0.03972207491446192
nelisky,matonis,0.06421240744265684
davux,db,0.09583701810816536
dust,doublec,0.017294154611350674
BioMike,mestar,0.23305752985385123
em3rgentOrdr,BrightAnarchist,0.2880771994415019
SlipperySlope,lachesis,0.012357028603655399
MoonShadow,chaord,0.5957477946575215
ShadowOfHarbringer,genjix,0.2467536525655682
mtgox,wobber,0.0119667182113331
jgarzik,doublec,0.05678679064002312
Svick,Timo Y,0.038579280369346346
BioMike,Pubulis01,0.17199879476457197
